method,N_visitor,N_native,W_eff,seed,weff_util_visitor,weff_util_native,weff_util_total,proportionality,visitor_share,ideal_share,native_preservation
oracle,10,0,100,789,0.7537600000000001,0.0,0.7537600000000001,1.0,1.0,1.0,nan
pnd,10,0,100,789,0.7418800000000001,0.0,0.7418800000000001,1.0,1.0,1.0,nan
pnd_cd,10,0,100,789,0.74352,0.0,0.74352,1.0,1.0,1.0,nan
ema_ad_low,10,0,100,789,0.7196400000000001,0.0,0.7196400000000001,1.0,1.0,1.0,nan
consec_L2,10,0,100,789,0.7133999999999999,0.0,0.7133999999999999,1.0,1.0,1.0,nan
dcf_self_excl,10,0,100,789,0.6434,0.0,0.6434,1.0,1.0,1.0,nan
and,10,0,100,789,0.6715199999999999,0.0,0.6715199999999999,1.0,1.0,1.0,nan
oracle,10,0,100,1234,0.7602800000000001,0.0,0.7602800000000001,1.0,1.0,1.0,nan
pnd,10,0,100,1234,0.74976,0.0,0.74976,1.0,1.0,1.0,nan
pnd_cd,10,0,100,1234,0.7480399999999999,0.0,0.7480399999999999,1.0,1.0,1.0,nan
ema_ad_low,10,0,100,1234,0.724,0.0,0.724,1.0,1.0,1.0,nan
consec_L2,10,0,100,1234,0.71532,0.0,0.71532,1.0,1.0,1.0,nan
dcf_self_excl,10,0,100,1234,0.64864,0.0,0.64864,1.0,1.0,1.0,nan
and,10,0,100,1234,0.67716,0.0,0.67716,1.0,1.0,1.0,nan
oracle,10,5,50,42,0.6537600000000001,0.12672000000000003,0.7804800000000001,1.2185333333333332,0.8123555555555556,0.6666666666666665,0.2262210796915168
pnd,10,5,50,42,0.6636,0.10212,0.7657200000000001,1.2680565476190477,0.8453710317460318,0.6666666666666665,0.18230505569837194
pnd_cd,10,5,50,42,0.6576000000000002,0.10848000000000001,0.7660800000000001,1.2521244047619047,0.8347496031746032,0.6666666666666665,0.19365895458440452
ema_ad_low,10,5,50,42,0.5796000000000001,0.16776000000000002,0.74736,1.1107535714285715,0.740502380952381,0.6666666666666665,0.29948586118251935
consec_L2,10,5,50,42,0.5006400000000001,0.21684,0.71748,0.9703875000000001,0.646925,0.6666666666666665,0.3871036846615254
dcf_self_excl,10,5,50,42,0.46032000000000006,0.19704000000000002,0.6573599999999999,0.9846035714285715,0.656402380952381,0.6666666666666665,0.3517566409597259
and,10,5,50,42,0.6165600000000002,0.0198,0.6363600000000001,1.4433964285714287,0.9622642857142857,0.6666666666666665,0.035347043701799495
oracle,10,5,50,123,0.6584800000000001,0.12504,0.7835200000000001,1.220595238095238,0.8137301587301587,0.6666666666666665,0.22495682210708123
pnd,10,5,50,123,0.67096,0.09768,0.7686400000000001,1.2765333333333333,0.8510222222222222,0.6666666666666665,0.17573402417962009
pnd_cd,10,5,50,123,0.6472,0.11616000000000001,0.76336,1.2318642857142859,0.8212428571428572,0.6666666666666665,0.20898100172711578
ema_ad_low,10,5,50,123,0.5944,0.16212000000000001,0.75652,1.1201273809523808,0.7467515873015873,0.6666666666666665,0.29166666666666674
consec_L2,10,5,50,123,0.49616000000000005,0.21696000000000004,0.71312,0.9713464285714286,0.6475642857142857,0.6666666666666665,0.3903281519861832
dcf_self_excl,10,5,50,123,0.4525600000000001,0.19608000000000003,0.64864,0.9884428571428572,0.6589619047619047,0.6666666666666665,0.35276338514680494
and,10,5,50,123,0.6074400000000001,0.023759999999999996,0.6312000000000001,1.4305642857142857,0.9537095238095239,0.6666666666666665,0.042746113989637305
oracle,10,5,50,456,0.6524800000000001,0.12384000000000002,0.77632,1.2276160714285715,0.8184107142857143,0.6666666666666665,0.22093770070648686
pnd,10,5,50,456,0.6537600000000001,0.11004000000000001,0.7637999999999999,1.2498232142857142,0.8332154761904762,0.6666666666666665,0.19631770498822523
pnd_cd,10,5,50,456,0.6472,0.1152,0.7624,1.2357744047619048,0.8238496031746033,0.6666666666666665,0.20552344251766216
ema_ad_low,10,5,50,456,0.5792000000000002,0.17112,0.75032,1.1039267857142858,0.7359511904761905,0.6666666666666665,0.305287946906444
consec_L2,10,5,50,456,0.50312,0.21312,0.71624,0.98485,0.6565666666666666,0.6666666666666665,0.380218368657675
dcf_self_excl,10,5,50,456,0.45672000000000007,0.19932000000000002,0.65604,0.9761196428571429,0.6507464285714286,0.6666666666666665,0.35559837293941343
and,10,5,50,456,0.61016,0.021839999999999995,0.632,1.436472619047619,0.9576484126984128,0.6666666666666665,0.03896381931064011
oracle,10,5,50,789,0.66296,0.12336000000000001,0.78632,1.2268797619047618,0.8179198412698413,0.6666666666666665,0.2201284796573876
pnd,10,5,50,789,0.6616000000000002,0.10080000000000001,0.7624000000000001,1.2695559523809525,0.846370634920635,0.6666666666666665,0.17987152034261245
pnd_cd,10,5,50,789,0.65336,0.11352000000000001,0.7668800000000001,1.242822023809524,0.8285480158730159,0.6666666666666665,0.2025695931477516
ema_ad_low,10,5,50,789,0.58896,0.15864000000000003,0.7476,1.1336267857142857,0.7557511904761904,0.6666666666666665,0.28308351177730195
consec_L2,10,5,50,789,0.5004800000000001,0.21684000000000003,0.71732,0.9732250000000001,0.6488166666666666,0.6666666666666665,0.38693790149892937
dcf_self_excl,10,5,50,789,0.4612000000000001,0.19752,0.65872,0.9921642857142858,0.6614428571428571,0.6666666666666665,0.3524625267665953
and,10,5,50,789,0.6094400000000001,0.0228,0.63224,1.4372303571428573,0.9581535714285715,0.6666666666666665,0.04068522483940043
oracle,10,5,50,1234,0.6556000000000002,0.12300000000000001,0.7786000000000002,1.2217940476190476,0.8145293650793651,0.6666666666666665,0.2188300597779676
pnd,10,5,50,1234,0.65696,0.10524000000000001,0.7622000000000001,1.260054761904762,0.8400365079365079,0.6666666666666665,0.18723313407344155
pnd_cd,10,5,50,1234,0.64232,0.11796000000000001,0.76028,1.2282386904761904,0.8188257936507937,0.6666666666666665,0.2098633646456021
ema_ad_low,10,5,50,1234,0.5853600000000001,0.16452,0.7498800000000001,1.116827380952381,0.7445515873015872,0.6666666666666665,0.2926985482493596
consec_L2,10,5,50,1234,0.50072,0.21492000000000003,0.71564,0.9733964285714286,0.6489309523809523,0.6666666666666665,0.38236549957301463
dcf_self_excl,10,5,50,1234,0.4605600000000001,0.19848000000000002,0.65904,0.9852196428571428,0.6568130952380953,0.6666666666666665,0.3531169940222033
and,10,5,50,1234,0.6091200000000001,0.02256,0.63168,1.4345482142857142,0.9563654761904761,0.6666666666666665,0.04013663535439796
oracle,10,5,100,42,0.6507999999999999,0.13554000000000002,0.78634,1.1898986471861472,0.7932657647907649,0.6666666666666665,0.45189037807561533
pnd,10,5,100,42,0.6759200000000001,0.10812000000000001,0.78404,1.249761575924076,0.833174383949384,0.6666666666666665,0.3604720944188839
pnd_cd,10,5,100,42,0.66364,0.11646000000000002,0.7800999999999999,1.2294492673992674,0.819632844932845,0.6666666666666665,0.3882776555311064
ema_ad_low,10,5,100,42,0.58456,0.17460000000000003,0.7591600000000001,1.0864433441558445,0.7242955627705628,0.6666666666666665,0.5821164232846572
consec_L2,10,5,100,42,0.51764,0.20292000000000002,0.72056,0.9967002622377624,0.6644668414918414,0.6666666666666665,0.6765353070614125
dcf_self_excl,10,5,100,42,0.47068000000000004,0.18480000000000002,0.6554800000000001,0.9955792624042625,0.6637195082695082,0.6666666666666665,0.6161232246449292
and,10,5,100,42,0.6303999999999998,0.08406,0.71446,1.2854137945387947,0.8569425296925297,0.6666666666666665,0.2802560512102421
oracle,10,5,100,123,0.65492,0.13506,0.78998,1.1910903221778222,0.7940602147852148,0.6666666666666665,0.4505604483586872
pnd,10,5,100,123,0.67664,0.10914000000000001,0.7857799999999999,1.2458577880452881,0.8305718586968587,0.6666666666666665,0.36409127301841493
pnd_cd,10,5,100,123,0.66152,0.12066000000000002,0.7821800000000001,1.219712604062604,0.8131417360417361,0.6666666666666665,0.4025220176140915
ema_ad_low,10,5,100,123,0.5869200000000001,0.1716,0.75852,1.09311172993673,0.7287411532911533,0.6666666666666665,0.5724579663730988
consec_L2,10,5,100,123,0.5228,0.20088000000000003,0.7236800000000001,1.0035646228771231,0.6690430819180819,0.6666666666666665,0.6701361088871101
dcf_self_excl,10,5,100,123,0.4668800000000001,0.1839,0.65078,0.9945129620379621,0.6630086413586413,0.6666666666666665,0.6134907926341076
and,10,5,100,123,0.62236,0.08466000000000001,0.70702,1.2833249125874127,0.8555499417249418,0.6666666666666665,0.28242594075260224
oracle,10,5,100,456,0.6513999999999999,0.13548000000000002,0.7868800000000001,1.1910270021645024,0.7940180014430016,0.6666666666666665,0.45178071228491423
pnd,10,5,100,456,0.6714,0.11160000000000002,0.783,1.2425614260739262,0.8283742840492841,0.6666666666666665,0.37214885954381777
pnd_cd,10,5,100,456,0.6563599999999999,0.12108000000000001,0.77744,1.2186278388278389,0.8124185592185593,0.6666666666666665,0.40376150460184096
ema_ad_low,10,5,100,456,0.5807599999999999,0.17646000000000003,0.75722,1.084187654012654,0.7227917693417693,0.6666666666666665,0.5884353741496602
consec_L2,10,5,100,456,0.51668,0.20052,0.7172,1.00765091991342,0.6717672799422798,0.6666666666666665,0.668667466986795
dcf_self_excl,10,5,100,456,0.4691600000000001,0.18372000000000002,0.6528799999999999,0.9986111721611722,0.6657407814407813,0.6666666666666665,0.6126450580232097
and,10,5,100,456,0.62528,0.08520000000000001,0.71048,1.2852813394938396,0.8568542263292265,0.6666666666666665,0.28411364545818346
oracle,10,5,100,789,0.65444,0.13554000000000002,0.78998,1.1917700216450215,0.7945133477633478,0.6666666666666665,0.4520712427456476
pnd,10,5,100,789,0.6758,0.10746000000000001,0.78326,1.2513226107226108,0.8342150738150739,0.6666666666666665,0.3584150490294178
pnd_cd,10,5,100,789,0.65852,0.11910000000000001,0.7776199999999999,1.223535422910423,0.8156902819402821,0.6666666666666665,0.39723834300580363
ema_ad_low,10,5,100,789,0.58596,0.1689,0.75486,1.1001900807525808,0.733460053835054,0.6666666666666665,0.5633380028016811
consec_L2,10,5,100,789,0.5236000000000001,0.19848000000000002,0.7220799999999999,1.0116156426906426,0.6744104284604285,0.6666666666666665,0.6619971983189916
dcf_self_excl,10,5,100,789,0.47028000000000003,0.18414000000000003,0.6544200000000001,0.9971509324009324,0.6647672882672883,0.6666666666666665,0.6141685011006607
and,10,5,100,789,0.62048,0.08808000000000002,0.70856,1.277041441891442,0.8513609612609614,0.6666666666666665,0.2937762657594558
oracle,10,5,100,1234,0.6513600000000002,0.13566000000000003,0.7870199999999999,1.1876909548784549,0.79179396991897,0.6666666666666665,0.45238095238095266
pnd,10,5,100,1234,0.6730799999999999,0.10986000000000001,0.7829400000000001,1.2447249167499168,0.8298166111666112,0.6666666666666665,0.36634653861544636
pnd_cd,10,5,100,1234,0.6605599999999999,0.1179,0.77846,1.2237377497502497,0.8158251665001666,0.6666666666666665,0.39315726290516223
ema_ad_low,10,5,100,1234,0.58256,0.17322000000000004,0.75578,1.0875576964701965,0.7250384643134644,0.6666666666666665,0.5776310524209688
consec_L2,10,5,100,1234,0.52,0.20028000000000004,0.7202799999999999,1.003882883782884,0.6692552558552559,0.6666666666666665,0.6678671468587439
dcf_self_excl,10,5,100,1234,0.4690000000000001,0.18492000000000003,0.6539200000000001,0.9968229020979023,0.6645486013986014,0.6666666666666665,0.6166466586634658
and,10,5,100,1234,0.6239600000000001,0.08568,0.7096399999999999,1.2803544622044625,0.8535696414696415,0.6666666666666665,0.28571428571428586
oracle,10,10,50,42,0.5481600000000001,0.20928000000000002,0.7574399999999999,1.3744269841269843,0.6872134920634921,0.5,0.34002729576915586
pnd,10,10,50,42,0.59184,0.16116000000000003,0.753,1.5106150793650792,0.7553075396825396,0.5,0.2618444141158121
pnd_cd,10,10,50,42,0.5879200000000001,0.16860000000000003,0.75652,1.487847619047619,0.7439238095238095,0.5,0.2739325404562294
ema_ad_low,10,10,50,42,0.5060800000000001,0.22752,0.7335999999999999,1.2877039682539682,0.6438519841269841,0.5,0.36966270228114645
consec_L2,10,10,50,42,0.39472,0.31056,0.70528,1.003095238095238,0.501547619047619,0.5,0.5045817898225776
dcf_self_excl,10,10,50,42,0.35680000000000006,0.2900400000000001,0.64684,1.0116761904761906,0.5058380952380953,0.5,0.4712419574965882
and,10,10,50,42,0.6008800000000001,0.02652,0.6274000000000001,1.8997309523809525,0.9498654761904762,0.5,0.04308832131019692
oracle,10,10,50,123,0.55608,0.20760000000000003,0.76368,1.3835722222222222,0.6917861111111111,0.5,0.3420324238829578
pnd,10,10,50,123,0.5948800000000001,0.16272000000000003,0.7576000000000002,1.5051460317460317,0.7525730158730158,0.5,0.26809015421115073
pnd_cd,10,10,50,123,0.59064,0.162,0.7526400000000001,1.4983309523809525,0.7491654761904762,0.5,0.26690391459074736
ema_ad_low,10,10,50,123,0.49976000000000004,0.23388,0.73364,1.271254761904762,0.635627380952381,0.5,0.38533017002767894
consec_L2,10,10,50,123,0.3948000000000001,0.30528000000000005,0.7000799999999999,1.0108404761904761,0.5054202380952381,0.5,0.5029655990510085
dcf_self_excl,10,10,50,123,0.35088,0.29688000000000003,0.64776,1.000559523809524,0.500279761904762,0.5,0.4891261368129696
and,10,10,50,123,0.5977600000000001,0.02856,0.62632,1.886053968253968,0.943026984126984,0.5,0.04705417160933175
oracle,10,10,50,456,0.5536800000000001,0.20256000000000002,0.75624,1.3961031746031745,0.6980515873015872,0.5,0.32917316692667714
pnd,10,10,50,456,0.5911200000000001,0.16356,0.75468,1.5041031746031746,0.7520515873015873,0.5,0.26579563182527305
pnd_cd,10,10,50,456,0.5840800000000002,0.16584000000000004,0.74992,1.4918785714285714,0.7459392857142857,0.5,0.26950078003120137
ema_ad_low,10,10,50,456,0.4958400000000001,0.23808,0.7339200000000001,1.2658087301587302,0.6329043650793651,0.5,0.38689547581903283
consec_L2,10,10,50,456,0.39800000000000013,0.30672000000000005,0.70472,1.0150261904761904,0.5075130952380952,0.5,0.49843993759750405
dcf_self_excl,10,10,50,456,0.34864000000000006,0.29496000000000006,0.6436,0.9894714285714286,0.4947357142857143,0.5,0.47932917316692686
and,10,10,50,456,0.6065600000000002,0.02436,0.6309199999999999,1.9084238095238097,0.9542119047619049,0.5,0.039586583463338536
oracle,10,10,50,789,0.56144,0.20172000000000004,0.76316,1.4034833333333332,0.7017416666666666,0.5,0.32832031250000016
pnd,10,10,50,789,0.5918400000000001,0.162,0.7538400000000001,1.5083071428571428,0.7541535714285714,0.5,0.26367187500000006
pnd_cd,10,10,50,789,0.5870400000000001,0.16164,0.74868,1.4992626984126984,0.7496313492063492,0.5,0.2630859375000001
ema_ad_low,10,10,50,789,0.4948800000000001,0.23736000000000002,0.73224,1.2646404761904764,0.6323202380952382,0.5,0.38632812500000013
consec_L2,10,10,50,789,0.39864000000000005,0.3048,0.7034400000000001,1.024138095238095,0.5120690476190475,0.5,0.49609375000000017
dcf_self_excl,10,10,50,789,0.35632,0.291,0.6473199999999999,1.0084595238095238,0.5042297619047619,0.5,0.4736328125000001
and,10,10,50,789,0.60248,0.02676,0.62924,1.8971642857142856,0.9485821428571428,0.5,0.04355468750000001
oracle,10,10,50,1234,0.55696,0.20868000000000003,0.7656400000000001,1.3766309523809523,0.6883154761904762,0.5,0.3425251132558598
pnd,10,10,50,1234,0.59576,0.16104000000000002,0.7567999999999999,1.5053722222222223,0.7526861111111112,0.5,0.26432932834351
pnd_cd,10,10,50,1234,0.5824000000000001,0.16932,0.75172,1.4808325396825397,0.7404162698412698,0.5,0.27792003151467404
ema_ad_low,10,10,50,1234,0.49496000000000007,0.23808,0.7330399999999999,1.2666920634920635,0.6333460317460318,0.5,0.3907819578491235
consec_L2,10,10,50,1234,0.39408000000000004,0.31008,0.70416,1.0019626984126984,0.5009813492063492,0.5,0.5089619854244632
dcf_self_excl,10,10,50,1234,0.3552800000000001,0.29112,0.6464,1.0038714285714285,0.5019357142857143,0.5,0.47784124482962376
and,10,10,50,1234,0.59928,0.02664,0.62592,1.8982769841269842,0.9491384920634921,0.5,0.043726610202875715
oracle,10,10,100,42,0.55,0.22056,0.77056,1.3313672383172384,0.6656836191586192,0.5,0.39921807124239794
pnd,10,10,100,42,0.63032,0.14754000000000003,0.7778599999999999,1.542752947052947,0.7713764735264735,0.5,0.2670503909643789
pnd_cd,10,10,100,42,0.6104400000000001,0.1662,0.77664,1.487413358863359,0.7437066794316795,0.5,0.3008253692441355
ema_ad_low,10,10,100,42,0.5067600000000001,0.24425999999999998,0.75102,1.2407050005550004,0.6203525002775002,0.5,0.44211555169417893
consec_L2,10,10,100,42,0.37468000000000007,0.33246,0.7071399999999999,0.9355439282939283,0.46777196414696415,0.5,0.6017593397046047
dcf_self_excl,10,10,100,42,0.3652800000000001,0.28541999999999995,0.6507000000000001,0.9968347541347541,0.49841737706737704,0.5,0.5166159860990442
and,10,10,100,42,0.61364,0.09618,0.7098199999999999,1.6716128982128984,0.8358064491064492,0.5,0.1740877497827976
oracle,10,10,100,123,0.55508,0.21702,0.7720999999999999,1.3381556110556112,0.6690778055278056,0.5,0.3952141608391608
pnd,10,10,100,123,0.63076,0.15030000000000002,0.78106,1.5349556499056498,0.7674778249528249,0.5,0.2737106643356643
pnd_cd,10,10,100,123,0.614,0.15924000000000005,0.77324,1.5057601287601288,0.7528800643800644,0.5,0.2899912587412588
ema_ad_low,10,10,100,123,0.5086,0.24246000000000004,0.75106,1.244798063048063,0.6223990315240315,0.5,0.4415428321678322
consec_L2,10,10,100,123,0.37432000000000004,0.32915999999999995,0.70348,0.9361991064491063,0.46809955322455316,0.5,0.599431818181818
