access,w_eff,n_vis,eps,T,rho,idle,coll_vis,coll_nat,solo_vis,solo_nat
rts,210,5,0.73594,0.6998,0.78366,0.5577,0.06293,0.09915,0.0588,0.22143
rts,210,5,0.93975,0.68989,1.06297,0.54169,0.09191,0.08654,0.08021,0.19964
rts,210,5,1.2,0.67256,1.35482,0.51158,0.1361,0.0775,0.09846,0.17637
rts,210,10,0.05,0.71447,0.22023,0.59362,0.01338,0.11342,0.02285,0.25673
rts,210,10,0.06385,0.71463,0.2193,0.59227,0.01356,0.11336,0.02278,0.25803
rts,210,10,0.08153,0.71389,0.21285,0.59279,0.01593,0.11122,0.02268,0.25739
rts,210,10,0.10411,0.7141,0.21086,0.59282,0.01794,0.10928,0.0228,0.25715
rts,210,10,0.13294,0.71231,0.23962,0.59254,0.01919,0.10952,0.02563,0.25312
rts,210,10,0.16975,0.71079,0.26414,0.59119,0.01989,0.11041,0.02897,0.24953
rts,210,10,0.21677,0.71115,0.31916,0.58724,0.02469,0.10822,0.03495,0.24491
rts,210,10,0.2768,0.70921,0.36155,0.58646,0.02828,0.10751,0.03928,0.23847
rts,210,10,0.35345,0.7096,0.40132,0.58114,0.03615,0.09989,0.04417,0.23865
rts,210,10,0.45134,0.70712,0.53975,0.57455,0.0502,0.09344,0.05838,0.22343
rts,210,10,0.57633,0.7046,0.66052,0.5631,0.06628,0.08782,0.07332,0.20947
rts,210,10,0.73594,0.69658,0.74764,0.54767,0.08783,0.08421,0.08407,0.19622
rts,210,10,0.93975,0.68804,0.8645,0.52899,0.11373,0.07825,0.09641,0.18262
rts,210,10,1.2,0.67325,1.07137,0.50042,0.15873,0.06394,0.11606,0.16085
rts,210,20,0.05,0.71472,0.29942,0.57889,0.0248,0.10971,0.04239,0.24422
rts,210,20,0.06385,0.7166,0.31162,0.57707,0.02506,0.10892,0.04438,0.24458
rts,210,20,0.08153,0.71655,0.31213,0.57693,0.02534,0.1085,0.04494,0.2443
rts,210,20,0.10411,0.71784,0.31628,0.57659,0.03137,0.10156,0.04529,0.24518
rts,210,20,0.13294,0.71683,0.34786,0.5727,0.03406,0.10162,0.05137,0.24025
rts,210,20,0.16975,0.71003,0.35478,0.57178,0.03817,0.10526,0.05173,0.23306
rts,210,20,0.21677,0.70539,0.37369,0.57088,0.04566,0.10376,0.05386,0.22584
rts,210,20,0.2768,0.71318,0.38484,0.56577,0.0488,0.09151,0.05898,0.23494
rts,210,20,0.35345,0.71347,0.44342,0.55755,0.05734,0.0901,0.06682,0.22819
rts,210,20,0.45134,0.70456,0.51922,0.55018,0.07209,0.08807,0.07888,0.21077
rts,210,20,0.57633,0.69875,0.5814,0.54686,0.09231,0.079,0.08643,0.19541
rts,210,20,0.73594,0.69034,0.66373,0.52903,0.11612,0.0761,0.09752,0.18123
rts,210,20,0.93975,0.68382,0.77046,0.51082,0.13728,0.06907,0.11606,0.16676
rts,210,20,1.2,0.66195,0.8378,0.48027,0.18456,0.06124,0.12233,0.15161
rts,210,50,0.05,0.70987,0.44899,0.54825,0.06819,0.09535,0.08119,0.20702
rts,210,50,0.06385,0.71148,0.46252,0.54956,0.06873,0.09174,0.08523,0.20475
rts,210,50,0.08153,0.71437,0.48691,0.54983,0.06745,0.08989,0.09076,0.20207
rts,210,50,0.10411,0.71199,0.47501,0.54722,0.06786,0.09445,0.0882,0.20227
rts,210,50,0.13294,0.71129,0.47478,0.54249,0.07269,0.08849,0.09054,0.20579
rts,210,50,0.16975,0.71484,0.50129,0.53749,0.07678,0.08397,0.09789,0.20386
rts,210,50,0.21677,0.71361,0.50691,0.53345,0.08206,0.07996,0.09886,0.20567
rts,210,50,0.2768,0.70908,0.54975,0.53727,0.09307,0.07528,0.10322,0.19115
rts,210,50,0.35345,0.70806,0.56695,0.52467,0.10093,0.07506,0.11139,0.18795
rts,210,50,0.45134,0.69518,0.60161,0.51921,0.11886,0.07262,0.11378,0.17553
rts,210,50,0.57633,0.6849,0.64559,0.5058,0.13936,0.06888,0.12166,0.1643
rts,210,50,0.73594,0.67838,0.6975,0.49986,0.15357,0.06843,0.128,0.15014
rts,210,50,0.93975,0.66971,0.71604,0.48729,0.18038,0.05884,0.12768,0.14582
rts,210,50,1.2,0.65679,0.78221,0.47413,0.20611,0.05725,0.13274,0.12977
rts,420,5,0.05,0.71925,0.10479,0.59785,0.00516,0.12956,0.00715,0.26028
rts,420,5,0.06385,0.71822,0.11028,0.59788,0.00582,0.12993,0.00767,0.2587
rts,420,5,0.08153,0.71945,0.11722,0.59573,0.00629,0.12923,0.00829,0.26046
rts,420,5,0.10411,0.71774,0.13037,0.59755,0.00856,0.12863,0.0089,0.25637
rts,420,5,0.13294,0.71558,0.14925,0.595,0.01018,0.13015,0.01025,0.25442
rts,420,5,0.16975,0.71558,0.20325,0.59359,0.01165,0.1299,0.01411,0.25075
rts,420,5,0.21677,0.71671,0.3097,0.5929,0.01513,0.12763,0.0209,0.24343
rts,420,5,0.2768,0.72215,0.41966,0.58282,0.02336,0.11806,0.03028,0.24548
rts,420,5,0.35345,0.71776,0.61463,0.5771,0.03845,0.11277,0.04507,0.22661
rts,420,5,0.45134,0.71515,0.85991,0.55669,0.06603,0.10116,0.06478,0.21133
rts,420,5,0.57633,0.71627,1.1796,0.53035,0.09358,0.08934,0.09435,0.19239
rts,420,5,0.73594,0.69381,1.47751,0.4874,0.1585,0.07801,0.11378,0.16231
rts,420,5,0.93975,0.66785,1.71388,0.42813,0.24047,0.05758,0.13254,0.14128
rts,420,5,1.2,0.56909,1.83381,0.3342,0.40492,0.04557,0.1119,0.10342
rts,420,10,0.05,0.71841,0.15166,0.59704,0.01112,0.12682,0.01565,0.24938
rts,420,10,0.06385,0.71817,0.15664,0.59727,0.012,0.12524,0.01597,0.24952
rts,420,10,0.08153,0.71545,0.1646,0.59706,0.01278,0.12858,0.01693,0.24465
rts,420,10,0.10411,0.71728,0.20431,0.59637,0.01623,0.12359,0.02157,0.24225
rts,420,10,0.13294,0.72143,0.2334,0.59002,0.01856,0.12077,0.02467,0.24598
rts,420,10,0.16975,0.72056,0.29766,0.5885,0.02454,0.11814,0.03108,0.23775
rts,420,10,0.21677,0.71938,0.33937,0.58101,0.02919,0.11769,0.03693,0.23517
rts,420,10,0.2768,0.718,0.45435,0.5739,0.04255,0.11226,0.04912,0.22217
rts,420,10,0.35345,0.71744,0.60887,0.56307,0.06045,0.10281,0.06789,0.20578
rts,420,10,0.45134,0.71637,0.77312,0.54299,0.08748,0.08959,0.08891,0.19103
rts,420,10,0.57633,0.71264,0.91655,0.51489,0.11667,0.08079,0.11064,0.17701
rts,420,10,0.73594,0.69969,1.08322,0.48244,0.16451,0.06809,0.13035,0.15461
rts,420,10,0.93975,0.67314,1.24121,0.43694,0.23393,0.05673,0.14389,0.12852
rts,420,10,1.2,0.59655,1.33531,0.34957,0.37684,0.044,0.1303,0.09929
rts,420,20,0.05,0.72104,0.19768,0.58702,0.01891,0.12282,0.02801,0.24325
rts,420,20,0.06385,0.72256,0.20941,0.5843,0.02188,0.11978,0.02978,0.24426
rts,420,20,0.08153,0.72372,0.22075,0.58373,0.02386,0.11673,0.03203,0.24364
rts,420,20,0.10411,0.72369,0.25625,0.58146,0.02619,0.11672,0.03685,0.23877
rts,420,20,0.13294,0.72366,0.29358,0.57603,0.03218,0.11464,0.04323,0.23393
rts,420,20,0.16975,0.71969,0.33601,0.57503,0.03809,0.11363,0.04995,0.2233
rts,420,20,0.21677,0.72051,0.40433,0.56808,0.04953,0.10723,0.05946,0.2157
rts,420,20,0.2768,0.72739,0.48366,0.55317,0.05827,0.09867,0.07552,0.21437
rts,420,20,0.35345,0.71872,0.59431,0.542,0.08073,0.09392,0.09201,0.19134
rts,420,20,0.45134,0.71785,0.70366,0.52338,0.10845,0.07882,0.11151,0.17784
rts,420,20,0.57633,0.70807,0.80201,0.499,0.14217,0.07248,0.12728,0.15906
rts,420,20,0.73594,0.69399,0.90222,0.47378,0.18289,0.06462,0.1423,0.13641
rts,420,20,0.93975,0.66985,0.98214,0.43791,0.24377,0.04994,0.1506,0.11778
rts,420,20,1.2,0.61496,1.05353,0.37044,0.3503,0.04354,0.14119,0.09453
rts,420,50,0.05,0.72919,0.37202,0.56142,0.04531,0.10738,0.07121,0.21468
rts,420,50,0.06385,0.72742,0.3769,0.56118,0.04885,0.10453,0.07237,0.21308
rts,420,50,0.08153,0.72563,0.39272,0.55822,0.05492,0.10075,0.07628,0.20983
rts,420,50,0.10411,0.72575,0.4169,0.5553,0.05953,0.10085,0.07966,0.20466
rts,420,50,0.13294,0.72842,0.45125,0.54614,0.06486,0.09799,0.08869,0.20231
rts,420,50,0.16975,0.72447,0.49339,0.54118,0.07832,0.09077,0.098,0.19172
rts,420,50,0.21677,0.72376,0.56295,0.5309,0.09161,0.08686,0.11303,0.1776
rts,420,50,0.2768,0.7194,0.59007,0.51944,0.10566,0.08406,0.11873,0.17211
rts,420,50,0.35345,0.72221,0.653,0.50633,0.12405,0.07111,0.13598,0.16253
rts,420,50,0.45134,0.71307,0.70411,0.48994,0.14781,0.06754,0.14411,0.1506
rts,420,50,0.57633,0.70619,0.76345,0.47512,0.17425,0.05948,0.15736,0.13379
rts,420,50,0.73594,0.70183,0.79888,0.45475,0.19734,0.05351,0.167,0.1274
rts,420,50,0.93975,0.67813,0.83447,0.43918,0.2361,0.05027,0.16248,0.11197
rts,420,50,1.2,0.64827,0.88703,0.40233,0.30191,0.04186,0.16073,0.09317
rts,840,5,0.05,0.73021,0.08778,0.61768,0.00325,0.11735,0.00596,0.25576
rts,840,5,0.06385,0.73001,0.10234,0.61657,0.00463,0.11715,0.00693,0.25473
rts,840,5,0.08153,0.73027,0.14291,0.61557,0.00585,0.11688,0.00998,0.25172
rts,840,5,0.10411,0.72875,0.20011,0.61285,0.01007,0.11644,0.01362,0.24702
rts,840,5,0.13294,0.72733,0.27213,0.60994,0.01218,0.11692,0.01977,0.24119
rts,840,5,0.16975,0.73033,0.45837,0.60244,0.02037,0.11171,0.03295,0.23252
rts,840,5,0.21677,0.732,0.69123,0.5844,0.03561,0.10534,0.05221,0.22244
rts,840,5,0.2768,0.73196,0.95137,0.56204,0.05439,0.10067,0.07521,0.20768
rts,840,5,0.35345,0.72503,1.25248,0.5311,0.09387,0.08878,0.10184,0.18441
rts,840,5,0.45134,0.70914,1.55602,0.48673,0.15244,0.07622,0.12816,0.15644
rts,840,5,0.57633,0.68575,1.7955,0.42161,0.2407,0.05885,0.14602,0.13282
rts,840,5,0.73594,0.62093,1.97309,0.33048,0.38102,0.04636,0.14081,0.10133
