method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,useful_slots,W_eff_utilization,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
ema_ad_low,homo,10,50,456,1000,5.972,6.258,0.968542857142858,35.832,0.716640000000012,8.439,0.1396161273278834,0.06567420014267006,1.9783949789226396
consec_L2,homo,10,50,456,1000,5.741,6.258,0.930186904761905,34.446,0.688920000000012,10.047,0.11603524574703956,0.07821788508879049,2.0236086641866224
and,homo,10,50,456,1000,4.955,6.258,0.8040059523809512,29.73,0.594600000000011,2.564,0.6530624142938466,0.0,0.0
pnd,homo,10,50,456,1000,6.104,6.258,0.9897190476190477,36.624,0.7324800000000113,6.039,0.24160573003974153,0.0,0.0
oracle,homo,10,50,456,1000,6.259,6.258,1.014265476190476,37.554,0.7510800000000107,5.305,0.2522782731359615,0.0,0.0
dcf_self_excl,homo,10,50,789,1000,5.127,6.228,0.8347464285714271,30.762,0.615240000000012,12.344,0.15637232938928464,0.0,0.0
ema_ad_low,homo,10,50,789,1000,6.004,6.228,0.9787250000000003,36.024,0.7204800000000123,8.318,0.14112724297520188,0.06602458698666525,1.930001062423089
consec_L2,homo,10,50,789,1000,5.685,6.228,0.9260297619047615,34.11,0.6822000000000122,10.385,0.11705703427825068,0.07676311440889944,2.0891364009476727
and,homo,10,50,789,1000,4.946,6.228,0.8055773809523787,29.676,0.5935200000000109,2.586,0.6531318814202963,0.0,0.0
pnd,homo,10,50,789,1000,6.134,6.228,0.999836904761905,36.804,0.7360800000000115,6.017,0.23922411061499635,0.0,0.0
oracle,homo,10,50,789,1000,6.241,6.228,1.018834523809522,37.446,0.7489200000000117,5.34,0.2539419583427553,0.0,0.0
dcf_self_excl,homo,10,50,1234,1000,5.128,6.26,0.8296916666666657,30.768,0.6153600000000121,12.462,0.15665417561505585,0.0,0.0
ema_ad_low,homo,10,50,1234,1000,6.011,6.26,0.9738880952380968,36.066,0.7213200000000126,8.305,0.1365147118836412,0.06588979999240653,1.8924671030251399
consec_L2,homo,10,50,1234,1000,5.694,6.26,0.9217607142857148,34.164,0.6832800000000123,10.326,0.11760974080243072,0.07652513810223903,2.1035988407290684
and,homo,10,50,1234,1000,4.918,6.26,0.797457142857141,29.508,0.5901600000000111,2.621,0.654509033006596,0.0,0.0
pnd,homo,10,50,1234,1000,6.152,6.26,0.9958154761904745,36.912,0.7382400000000112,6.018,0.23323682909728843,0.0,0.0
oracle,homo,10,50,1234,1000,6.246,6.26,1.010729761904761,37.476,0.7495200000000113,5.367,0.2557757821570758,0.0,0.0
dcf_self_excl,homo,10,100,42,1000,9.195,10.0,0.9194999999999927,55.17,0.5517000000000079,33.365,0.08259015998627477,0.0,0.0
ema_ad_low,homo,10,100,42,1000,9.996,10.0,0.9995999999999999,59.976,0.5997600000000113,19.572,0.09191445446535852,0.1937699255210093,1.829072749066069
