access,w_eff,n_vis,alpha,tau_J,r_J,r_oracle,eps_i_rule,eps_i_oracle,J_oracle,G_rule,G_ratio,G_ship,T_rule,rho_rule,T_ship,rho_ship,row_span
basic,420,50,0.25,0.006267,2.1572,0.6307,0.4523,0.2361,-0.61017,0.9309,0.9566,0.9493,0.56413,0.51616,0.60597,0.44787,0.63474
basic,420,50,0.5,0.008359,1.6339,0.2661,0.4523,0.3388,-0.67758,0.9645,0.8946,0.8642,0.54598,0.62754,0.60597,0.44787,0.99048
basic,420,50,1.0,0.010893,1.2059,0.1123,0.4523,0.486,-0.72487,0.9072,0.9072,0.6562,0.54598,0.62754,0.60597,0.44787,1.63217
basic,840,5,0.25,0.030332,3.9099,0.0847,0.3198,0.2361,-0.49473,0.7007,0.1729,0.7473,0.63923,0.28098,0.63833,0.31308,3.07342
basic,840,5,0.5,0.034566,3.68,0.0847,0.3198,0.2361,-0.50908,0.4751,0.0285,0.5411,0.63923,0.28098,0.63833,0.31308,6.20627
basic,840,5,1.0,0.037641,3.5246,0.7263,0.3198,0.3388,-0.53007,0.2168,0.2168,0.2816,0.63923,0.28098,0.63833,0.31308,8.28188
basic,840,10,0.25,0.021739,3.0272,1.1998,0.3198,0.3388,-0.55824,0.713,0.713,0.7975,0.63601,0.26379,0.62218,0.32841,1.59037
basic,840,10,0.5,0.026666,2.6287,1.1998,0.3198,0.3388,-0.59,0.8156,0.4722,0.6038,0.59976,0.47155,0.62218,0.32841,3.27081
basic,840,10,1.0,0.031274,2.3183,0.1611,0.3198,0.3388,-0.60476,0.624,0.624,0.3297,0.59976,0.47155,0.62218,0.32841,6.68046
basic,840,20,0.25,0.013524,2.4976,0.3818,0.3198,0.2361,-0.61858,0.9522,0.7344,0.8796,0.58995,0.47341,0.6129,0.3626,1.99563
basic,840,20,0.5,0.017459,2.0098,0.2661,0.3198,0.3388,-0.66745,0.8695,0.8695,0.7141,0.58995,0.47341,0.6129,0.3626,2.76799
basic,840,20,1.0,0.021806,1.6099,0.2661,0.3198,0.3388,-0.69945,0.891,0.6788,0.4408,0.56491,0.61036,0.6129,0.3626,5.72912
basic,840,50,0.25,0.006267,2.1572,1.0419,0.3198,0.2361,-0.63917,0.9401,0.9566,0.9721,0.56406,0.48852,0.59317,0.46665,1.28084
basic,840,50,0.5,0.008359,1.6339,0.2311,0.3198,0.2361,-0.69932,0.8782,0.8763,0.8928,0.56406,0.48852,0.59317,0.46665,2.68535
basic,840,50,1.0,0.010893,1.2059,0.7263,0.3198,0.3388,-0.78138,0.9386,0.9386,0.7248,0.54675,0.61206,0.59317,0.46665,4.0796
basic,1680,5,0.25,0.030332,3.9099,0.9048,0.2262,0.1646,-0.45971,0.4331,0.3499,1.0,0.66867,0.15092,0.63385,0.88446,4.94859
basic,1680,5,0.5,0.034566,3.68,0.9048,0.2262,0.1646,-0.46348,0.8954,0.1155,1.0,0.64478,0.59467,0.63385,0.88446,9.96112
basic,1680,5,1.0,0.037641,3.5246,0.9048,0.2262,0.1646,-0.47102,0.7882,0.0126,1.0,0.64478,0.59467,0.63385,0.88446,19.98618
basic,1680,10,0.25,0.021739,3.0272,0.5477,0.2262,0.1646,-0.51311,0.922,0.8546,0.9966,0.63501,0.47286,0.61439,0.70961,3.66702
basic,1680,10,0.5,0.026666,2.6287,0.5477,0.2262,0.1646,-0.52885,0.8141,0.6843,0.983,0.63501,0.47286,0.61439,0.70961,7.43767
basic,1680,10,1.0,0.031274,2.3183,1.0419,0.2262,0.2361,-0.55192,0.6293,0.6293,0.9485,0.63501,0.47286,0.61439,0.70961,10.75546
basic,1680,20,0.25,0.013524,2.4976,1.4946,0.2262,0.1646,-0.57379,0.9376,0.8915,0.9984,0.6237,0.44252,0.59498,0.62252,2.95305
basic,1680,20,0.5,0.017459,2.0098,1.0419,0.2262,0.2361,-0.61576,0.9916,0.9916,0.9843,0.58856,0.64794,0.59498,0.62252,4.41393
basic,1680,20,1.0,0.021806,1.6099,0.6307,0.2262,0.2361,-0.65002,0.9339,0.9339,0.9104,0.58856,0.64794,0.59498,0.62252,9.01545
basic,1680,50,0.25,0.006267,2.1572,0.1743,0.2262,0.1148,-0.60781,0.9951,0.8974,0.9925,0.57686,0.60646,0.57439,0.61047,2.2842
basic,1680,50,0.5,0.008359,1.6339,1.7211,0.2262,0.2361,-0.67521,1.0,1.0,0.999,0.57686,0.60646,0.57439,0.61047,2.94048
basic,1680,50,1.0,0.010893,1.2059,1.1998,0.2262,0.3388,-0.74921,0.9905,1.0,0.9524,0.54619,0.67543,0.57439,0.61047,4.01235
rts,105,5,0.25,0.040217,3.4014,0.1489,0.9047,1.0,-0.4392,0.8474,0.8474,0.4888,0.67398,0.39976,0.68859,0.1706,0.16553
rts,105,5,0.5,0.041071,3.3618,0.1489,0.9047,1.0,-0.48137,0.7164,0.7164,0.2333,0.67398,0.39976,0.68859,0.1706,0.33353
rts,105,5,1.0,0.041538,3.3405,0.0546,0.9047,1.0,-0.55776,0.5079,0.5079,0.0527,0.67398,0.39976,0.68859,0.1706,0.67749
rts,105,10,0.25,0.034379,2.1366,0.0902,0.9047,1.0,-0.46981,0.8965,0.8965,0.6759,0.66573,0.43609,0.68175,0.25071,0.16602
rts,105,10,0.5,0.03723,1.9863,0.0902,0.9047,1.0,-0.52581,0.7982,0.7982,0.443,0.66573,0.43609,0.68175,0.25071,0.35807
rts,105,10,1.0,0.039241,1.8886,0.0546,0.9047,1.0,-0.63467,0.6307,0.6307,0.1897,0.66573,0.43609,0.68175,0.25071,0.74531
rts,105,20,0.25,0.023967,1.4504,0.0902,0.9047,1.0,-0.48185,0.9324,0.8964,0.7903,0.65657,0.48473,0.68663,0.31087,0.1947
rts,105,20,0.5,0.027914,1.2094,0.0902,0.9047,1.0,-0.52655,0.8552,0.8552,0.5874,0.65657,0.48473,0.68663,0.31087,0.42138
rts,105,20,1.0,0.031706,1.0251,0.033,0.9047,1.0,-0.61221,0.7168,0.7168,0.3234,0.65657,0.48473,0.68663,0.31087,0.87848
rts,105,50,0.25,0.01177,1.0931,0.068,0.9047,0.486,-0.47293,0.9575,0.9083,0.9702,0.64292,0.57905,0.67095,0.52451,0.26054
rts,105,50,0.5,0.014389,0.829,0.068,0.9047,0.486,-0.52126,0.9743,0.945,0.9176,0.6359,0.64733,0.67095,0.52451,0.52495
