sweep,config,method,seed,succ_v,succ_n,coll_air,idle_air,oh_air,useful
A,9,dcf_conv,42,0.4664126984126984,0.3380952380952381,0.11571428571428571,0.04012698412698413,0.0,0.8045079365079365
A,9,pace,42,0.7595555555555555,0.06507936507936508,0.12542857142857142,0.011587301587301587,0.0,0.8246349206349206
A,9,oracle,42,0.6335238095238095,0.24444444444444444,0.06457142857142857,0.020158730158730157,0.0,0.877968253968254
A,31,dcf_conv,42,0.36253968253968255,0.2365079365079365,0.32476190476190475,0.030571428571428572,0.0,0.599047619047619
A,31,pace,42,0.5543809523809524,0.05714285714285714,0.3414920634920635,0.009142857142857144,0.0,0.6115238095238095
A,31,oracle,42,0.5548253968253968,0.2015873015873016,0.1909206349206349,0.016444444444444446,0.0,0.7564126984126984
A,63,dcf_conv,42,0.3033968253968254,0.1873015873015873,0.458,0.021047619047619048,0.0,0.4906984126984127
A,63,pace,42,0.3850793650793651,0.04285714285714286,0.538,0.007841269841269842,0.0,0.42793650793650795
A,63,oracle,42,0.4294920634920635,0.17777777777777778,0.352,0.01307936507936508,0.0,0.6072698412698413
A,125,dcf_conv,42,0.18653968253968253,0.1365079365079365,0.6626984126984127,0.01619047619047619,0.0,0.32304761904761903
A,125,pace,42,0.3100952380952381,0.03015873015873016,0.6626984126984127,0.005174603174603175,0.0,0.34025396825396825
A,125,oracle,42,0.3334285714285714,0.1349206349206349,0.5317460317460317,0.010507936507936508,0.0,0.46834920634920635
B,basic,dcf_conv,42,0.2914285714285714,0.1873015873015873,0.46723809523809523,0.021142857142857144,0.0,0.47873015873015873
B,basic,pace,42,0.3623174603174603,0.04285714285714286,0.5512063492063493,0.0064761904761904765,0.0,0.4051746031746032
B,basic,oracle,42,0.4326031746031746,0.1492063492063492,0.3679047619047619,0.014285714285714285,0.0,0.5818095238095238
B,rts_24m,dcf_conv,42,0.417968253968254,0.27936507936507937,0.09342857142857143,0.03279365079365079,0.12603174603174602,0.6973333333333334
B,rts_24m,pace,42,0.6604444444444444,0.04285714285714286,0.11885714285714286,0.009650793650793651,0.11968253968253968,0.7033015873015873
B,rts_24m,oracle,42,0.5625396825396826,0.1873015873015873,0.062285714285714285,0.017333333333333333,0.12984126984126984,0.7498412698412699
B,rts_6m,dcf_conv,42,0.38136507936507935,0.24761904761904763,0.11,0.03019047619047619,0.17095238095238094,0.628984126984127
B,rts_6m,pace,42,0.4480952380952381,0.047619047619047616,0.31812698412698415,0.007015873015873016,0.13095238095238096,0.4957142857142857
B,rts_6m,oracle,42,0.533015873015873,0.1634920634920635,0.06180952380952381,0.014793650793650793,0.18333333333333332,0.6965079365079365
