n_vis,n_nat,w_eff,access,alpha,c_idle_A,c_coll_A,c_idle_O,c_coll_O,G_J,boundary_O,capped_O,boundary_A,J_model_A,near_c_idle_lo,near_c_idle_hi,near_c_coll_lo,near_c_coll_hi,near_n,box_lo,box_hi,grid_spacing,tune_visits,eval_visits,tune_points,n_boot,T_current,rho_current,J_current,A_vis_current,A_nat_current,coll_frac_current,idle_frac_current,solo_vis_frac_current,epochs_per_visit_current,tau_cv_current,c_idle_current,c_coll_current,T_analytic,rho_analytic,J_analytic,A_vis_analytic,A_nat_analytic,coll_frac_analytic,idle_frac_analytic,solo_vis_frac_analytic,epochs_per_visit_analytic,tau_cv_analytic,c_idle_analytic,c_coll_analytic,T_oracle,rho_oracle,J_oracle,A_vis_oracle,A_nat_oracle,coll_frac_oracle,idle_frac_oracle,solo_vis_frac_oracle,epochs_per_visit_oracle,tau_cv_oracle,c_idle_oracle,c_coll_oracle,T_equilibrium_ratio,rho_equilibrium_ratio,J_equilibrium_ratio,A_vis_equilibrium_ratio,A_nat_equilibrium_ratio,coll_frac_equilibrium_ratio,idle_frac_equilibrium_ratio,solo_vis_frac_equilibrium_ratio,epochs_per_visit_equilibrium_ratio,tau_cv_equilibrium_ratio,c_idle_equilibrium_ratio,c_coll_equilibrium_ratio,G_J_ci_lo,G_J_ci_hi,dJ_ci_lo,dJ_ci_hi,dT_ci_lo,dT_ci_hi,drho_ci_lo,drho_ci_hi,c_idle_design_rule,c_coll_design_rule,T_design_rule,rho_design_rule,J_design_rule,A_vis_design_rule,A_nat_design_rule,coll_frac_design_rule,idle_frac_design_rule,solo_vis_frac_design_rule,epochs_per_visit_design_rule,tau_cv_design_rule
5,0,105,rts,0.0,1.4918246976412703,2.225540928492468,2.209970130881297,2.488853095129057,1.0217323088785086,False,True,True,-0.626557355427606,1.5739588404457006,2.209970130881297,1.5739588404457006,3.999998555520698,11,0.02777777777777778,1.3862943611198906,0.5585933140620555,480,1800,184,2000,0.570925925925926,1.0,-0.5604958046662154,0.570925925925926,0.0,0.01053968253968254,0.08850793650793651,0.1085901224145209,10.528888888888888,0.0028927085515964494,1.2,1.2,0.602978835978836,1.0,-0.5058731807501072,0.602978835978836,0.0,0.02266666666666667,0.05564021164021164,0.16573313895496047,7.240555555555556,0.023216628054784052,1.4918246976412703,2.225540928492468,0.5901534391534392,1.0,-0.5273727095320048,0.5901534391534392,0.0,0.05904761904761905,0.03620634920634921,0.21855835930431286,5.526111111111111,0.05144977833582067,2.209970130881297,2.488853095129057,0.5342486772486772,1.0,-0.6268938606892166,0.5342486772486772,0.0,0.003746031746031746,0.132994708994709,0.06988334317779091,15.04888888888889,0.010720784729861958,1.0717706060230718,3.9997867877123934,1.0021105489607212,1.0411410494819682,0.002108324874292672,0.04031727426637589,0.0012638888888889255,0.023837433862433897,0.0,0.0,2.69268429176156,1.2,0.5634391534391534,1.0,-0.5736959310323501,0.5634391534391534,0.0,0.09276190476190477,0.030756613756613756,0.2235269000853971,5.204444444444444,0.012264183610727036
5,0,105,rts,0.05,1.4918246976412703,2.225540928492468,2.209970130881297,2.488853095129057,1.0217323088785086,False,True,True,-0.626557355427606,1.5739588404457006,2.209970130881297,1.5739588404457006,3.999998555520698,11,0.02777777777777778,1.3862943611198906,0.5585933140620555,480,1800,184,2000,0.570925925925926,1.0,-0.5604958046662154,0.570925925925926,0.0,0.01053968253968254,0.08850793650793651,0.1085901224145209,10.528888888888888,0.0028927085515964494,1.2,1.2,0.602978835978836,1.0,-0.5058731807501072,0.602978835978836,0.0,0.02266666666666667,0.05564021164021164,0.16573313895496047,7.240555555555556,0.023216628054784052,1.4918246976412703,2.225540928492468,0.5901534391534392,1.0,-0.5273727095320048,0.5901534391534392,0.0,0.05904761904761905,0.03620634920634921,0.21855835930431286,5.526111111111111,0.05144977833582067,2.209970130881297,2.488853095129057,0.5342486772486772,1.0,-0.6268938606892166,0.5342486772486772,0.0,0.003746031746031746,0.132994708994709,0.06988334317779091,15.04888888888889,0.010720784729861958,1.0717706060230718,3.9997867877123934,1.0021105489607212,1.0411410494819682,0.002108324874292672,0.04031727426637589,0.0012638888888889255,0.023837433862433897,0.0,0.0,2.69268429176156,1.2,0.5634391534391534,1.0,-0.5736959310323501,0.5634391534391534,0.0,0.09276190476190477,0.030756613756613756,0.2235269000853971,5.204444444444444,0.012264183610727036
5,0,105,rts,0.1,1.4918246976412703,2.225540928492468,2.209970130881297,2.488853095129057,1.0217323088785086,False,True,True,-0.626557355427606,1.5739588404457006,2.209970130881297,1.5739588404457006,3.999998555520698,11,0.02777777777777778,1.3862943611198906,0.5585933140620555,480,1800,184,2000,0.570925925925926,1.0,-0.5604958046662154,0.570925925925926,0.0,0.01053968253968254,0.08850793650793651,0.1085901224145209,10.528888888888888,0.0028927085515964494,1.2,1.2,0.602978835978836,1.0,-0.5058731807501072,0.602978835978836,0.0,0.02266666666666667,0.05564021164021164,0.16573313895496047,7.240555555555556,0.023216628054784052,1.4918246976412703,2.225540928492468,0.5901534391534392,1.0,-0.5273727095320048,0.5901534391534392,0.0,0.05904761904761905,0.03620634920634921,0.21855835930431286,5.526111111111111,0.05144977833582067,2.209970130881297,2.488853095129057,0.5342486772486772,1.0,-0.6268938606892166,0.5342486772486772,0.0,0.003746031746031746,0.132994708994709,0.06988334317779091,15.04888888888889,0.010720784729861958,1.0717706060230718,3.9997867877123934,1.0021105489607212,1.0411410494819682,0.002108324874292672,0.04031727426637589,0.0012638888888889255,0.023837433862433897,0.0,0.0,2.69268429176156,1.2,0.5634391534391534,1.0,-0.5736959310323501,0.5634391534391534,0.0,0.09276190476190477,0.030756613756613756,0.2235269000853971,5.204444444444444,0.012264183610727036
5,0,105,rts,0.2,1.4918246976412703,2.225540928492468,2.209970130881297,2.488853095129057,1.0217323088785086,False,True,True,-0.626557355427606,1.5739588404457006,2.209970130881297,1.5739588404457006,3.999998555520698,11,0.02777777777777778,1.3862943611198906,0.5585933140620555,480,1800,184,2000,0.570925925925926,1.0,-0.5604958046662154,0.570925925925926,0.0,0.01053968253968254,0.08850793650793651,0.1085901224145209,10.528888888888888,0.0028927085515964494,1.2,1.2,0.602978835978836,1.0,-0.5058731807501072,0.602978835978836,0.0,0.02266666666666667,0.05564021164021164,0.16573313895496047,7.240555555555556,0.023216628054784052,1.4918246976412703,2.225540928492468,0.5901534391534392,1.0,-0.5273727095320048,0.5901534391534392,0.0,0.05904761904761905,0.03620634920634921,0.21855835930431286,5.526111111111111,0.05144977833582067,2.209970130881297,2.488853095129057,0.5342486772486772,1.0,-0.6268938606892166,0.5342486772486772,0.0,0.003746031746031746,0.132994708994709,0.06988334317779091,15.04888888888889,0.010720784729861958,1.0717706060230718,3.9997867877123934,1.0021105489607212,1.0411410494819682,0.002108324874292672,0.04031727426637589,0.0012638888888889255,0.023837433862433897,0.0,0.0,2.69268429176156,1.2,0.5634391534391534,1.0,-0.5736959310323501,0.5634391534391534,0.0,0.09276190476190477,0.030756613756613756,0.2235269000853971,5.204444444444444,0.012264183610727036
5,0,105,rts,0.5,1.4918246976412703,2.225540928492468,2.209970130881297,2.488853095129057,1.0217323088785086,False,True,True,-0.626557355427606,1.5739588404457006,2.209970130881297,1.5739588404457006,3.999998555520698,11,0.02777777777777778,1.3862943611198906,0.5585933140620555,480,1800,184,2000,0.570925925925926,1.0,-0.5604958046662154,0.570925925925926,0.0,0.01053968253968254,0.08850793650793651,0.1085901224145209,10.528888888888888,0.0028927085515964494,1.2,1.2,0.602978835978836,1.0,-0.5058731807501072,0.602978835978836,0.0,0.02266666666666667,0.05564021164021164,0.16573313895496047,7.240555555555556,0.023216628054784052,1.4918246976412703,2.225540928492468,0.5901534391534392,1.0,-0.5273727095320048,0.5901534391534392,0.0,0.05904761904761905,0.03620634920634921,0.21855835930431286,5.526111111111111,0.05144977833582067,2.209970130881297,2.488853095129057,0.5342486772486772,1.0,-0.6268938606892166,0.5342486772486772,0.0,0.003746031746031746,0.132994708994709,0.06988334317779091,15.04888888888889,0.010720784729861958,1.0717706060230718,3.9997867877123934,1.0021105489607212,1.0411410494819682,0.002108324874292672,0.04031727426637589,0.0012638888888889255,0.023837433862433897,0.0,0.0,2.69268429176156,1.2,0.5634391534391534,1.0,-0.5736959310323501,0.5634391534391534,0.0,0.09276190476190477,0.030756613756613756,0.2235269000853971,5.204444444444444,0.012264183610727036
5,0,105,basic,0.0,1.7589303741730606,2.225540928492468,1.3020005939902721,1.3020005939902721,0.9011818333957589,False,False,True,-0.562836576467693,1.3020005939902721,1.3020005939902721,1.0512710963760241,2.225540928492468,11,0.05,0.8,0.554517744447956,480,1800,57,2000,0.6736825396825397,1.0,-0.39499628840267476,0.6736825396825397,0.0,0.06453439153439153,0.09397354497354497,0.11454787627645405,11.261666666666667,0.0008170673186635192,1.2,1.2,0.5983227513227514,1.0,-0.5136249526958209,0.5983227513227514,0.0,0.20196825396825396,0.04658730158730159,0.18451342867108475,6.371111111111111,0.0033012720745064727,1.7589303741730606,2.225540928492468,0.6639312169312169,1.0,-0.4095767238304206,0.6639312169312169,0.0,0.0945026455026455,0.07611640211640211,0.13722025912838634,9.433333333333334,0.0009712618762405258,1.3020005939902721,1.3020005939902721,0.6288359788359789,1.0,-0.46388482125343944,0.6288359788359789,0.0,0.02660846560846561,0.15042857142857144,0.07067183883691365,17.04277777777778,0.0015283416952822774,1.071769982847686,3.9997402748692257,0.8694340280648253,0.9321764070765346,-0.13991282172610023,-0.07023320766833946,-0.08747645502645504,-0.04431031746031746,0.0,0.0,2.1660665171408264,1.2,0.5684391534391534,1.0,-0.5648610015299509,0.5684391534391534,0.0,0.24702645502645504,0.036783068783068786,0.2065556711758585,5.338888888888889,0.0010895203789067986
5,0,105,basic,0.05,1.7589303741730606,2.225540928492468,1.3020005939902721,1.3020005939902721,0.9011818333957589,False,False,True,-0.562836576467693,1.3020005939902721,1.3020005939902721,1.0512710963760241,2.225540928492468,11,0.05,0.8,0.554517744447956,480,1800,57,2000,0.6736825396825397,1.0,-0.39499628840267476,0.6736825396825397,0.0,0.06453439153439153,0.09397354497354497,0.11454787627645405,11.261666666666667,0.0008170673186635192,1.2,1.2,0.5983227513227514,1.0,-0.5136249526958209,0.5983227513227514,0.0,0.20196825396825396,0.04658730158730159,0.18451342867108475,6.371111111111111,0.0033012720745064727,1.7589303741730606,2.225540928492468,0.6639312169312169,1.0,-0.4095767238304206,0.6639312169312169,0.0,0.0945026455026455,0.07611640211640211,0.13722025912838634,9.433333333333334,0.0009712618762405258,1.3020005939902721,1.3020005939902721,0.6288359788359789,1.0,-0.46388482125343944,0.6288359788359789,0.0,0.02660846560846561,0.15042857142857144,0.07067183883691365,17.04277777777778,0.0015283416952822774,1.071769982847686,3.9997402748692257,0.8694340280648253,0.9321764070765346,-0.13991282172610023,-0.07023320766833946,-0.08747645502645504,-0.04431031746031746,0.0,0.0,2.1660665171408264,1.2,0.5684391534391534,1.0,-0.5648610015299509,0.5684391534391534,0.0,0.24702645502645504,0.036783068783068786,0.2065556711758585,5.338888888888889,0.0010895203789067986
5,0,105,basic,0.1,1.7589303741730606,2.225540928492468,1.3020005939902721,1.3020005939902721,0.9011818333957589,False,False,True,-0.562836576467693,1.3020005939902721,1.3020005939902721,1.0512710963760241,2.225540928492468,11,0.05,0.8,0.554517744447956,480,1800,57,2000,0.6736825396825397,1.0,-0.39499628840267476,0.6736825396825397,0.0,0.06453439153439153,0.09397354497354497,0.11454787627645405,11.261666666666667,0.0008170673186635192,1.2,1.2,0.5983227513227514,1.0,-0.5136249526958209,0.5983227513227514,0.0,0.20196825396825396,0.04658730158730159,0.18451342867108475,6.371111111111111,0.0033012720745064727,1.7589303741730606,2.225540928492468,0.6639312169312169,1.0,-0.4095767238304206,0.6639312169312169,0.0,0.0945026455026455,0.07611640211640211,0.13722025912838634,9.433333333333334,0.0009712618762405258,1.3020005939902721,1.3020005939902721,0.6288359788359789,1.0,-0.46388482125343944,0.6288359788359789,0.0,0.02660846560846561,0.15042857142857144,0.07067183883691365,17.04277777777778,0.0015283416952822774,1.071769982847686,3.9997402748692257,0.8694340280648253,0.9321764070765346,-0.13991282172610023,-0.07023320766833946,-0.08747645502645504,-0.04431031746031746,0.0,0.0,2.1660665171408264,1.2,0.5684391534391534,1.0,-0.5648610015299509,0.5684391534391534,0.0,0.24702645502645504,0.036783068783068786,0.2065556711758585,5.338888888888889,0.0010895203789067986
5,0,105,basic,0.2,1.7589303741730606,2.225540928492468,1.3020005939902721,1.3020005939902721,0.9011818333957589,False,False,True,-0.562836576467693,1.3020005939902721,1.3020005939902721,1.0512710963760241,2.225540928492468,11,0.05,0.8,0.554517744447956,480,1800,57,2000,0.6736825396825397,1.0,-0.39499628840267476,0.6736825396825397,0.0,0.06453439153439153,0.09397354497354497,0.11454787627645405,11.261666666666667,0.0008170673186635192,1.2,1.2,0.5983227513227514,1.0,-0.5136249526958209,0.5983227513227514,0.0,0.20196825396825396,0.04658730158730159,0.18451342867108475,6.371111111111111,0.0033012720745064727,1.7589303741730606,2.225540928492468,0.6639312169312169,1.0,-0.4095767238304206,0.6639312169312169,0.0,0.0945026455026455,0.07611640211640211,0.13722025912838634,9.433333333333334,0.0009712618762405258,1.3020005939902721,1.3020005939902721,0.6288359788359789,1.0,-0.46388482125343944,0.6288359788359789,0.0,0.02660846560846561,0.15042857142857144,0.07067183883691365,17.04277777777778,0.0015283416952822774,1.071769982847686,3.9997402748692257,0.8694340280648253,0.9321764070765346,-0.13991282172610023,-0.07023320766833946,-0.08747645502645504,-0.04431031746031746,0.0,0.0,2.1660665171408264,1.2,0.5684391534391534,1.0,-0.5648610015299509,0.5684391534391534,0.0,0.24702645502645504,0.036783068783068786,0.2065556711758585,5.338888888888889,0.0010895203789067986
5,0,105,basic,0.5,1.7589303741730606,2.225540928492468,1.3020005939902721,1.3020005939902721,0.9011818333957589,False,False,True,-0.562836576467693,1.3020005939902721,1.3020005939902721,1.0512710963760241,2.225540928492468,11,0.05,0.8,0.554517744447956,480,1800,57,2000,0.6736825396825397,1.0,-0.39499628840267476,0.6736825396825397,0.0,0.06453439153439153,0.09397354497354497,0.11454787627645405,11.261666666666667,0.0008170673186635192,1.2,1.2,0.5983227513227514,1.0,-0.5136249526958209,0.5983227513227514,0.0,0.20196825396825396,0.04658730158730159,0.18451342867108475,6.371111111111111,0.0033012720745064727,1.7589303741730606,2.225540928492468,0.6639312169312169,1.0,-0.4095767238304206,0.6639312169312169,0.0,0.0945026455026455,0.07611640211640211,0.13722025912838634,9.433333333333334,0.0009712618762405258,1.3020005939902721,1.3020005939902721,0.6288359788359789,1.0,-0.46388482125343944,0.6288359788359789,0.0,0.02660846560846561,0.15042857142857144,0.07067183883691365,17.04277777777778,0.0015283416952822774,1.071769982847686,3.9997402748692257,0.8694340280648253,0.9321764070765346,-0.13991282172610023,-0.07023320766833946,-0.08747645502645504,-0.04431031746031746,0.0,0.0,2.1660665171408264,1.2,0.5684391534391534,1.0,-0.5648610015299509,0.5684391534391534,0.0,0.24702645502645504,0.036783068783068786,0.2065556711758585,5.338888888888889,0.0010895203789067986
