topology,N,W_eff,protocol,seed,CW0,mean_success,std_success,mean_spatial_reuse,mean_degree,alpha_G
complete,9,50,mfg_carrier_sense,456,,8.885,0.3630082643687331,0.0,8.0,1
complete,9,50,oracle_topology,456,2,8.5375,0.0,0.0,8.0,1
complete,9,100,dcf_ieee,456,16,8.96,0.22,0.0,8.0,1
complete,9,100,dcf_topology,456,18,8.93,0.25514701644346144,0.0,8.0,1
complete,9,100,mfg_full_N,456,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_perfect_local,456,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_carrier_sense,456,,9.0,0.0,0.0,8.0,1
complete,9,100,oracle_topology,456,7,8.975,0.0,0.0,8.0,1
complete,9,200,dcf_ieee,456,16,9.0,0.0,0.0,8.0,1
complete,9,200,dcf_topology,456,18,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_full_N,456,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_perfect_local,456,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_carrier_sense,456,,9.0,0.0,0.0,8.0,1
complete,9,200,oracle_topology,456,2,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_ieee,456,16,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_topology,456,18,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_full_N,456,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_perfect_local,456,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_carrier_sense,456,,9.0,0.0,0.0,8.0,1
complete,9,500,oracle_topology,456,2,9.0,0.0,0.0,8.0,1
complete,9,20,dcf_ieee,789,16,4.71,1.3985349477220796,0.0,8.0,1
complete,9,20,dcf_topology,789,18,4.66,1.3908270920570969,0.0,8.0,1
complete,9,20,mfg_full_N,789,,7.885,1.5753650370628387,0.0,8.0,1
complete,9,20,mfg_perfect_local,789,,7.885,1.5753650370628387,0.0,8.0,1
complete,9,20,mfg_carrier_sense,789,,6.745,1.3564567814714923,0.0,8.0,1
complete,9,20,oracle_topology,789,18,4.975,0.0,0.0,8.0,1
complete,9,50,dcf_ieee,789,16,8.23,0.9203803561571705,0.0,8.0,1
complete,9,50,dcf_topology,789,18,8.085,0.963210776517788,0.0,8.0,1
complete,9,50,mfg_full_N,789,,9.0,0.0,0.0,8.0,1
complete,9,50,mfg_perfect_local,789,,9.0,0.0,0.0,8.0,1
