eps_idle,eps_coll,c_idle,c_coll,T,rho
0.05,0.05,1.0512710963760241,1.0512710963760241,0.7183234126984127,0.14009695195215932
0.062996,0.05,1.0650225791324688,1.0512710963760241,0.7186061507936508,0.16036335774585667
0.07937,0.05,1.0826048117555036,1.0512710963760241,0.7205505952380953,0.18241396639199245
0.1,0.05,1.1051709180756477,1.0512710963760241,0.7187152777777778,0.19324605053384222
0.125992,0.05,1.1342730940619756,1.0512710963760241,0.7208234126984127,0.23621299494900838
0.15874,0.05,1.1720331784361693,1.0512710963760241,0.7184077380952381,0.307945122245928
0.2,0.05,1.2214027581601699,1.0512710963760241,0.7261855158730158,0.3664779131004993
0.251984,0.05,1.2865754519129273,1.0512710963760241,0.7225892857142857,0.5169350742067905
0.31748,0.05,1.3736617713551895,1.0512710963760241,0.7174404761904762,0.6868137946292763
0.4,0.05,1.4918246976412703,1.0512710963760241,0.716279761904762,0.8387556959044888
0.503968,0.05,1.6552763934649535,1.0512710963760241,0.7017956349206349,1.0564736150181648
0.63496,0.05,1.886946662082677,1.0512710963760241,0.6832490079365079,1.163659859303195
0.8,0.05,2.225540928492468,1.0512710963760241,0.6358928571428571,1.2861399731660894
0.05,0.062996,1.0512710963760241,1.0650225791324688,0.7185317460317461,0.13329099243386536
0.062996,0.062996,1.0650225791324688,1.0650225791324688,0.7194642857142857,0.15432558396072915
0.07937,0.062996,1.0826048117555036,1.0650225791324688,0.7204513888888889,0.17233188518551668
0.1,0.062996,1.1051709180756477,1.0650225791324688,0.7177728174603175,0.19264286158545435
0.125992,0.062996,1.1342730940619756,1.0650225791324688,0.7215972222222222,0.23033669246738248
0.15874,0.062996,1.1720331784361693,1.0650225791324688,0.7217261904761905,0.2874639175257732
0.2,0.062996,1.2214027581601699,1.0650225791324688,0.7232936507936508,0.3787238711801174
0.251984,0.062996,1.2865754519129273,1.0650225791324688,0.7210367063492064,0.48477927367037926
0.31748,0.062996,1.3736617713551895,1.0650225791324688,0.7219146825396825,0.6723192568263958
0.4,0.062996,1.4918246976412703,1.0650225791324688,0.7123363095238096,0.8506409854672823
0.503968,0.062996,1.6552763934649535,1.0650225791324688,0.6973462301587302,0.9952270868158054
0.63496,0.062996,1.886946662082677,1.0650225791324688,0.6724007936507936,1.164891262651598
0.8,0.062996,2.225540928492468,1.0650225791324688,0.6490029761904762,1.3031129861891333
0.05,0.07937,1.0512710963760241,1.0826048117555036,0.7195833333333334,0.1333443626437257
0.062996,0.07937,1.0650225791324688,1.0826048117555036,0.7192113095238095,0.15279358313849634
0.07937,0.07937,1.0826048117555036,1.0826048117555036,0.7201686507936508,0.16485060543027566
0.1,0.07937,1.1051709180756477,1.0826048117555036,0.7171775793650793,0.1930379090211159
0.125992,0.07937,1.1342730940619756,1.0826048117555036,0.7226488095238095,0.21131749104237882
0.15874,0.07937,1.1720331784361693,1.0826048117555036,0.7191021825396825,0.275186071697098
0.2,0.07937,1.2214027581601699,1.0826048117555036,0.7212996031746032,0.36695228795026613
0.251984,0.07937,1.2865754519129273,1.0826048117555036,0.7216418650793651,0.5004296034588234
0.31748,0.07937,1.3736617713551895,1.0826048117555036,0.7236210317460318,0.6671008075019537
0.4,0.07937,1.4918246976412703,1.0826048117555036,0.7149751984126984,0.8575611042119066
0.503968,0.07937,1.6552763934649535,1.0826048117555036,0.6985664682539683,0.995263826856303
0.63496,0.07937,1.886946662082677,1.0826048117555036,0.6820982142857143,1.147719091563584
0.8,0.07937,2.225540928492468,1.0826048117555036,0.6501736111111112,1.2700972725538813
0.05,0.1,1.0512710963760241,1.1051709180756477,0.7169394841269842,0.13015532569965751
0.062996,0.1,1.0650225791324688,1.1051709180756477,0.7179761904761904,0.1422235118554137
0.07937,0.1,1.0826048117555036,1.1051709180756477,0.7195238095238096,0.16396426207809398
0.1,0.1,1.1051709180756477,1.1051709180756477,0.7182291666666667,0.20312856106909769
0.125992,0.1,1.1342730940619756,1.1051709180756477,0.7218898809523809,0.22635416022482874
0.15874,0.1,1.1720331784361693,1.1051709180756477,0.7219791666666666,0.29325803326669003
0.2,0.1,1.2214027581601699,1.1051709180756477,0.7181001984126985,0.34330554193231977
0.251984,0.1,1.2865754519129273,1.1051709180756477,0.7221230158730159,0.46653386454183265
0.31748,0.1,1.3736617713551895,1.1051709180756477,0.7152281746031746,0.6189888341771274
0.4,0.1,1.4918246976412703,1.1051709180756477,0.7186755952380952,0.8020844117748559
0.503968,0.1,1.6552763934649535,1.1051709180756477,0.7029960317460318,1.0048686178770003
0.63496,0.1,1.886946662082677,1.1051709180756477,0.6860267857142858,1.1447474024424633
0.8,0.1,2.225540928492468,1.1051709180756477,0.6448958333333333,1.2869834090961534
0.05,0.125992,1.0512710963760241,1.1342730940619756,0.7158035714285714,0.12314110293404294
0.062996,0.125992,1.0650225791324688,1.1342730940619756,0.7160763888888889,0.12367606209433296
0.07937,0.125992,1.0826048117555036,1.1342730940619756,0.7172073412698413,0.15727337487637372
0.1,0.125992,1.1051709180756477,1.1342730940619756,0.7170982142857143,0.18023477003742208
0.125992,0.125992,1.1342730940619756,1.1342730940619756,0.7205952380952381,0.20756924940800706
