access,w_eff,n_vis,n_nat,c_coll,c_idle,T,rho
rts,840,10,30,1.3,1.3791,0.60757,1.16696
rts,840,10,5,1.4,1.4164,0.74051,0.95587
rts,840,10,10,1.4,1.4164,0.72363,0.95007
rts,840,10,20,1.4,1.4164,0.66611,0.95009
rts,840,10,30,1.4,1.4164,0.60639,0.91591
rts,840,10,5,1.5,1.4545,0.73635,0.98051
rts,840,10,10,1.5,1.4545,0.72136,0.97708
rts,840,10,20,1.5,1.4545,0.66577,0.91019
rts,840,10,30,1.5,1.4545,0.60204,0.75752
rts,840,10,5,1.6,1.4935,0.73306,1.00005
rts,840,10,10,1.6,1.4935,0.72092,0.9921
rts,840,10,20,1.6,1.4935,0.66349,0.88281
rts,840,10,30,1.6,1.4935,0.60034,0.66144
rts,1680,10,5,1.05,1.1626,0.74951,0.88856
rts,1680,10,10,1.05,1.1626,0.73662,0.93065
rts,1680,10,20,1.05,1.1626,0.69303,1.2533
rts,1680,10,30,1.05,1.1626,0.65204,1.71899
rts,1680,10,5,1.1,1.1788,0.74926,0.91589
rts,1680,10,10,1.1,1.1788,0.73672,0.95696
rts,1680,10,20,1.1,1.1788,0.69421,1.17572
rts,1680,10,30,1.1,1.1788,0.64977,1.47144
rts,1680,10,5,1.2,1.2129,0.75092,0.95133
rts,1680,10,10,1.2,1.2129,0.73658,1.00643
rts,1680,10,20,1.2,1.2129,0.69349,1.0699
rts,1680,10,30,1.2,1.2129,0.64762,1.0813
rts,1680,10,5,1.3,1.2501,0.74912,1.00222
rts,1680,10,10,1.3,1.2501,0.73749,1.03636
rts,1680,10,20,1.3,1.2501,0.69152,1.02885
rts,1680,10,30,1.3,1.2501,0.64379,0.86102
rts,1680,10,5,1.4,1.2917,0.74726,1.03979
rts,1680,10,10,1.4,1.2917,0.73533,1.08598
rts,1680,10,20,1.4,1.2917,0.69217,1.02417
rts,1680,10,30,1.4,1.2917,0.64243,0.7494
rts,1680,10,5,1.5,1.3381,0.74328,1.07232
rts,1680,10,10,1.5,1.3381,0.73315,1.14668
rts,1680,10,20,1.5,1.3381,0.69034,1.06705
rts,1680,10,30,1.5,1.3381,0.64229,0.72687
rts,1680,10,5,1.6,1.389,0.73915,1.1006
rts,1680,10,10,1.6,1.389,0.7292,1.18947
rts,1680,10,20,1.6,1.389,0.68913,1.16456
rts,1680,10,30,1.6,1.389,0.6395,0.76027
basic,105,10,5,1.05,2.8754,0.60437,0.67389
basic,105,10,10,1.05,2.8754,0.56409,0.4993
basic,105,10,20,1.05,2.8754,0.43728,0.37708
basic,105,10,30,1.05,2.8754,0.32299,0.34211
basic,105,10,5,1.1,2.9285,0.60363,0.64091
basic,105,10,10,1.1,2.9285,0.56394,0.51456
basic,105,10,20,1.1,2.9285,0.43206,0.37605
basic,105,10,30,1.1,2.9285,0.32008,0.33093
basic,105,10,5,1.2,3.0309,0.59893,0.67141
basic,105,10,10,1.2,3.0309,0.55989,0.51382
basic,105,10,20,1.2,3.0309,0.42873,0.39193
basic,105,10,30,1.2,3.0309,0.31833,0.32578
basic,105,10,5,1.3,3.1291,0.58249,0.65822
basic,105,10,10,1.3,3.1291,0.56325,0.51154
basic,105,10,20,1.3,3.1291,0.4335,0.37205
basic,105,10,30,1.3,3.1291,0.31698,0.33317
basic,105,10,5,1.4,3.2234,0.57362,0.67214
basic,105,10,10,1.4,3.2234,0.55768,0.5055
basic,105,10,20,1.4,3.2234,0.43303,0.37491
basic,105,10,30,1.4,3.2234,0.31424,0.31789
basic,105,10,5,1.5,3.3144,0.57231,0.65802
basic,105,10,10,1.5,3.3144,0.55347,0.52298
basic,105,10,20,1.5,3.3144,0.43334,0.38109
basic,105,10,30,1.5,3.3144,0.31392,0.311
basic,105,10,5,1.6,3.4023,0.57931,0.65425
basic,105,10,10,1.6,3.4023,0.5512,0.52664
basic,105,10,20,1.6,3.4023,0.43028,0.37499
basic,105,10,30,1.6,3.4023,0.31263,0.29766
basic,210,10,5,1.05,2.1059,0.60387,0.78174
basic,210,10,10,1.05,2.1059,0.57431,0.6891
basic,210,10,20,1.05,2.1059,0.44675,0.68836
basic,210,10,30,1.05,2.1059,0.3434,0.81172
basic,210,10,5,1.1,2.1409,0.5984,0.78295
basic,210,10,10,1.1,2.1409,0.5666,0.69824
basic,210,10,20,1.1,2.1409,0.44817,0.67258
basic,210,10,30,1.1,2.1409,0.33774,0.80814
basic,210,10,5,1.2,2.2085,0.59993,0.79455
basic,210,10,10,1.2,2.2085,0.56724,0.71011
basic,210,10,20,1.2,2.2085,0.45345,0.66214
basic,210,10,30,1.2,2.2085,0.33643,0.76992
basic,210,10,5,1.3,2.2734,0.58567,0.78858
basic,210,10,10,1.3,2.2734,0.5653,0.72579
basic,210,10,20,1.3,2.2734,0.45093,0.65252
basic,210,10,30,1.3,2.2734,0.33733,0.73915
basic,210,10,5,1.4,2.3361,0.59005,0.79173
basic,210,10,10,1.4,2.3361,0.55296,0.73804
basic,210,10,20,1.4,2.3361,0.44865,0.64629
basic,210,10,30,1.4,2.3361,0.33187,0.7577
basic,210,10,5,1.5,2.3968,0.59079,0.79952
basic,210,10,10,1.5,2.3968,0.5496,0.72529
basic,210,10,20,1.5,2.3968,0.44638,0.59951
basic,210,10,30,1.5,2.3968,0.32947,0.71125
basic,210,10,5,1.6,2.4556,0.57649,0.81328
basic,210,10,10,1.6,2.4556,0.54321,0.72438
basic,210,10,20,1.6,2.4556,0.44896,0.59926
basic,210,10,30,1.6,2.4556,0.33016,0.71148
basic,420,10,5,1.05,1.6124,0.59714,0.80847
basic,420,10,10,1.05,1.6124,0.57101,0.78414
basic,420,10,20,1.05,1.6124,0.45248,0.82496
basic,420,10,30,1.05,1.6124,0.34242,1.07679
basic,420,10,5,1.1,1.6372,0.59182,0.84913
basic,420,10,10,1.1,1.6372,0.5842,0.78946
basic,420,10,20,1.1,1.6372,0.45351,0.85405
basic,420,10,30,1.1,1.6372,0.34185,1.01214
basic,420,10,5,1.2,1.6857,0.5858,0.85663
basic,420,10,10,1.2,1.6857,0.56037,0.77235
basic,420,10,20,1.2,1.6857,0.45051,0.78247
basic,420,10,30,1.2,1.6857,0.33398,0.9456
basic,420,10,5,1.3,1.7327,0.58146,0.86555
basic,420,10,10,1.3,1.7327,0.56037,0.80263
basic,420,10,20,1.3,1.7327,0.44669,0.74467
basic,420,10,30,1.3,1.7327,0.33178,0.85035
basic,420,10,5,1.4,1.7786,0.57537,0.88443
basic,420,10,10,1.4,1.7786,0.5587,0.83518
basic,420,10,20,1.4,1.7786,0.44826,0.74258
basic,420,10,30,1.4,1.7786,0.33146,0.82101
basic,420,10,5,1.5,1.8235,0.5654,0.88338
basic,420,10,10,1.5,1.8235,0.55835,0.8318
basic,420,10,20,1.5,1.8235,0.4438,0.71884
basic,420,10,30,1.5,1.8235,0.33687,0.75196
basic,420,10,5,1.6,1.8675,0.56848,0.90189
