eps_idle,eps_coll,c_idle,c_coll,T,rho,F,on_front
0.05,0.05,1.0512710963760241,1.0512710963760241,0.723561507936508,0.18991910605333517,0.06332704678564204,False
0.05,0.062996,1.0512710963760241,1.0650225791324688,0.7177430555555555,0.18497964712468123,0.057978198333835614,False
0.05,0.07937,1.0512710963760241,1.0826048117555036,0.7213095238095238,0.1858083016999505,0.05885827304236898,False
0.05,0.1,1.0512710963760241,1.1051709180756477,0.7209126984126984,0.17927423350030278,0.05210959492024035,False
0.05,0.125992,1.0512710963760241,1.1342730940619756,0.7212996031746032,0.1813958766006024,0.05425284526580897,False
0.05,0.15874,1.0512710963760241,1.1720331784361693,0.7214732142857143,0.18563207722294414,0.05867052826349128,False
0.05,0.2,1.0512710963760241,1.2214027581601699,0.7196478174603175,0.16297447632701734,0.03720981934303262,False
0.05,0.251984,1.0512710963760241,1.2865754519129273,0.718313492063492,0.14602035742894237,0.024678779678479732,False
0.05,0.31748,1.0512710963760241,1.3736617713551895,0.7192857142857143,0.1415611552466071,0.02188143453648315,False
0.05,0.4,1.0512710963760241,1.4918246976412703,0.7178373015873016,0.13089084828215264,0.016007769464892223,False
0.05,0.503968,1.0512710963760241,1.6552763934649535,0.7171974206349206,0.11891110542441576,0.010734898970191012,False
0.05,0.63496,1.0512710963760241,1.886946662082677,0.717281746031746,0.11077494398495201,0.007898198352785914,False
0.05,0.8,1.0512710963760241,2.225540928492468,0.7225892857142857,0.10694427282837021,0.006756670395760357,False
0.062996,0.05,1.0650225791324688,1.0512710963760241,0.7186855158730159,0.21658257814710777,0.09630479273385475,False
0.062996,0.062996,1.0650225791324688,1.0650225791324688,0.7191071428571428,0.21101316116215543,0.08886633975212169,False
0.062996,0.07937,1.0650225791324688,1.0826048117555036,0.7186061507936508,0.20514457689944848,0.0813346090877292,False
0.062996,0.1,1.0650225791324688,1.1051709180756477,0.7189484126984127,0.19128259969642614,0.06484683781019182,False
0.062996,0.125992,1.0650225791324688,1.1342730940619756,0.7198958333333333,0.1788246480765653,0.051661402017856496,False
0.062996,0.15874,1.0650225791324688,1.1720331784361693,0.720749007936508,0.18765613924007077,0.0608458921150718,False
0.062996,0.2,1.0650225791324688,1.2214027581601699,0.720109126984127,0.18869081240442503,0.061973923609707375,False
0.062996,0.251984,1.0650225791324688,1.2865754519129273,0.7162599206349206,0.16730841147384315,0.04089918946548693,False
0.062996,0.31748,1.0650225791324688,1.3736617713551895,0.7194890873015873,0.15856365779839918,0.03365857616102968,False
0.062996,0.4,1.0650225791324688,1.4918246976412703,0.7181200396825397,0.14950992243028743,0.027011523144768484,False
0.062996,0.503968,1.0650225791324688,1.6552763934649535,0.7146279761904762,0.12052558149220165,0.011367415991827957,False
0.062996,0.63496,1.0650225791324688,1.886946662082677,0.7153621031746031,0.11847771067211217,0.010569119096664562,False
0.062996,0.8,1.0650225791324688,2.225540928492468,0.7211656746031746,0.11215927146168503,0.008340571630332758,False
0.07937,0.05,1.0826048117555036,1.0512710963760241,0.720639880952381,0.23721271191690588,0.1261681488071671,False
0.07937,0.062996,1.0826048117555036,1.0650225791324688,0.7208829365079366,0.24445056079267874,0.13744182059021687,False
0.07937,0.07937,1.0826048117555036,1.0826048117555036,0.7242460317460317,0.2413634869322229,0.13258602223600482,False
0.07937,0.1,1.0826048117555036,1.1051709180756477,0.7241021825396825,0.22739572130237912,0.11152024542517698,False
0.07937,0.125992,1.0826048117555036,1.1342730940619756,0.7221726190476191,0.21839068617350094,0.09877902518410228,False
0.07937,0.15874,1.0826048117555036,1.1720331784361693,0.7210019841269841,0.19638262448917818,0.07069532036930086,False
0.07937,0.2,1.0826048117555036,1.2214027581601699,0.7221825396825396,0.192744106819056,0.06649649131740855,False
0.07937,0.251984,1.0826048117555036,1.2865754519129273,0.7221577380952381,0.18647612767623484,0.05957262111817103,False
0.07937,0.31748,1.0826048117555036,1.3736617713551895,0.715625,0.17383031815346228,0.046823744655558205,False
0.07937,0.4,1.0826048117555036,1.4918246976412703,0.7214880952380952,0.1547005197590958,0.030716911251610555,False
0.07937,0.503968,1.0826048117555036,1.6552763934649535,0.7180952380952381,0.13470863726790452,0.01797837124573546,False
0.07937,0.63496,1.0826048117555036,1.886946662082677,0.7177976190476191,0.11523550874865247,0.009382033728343474,False
0.07937,0.8,1.0826048117555036,2.225540928492468,0.714766865079365,0.10683428523841579,0.006725650675842145,False
0.1,0.05,1.1051709180756477,1.0512710963760241,0.7230605158730159,0.2736487181773903,0.18648903294483754,False
0.1,0.062996,1.1051709180756477,1.0650225791324688,0.7246230158730159,0.260603488403932,0.163921663947378,False
0.1,0.07937,1.1051709180756477,1.0826048117555036,0.7234920634920635,0.2577302270732778,0.1590865025455113,False
0.1,0.1,1.1051709180756477,1.1051709180756477,0.7207192460317461,0.25080352656971583,0.14764784758791558,False
0.1,0.125992,1.1051709180756477,1.1342730940619756,0.7196974206349206,0.24278556216443473,0.1348142528965845,False
0.1,0.15874,1.1051709180756477,1.1720331784361693,0.7220337301587302,0.23684752888803398,0.12560973481452783,False
0.1,0.2,1.1051709180756477,1.2214027581601699,0.7220535714285714,0.2093277276287045,0.08667065681636679,False
0.1,0.251984,1.1051709180756477,1.2865754519129273,0.7204761904761905,0.18261525115664246,0.055505618293655266,False
0.1,0.31748,1.1051709180756477,1.3736617713551895,0.72375,0.18714532445102394,0.06029297518096308,False
0.1,0.4,1.1051709180756477,1.4918246976412703,0.7215823412698412,0.16302218311553507,0.03724935201268309,False
0.1,0.503968,1.1051709180756477,1.6552763934649535,0.7187053571428571,0.14875665155185624,0.02649723198032993,False
0.1,0.63496,1.1051709180756477,1.886946662082677,0.7149702380952381,0.12948008158847774,0.015315819743073368,False
0.1,0.8,1.1051709180756477,2.225540928492468,0.7190228174603175,0.11775033631126902,0.010294677641029103,False
