n_vis,n_nat,w_eff,access,eps_idle,eps_coll,c_idle,c_coll,T,rho,J_a0.0,J_a0.05,J_a0.1,J_a0.2,J_a0.5
10,10,420,rts,0.05,0.05,1.0512710963760241,1.0512710963760241,0.7183234126984127,0.14009695195215932,-0.33083537583642597,-0.5239792790647149,-0.7171231822930038,-1.1034109887495815,-2.262274408119315
10,10,420,rts,0.05,0.087055,1.0512710963760241,1.0909566806856736,0.7194990079365079,0.1322017773059131,-0.3292001314791427,-0.5339127516536516,-0.7386253718281606,-1.1480506121771783,-2.376326333224232
10,10,420,rts,0.05,0.151572,1.0512710963760241,1.1636620824634731,0.7167956349206349,0.1230398737768674,-0.332964507015412,-0.5524674644715227,-0.7719704219276334,-1.2109763368398547,-2.527994081576519
10,10,420,rts,0.05,0.263902,1.0512710963760241,1.3020005939902721,0.7165079365079365,0.10442512184315463,-0.333365955002143,-0.5885843909698293,-0.8438028269375155,-1.3542396988728882,-2.885550314679006
10,10,420,rts,0.05,0.459479,1.0512710963760241,1.583248897402281,0.7156051587301587,0.08908543939667005,-0.33462671841581737,-0.6270014569302795,-0.9193761954447416,-1.5041256724736658,-3.2583741035604383
10,10,420,rts,0.05,0.8,1.0512710963760241,2.225540928492468,0.7186904761904762,0.07651427309369996,-0.3303245060349788,-0.6606409505439075,-0.9909573950528361,-1.6515902840706933,-3.633488951124265
10,10,420,rts,0.087055,0.05,1.0909566806856736,1.0512710963760241,0.7183978174603175,0.20744464161183188,-0.33073180005511305,-0.45443106756443075,-0.5781303350737484,-0.8255288700923837,-1.5677244751482897
10,10,420,rts,0.087055,0.087055,1.0909566806856736,1.0909566806856736,0.7212698412698413,0.17516230193661972,-0.32674195197863676,-0.4784775198966613,-0.6302130878146859,-0.9336842236507349,-1.844097631158882
10,10,420,rts,0.087055,0.151572,1.0909566806856736,1.1636620824634731,0.718561507936508,0.1623476135908658,-0.3305039710915433,-0.49576298531379265,-0.661021999536042,-0.9915400279805408,-1.9830941133140367
10,10,420,rts,0.087055,0.263902,1.0909566806856736,1.3020005939902721,0.7179861111111111,0.1284456910726376,-0.3313050539773989,-0.5418913727181024,-0.7524776914588059,-1.173650328940213,-2.437168241384434
10,10,420,rts,0.087055,0.459479,1.0909566806856736,1.583248897402281,0.7173065476190477,0.10659087608655063,-0.3322519877455185,-0.5828537138385709,-0.8334554399316232,-1.334658892117728,-2.8382692486760424
10,10,420,rts,0.087055,0.8,1.0909566806856736,2.225540928492468,0.7163244047619047,0.08401022082805326,-0.33362213535451124,-0.6403532111211758,-0.9470842868878403,-1.5605464384211694,-3.400932893021156
10,10,420,rts,0.151572,0.05,1.1636620824634731,1.0512710963760241,0.7178720238095239,0.27142886756078854,-0.3314639656401219,-0.4164919602041774,-0.5015199547682329,-0.6715759438963438,-1.1817439112806767
10,10,420,rts,0.151572,0.087055,1.1636620824634731,1.0909566806856736,0.7230357142857143,0.2687357646606844,-0.32429666069107943,-0.4106299651183357,-0.496963269545592,-0.6696298784001047,-1.1876297049636424
10,10,420,rts,0.151572,0.151572,1.1636620824634731,1.1636620824634731,0.719280753968254,0.24484335238988464,-0.3295035190798121,-0.4285051967989378,-0.5275068745180634,-0.7255102299563148,-1.3195202962710688
10,10,420,rts,0.151572,0.263902,1.1636620824634731,1.3020005939902721,0.7188293650793651,0.1989566369483011,-0.33013127198653824,-0.46048897130477384,-0.5908466706230096,-0.8515620692594807,-1.6337082651688943
10,10,420,rts,0.151572,0.459479,1.1636620824634731,1.583248897402281,0.717906746031746,0.14583016651696262,-0.3314155985477004,-0.5167570245825504,-0.7020984506174003,-1.0727813026871003,-2.1848298588961996
10,10,420,rts,0.151572,0.8,1.1636620824634731,2.225540928492468,0.7187748015873016,0.12101721817742658,-0.3302071809096687,-0.5531968827689998,-0.7761865846283309,-1.222165988346993,-2.5601041995029794
10,10,420,rts,0.263902,0.05,1.3020005939902721,1.0512710963760241,0.7226240079365079,0.5014655308516554,-0.324866236441179,-0.34868644688706607,-0.37250665733295313,-0.4201470782247273,-0.5630683409000496
10,10,420,rts,0.263902,0.087055,1.3020005939902721,1.0909566806856736,0.7224603174603175,0.5177414039327695,-0.3250927844342806,-0.3467593716450505,-0.3684259588558204,-0.41175913327736025,-0.5417586565419797
10,10,420,rts,0.263902,0.151572,1.3020005939902721,1.1636620824634731,0.7218005952380953,0.48371645534824587,-0.326006362115857,-0.3523787785897997,-0.3787511950637424,-0.4314960280116278,-0.5897305268552839
10,10,420,rts,0.263902,0.263902,1.3020005939902721,1.3020005939902721,0.7203769841269841,0.42392651554796595,-0.32798061493170716,-0.364805560805209,-0.40163050667871086,-0.47528039842571457,-0.6962300736667256
10,10,420,rts,0.263902,0.459479,1.3020005939902721,1.583248897402281,0.7243700396825397,0.32085898392829015,-0.3224529126319606,-0.38706334484695565,-0.45167377706195067,-0.5808946414919408,-0.9685572347819111
10,10,420,rts,0.263902,0.8,1.3020005939902721,2.225540928492468,0.7196180555555556,0.21572290194726865,-0.32903468612054154,-0.4466557583120099,-0.5642768305034782,-0.799518974886415,-1.505245408035225
10,10,420,rts,0.459479,0.05,1.583248897402281,1.0512710963760241,0.7110019841269841,0.9308487630635282,-0.34108005856818496,-0.34133680531689004,-0.34159355206559516,-0.34210704556300536,-0.3436475260552359
10,10,420,rts,0.459479,0.087055,1.583248897402281,1.0909566806856736,0.703859126984127,0.9557851414396257,-0.35117704656324306,-0.3512792986543942,-0.3513815507455454,-0.3515860549278477,-0.3521995674747547
10,10,420,rts,0.459479,0.151572,1.583248897402281,1.1636620824634731,0.7133581349206349,0.9386912170666073,-0.3377716916584333,-0.33797183805417924,-0.33817198444992513,-0.338572277241417,-0.33977315561589255
10,10,420,rts,0.459479,0.263902,1.583248897402281,1.3020005939902721,0.7170684523809524,0.8571053050269436,-0.3325839723942778,-0.3337727694560954,-0.33496156651791303,-0.33733916064154834,-0.34447194301245415
10,10,420,rts,0.459479,0.459479,1.583248897402281,1.583248897402281,0.7138640873015873,0.7794739950665324,-0.3370626886815049,-0.34016612481255426,-0.34326956094360367,-0.34947643320570243,-0.36809704999199866
10,10,420,rts,0.459479,0.8,1.583248897402281,2.225540928492468,0.7204910714285714,0.5476175723402937,-0.32782225580730884,-0.3459531787932015,-0.36408410177909417,-0.4003459477508795,-0.5091314856662355
10,10,420,rts,0.8,0.05,2.225540928492468,1.0512710963760241,0.6358928571428571,1.2861399731660894,-0.45272519344546286,-0.455891465416079,-0.4590577373866952,-0.4653902813279275,-0.48438791315162444
10,10,420,rts,0.8,0.087055,2.225540928492468,1.0909566806856736,0.6554017857142858,1.2808543166148234,-0.4225068181036708,-0.4255703060721524,-0.42863379404063395,-0.4347607699775971,-0.4531416977884866
10,10,420,rts,0.8,0.151572,2.225540928492468,1.1636620824634731,0.6701636904761905,1.2463195292550238,-0.40023328229339766,-0.4026575704846719,-0.40508185867594604,-0.40993043505849447,-0.42447616420613965
10,10,420,rts,0.8,0.263902,2.225540928492468,1.3020005939902721,0.6748660714285715,1.2731509044269513,-0.3932410204944234,-0.39615700874186643,-0.3990729969893094,-0.40490497348419546,-0.4224009029688536
10,10,420,rts,0.8,0.459479,2.225540928492468,1.583248897402281,0.6859920634920635,1.2300717302018858,-0.37688922057672786,-0.37903317127730085,-0.3811771219778739,-0.38546502337901994,-0.398328727582458
10,10,420,rts,0.8,0.8,2.225540928492468,2.225540928492468,0.7007787698412699,1.1617743864889543,-0.35556303399510336,-0.35668726132677275,-0.35781148865844215,-0.360059943321781,-0.3668053073117974
10,10,420,rts,0.151572,0.263901,1.1636620824634731,1.301999291990329,0.7188293650793651,0.1989566369483011,-0.33013127198653824,-0.46048897130477384,-0.5908466706230096,-0.8515620692594807,-1.6337082651688943
10,10,420,rts,0.151572,0.34822,1.1636620824634731,1.4165438551103002,0.7182440476190476,0.19526512797138082,-0.3309458684956824,-0.4643451586414763,-0.5977444487872701,-0.8645430290788578,-1.6649387699536207
10,10,420,rts,0.151572,0.606286,1.1636620824634731,1.8336087141345103,0.718640873015873,0.14124987920871354,-0.3303935272452242,-0.5219299661085735,-0.7134664049719226,-1.096539282698621,-2.245757915878716
10,10,420,rts,0.151572,0.799999,1.1636620824634731,2.225538702952652,0.7187748015873016,0.12101721817742658,-0.3302071809096687,-0.5531968827689998,-0.7761865846283309,-1.222165988346993,-2.5601041995029794
10,10,420,rts,0.2,0.263901,1.2214027581601699,1.301999291990329,0.7205059523809524,0.26878433640381677,-0.32780160211804277,-0.41411116039074863,-0.5004207186634545,-0.6730398352088662,-1.190897184845101
10,10,420,rts,0.2,0.34822,1.2214027581601699,1.4165438551103002,0.7205753968253968,0.24660627254453837,-0.32770522387466816,-0.42569993929117245,-0.5236946547076768,-0.7196840855406854,-1.3076523780397111
10,10,420,rts,0.2,0.459479,1.2214027581601699,1.583248897402281,0.7204761904761905,0.21148656091650142,-0.3278429099231584,-0.44852559846530227,-0.5692082870074462,-0.8105736640917339,-1.5346697953445971
10,10,420,rts,0.2,0.606286,1.2214027581601699,1.8336087141345103,0.7202430555555556,0.17717508832583798,-0.32816654677789187,-0.47791827838917383,-0.6276700100004557,-0.9271734732230197,-1.8256838628907115
10,10,420,rts,0.2,0.799999,1.2214027581601699,2.225538702952652,0.7214037698412699,0.1503764568363874,-0.3265562847968406,-0.5060342847360391,-0.6855122846752375,-1.0444682845536342,-2.121336284188825
10,10,420,rts,0.263902,0.263901,1.3020005939902721,1.301999291990329,0.7203769841269841,0.42392651554796595,-0.32798061493170716,-0.364805560805209,-0.40163050667871086,-0.47528039842571457,-0.6962300736667256
10,10,420,rts,0.263902,0.34822,1.3020005939902721,1.4165438551103002,0.7224107142857142,0.35810708743597136,-0.3251614454753463,-0.37789000947772977,-0.43061857348011323,-0.5360757014848803,-0.852447085499181
10,10,420,rts,0.263902,0.606286,1.3020005939902721,1.8336087141345103,0.7179166666666666,0.2701959483735456,-0.33140177980810737,-0.4170245048639374,-0.5026472299197675,-0.6738926800314275,-1.1876290303664079
10,10,420,rts,0.263902,0.799999,1.3020005939902721,2.225538702952652,0.7196180555555556,0.21572290194726865,-0.32903468612054154,-0.4466557583120099,-0.5642768305034782,-0.799518974886415,-1.505245408035225
10,10,420,rts,0.348221,0.263901,1.4165452716548637,1.301999291990329,0.7205803571428572,0.5896784585837309,-0.32769834006985155,-0.3416469335095162,-0.3555955269491808,-0.38349271382851,-0.4671842744664978
10,10,420,rts,0.348221,0.34822,1.4165452716548637,1.4165438551103002,0.719672619047619,0.5419819968846064,-0.3289588661446987,-0.34771805643816905,-0.36647724673163934,-0.40399562731857996,-0.5165507690794019
10,10,420,rts,0.348221,0.459479,1.4165452716548637,1.583248897402281,0.7198958333333333,0.4959243717744658,-0.3286487533645333,-0.3532420708645256,-0.3778353883645178,-0.42702202336450235,-0.5745819283644559
10,10,420,rts,0.348221,0.606286,1.4165452716548637,1.8336087141345103,0.7216765873015873,0.43042133479964256,-0.32617818046991615,-0.361709846624289,-0.39724151277866193,-0.46830484508740766,-0.681494842013645
10,10,420,rts,0.348221,0.799999,1.4165452716548637,2.225538702952652,0.7182688492063493,0.3394542930740385,-0.33091133822817287,-0.38927627176586205,-0.4476412053035512,-0.5643710723789296,-0.9145606736050647
10,10,420,rts,0.45948,0.263901,1.58325048065197,1.301999291990329,0.7170684523809524,0.8571053050269436,-0.3325839723942778,-0.3337727694560954,-0.33496156651791303,-0.33733916064154834,-0.34447194301245415
10,10,420,rts,0.45948,0.34822,1.58325048065197,1.4165438551103002,0.7192509920634921,0.8088358011324059,-0.32954489724869607,-0.33179547669057236,-0.3340460561324487,-0.33854721501620133,-0.35205069166745917
10,10,420,rts,0.45948,0.459479,1.58325048065197,1.583248897402281,0.7138640873015873,0.7794739950665324,-0.3370626886815049,-0.34016612481255426,-0.34326956094360367,-0.34947643320570243,-0.36809704999199866
