eps_idle,eps_coll,c_idle,c_coll,T,rho,F,on_front
0.05,0.05,1.0512710963760241,1.0512710963760241,0.638953373015873,0.13891455055002214,0.02031762545239916,False
0.05,0.062996,1.0512710963760241,1.0650225791324688,0.6345386904761905,0.13143844343863106,0.01628159087995079,False
0.05,0.07937,1.0512710963760241,1.0826048117555036,0.6347767857142858,0.1245594705050363,0.013052542158934023,False
0.05,0.1,1.0512710963760241,1.1051709180756477,0.6326140873015873,0.11944956286509585,0.010943227090661482,False
0.05,0.125992,1.0512710963760241,1.1342730940619756,0.6361359126984127,0.11273733868766814,0.008530086923836309,False
0.05,0.15874,1.0512710963760241,1.1720331784361693,0.6357440476190476,0.11455456205233837,0.00914446575057634,False
0.05,0.2,1.0512710963760241,1.2214027581601699,0.6350099206349207,0.12107672358574575,0.011588778963955399,False
0.05,0.251984,1.0512710963760241,1.2865754519129273,0.6353521825396825,0.10430410580308697,0.006038440023781859,False
0.05,0.31748,1.0512710963760241,1.3736617713551895,0.6378125,0.10068204972663572,0.005140312552468718,False
0.05,0.4,1.0512710963760241,1.4918246976412703,0.6286954365079365,0.0978973529527792,0.004515620471678744,False
0.05,0.503968,1.0512710963760241,1.6552763934649535,0.6270238095238095,0.09296879944307322,0.0035423707652217536,False
0.05,0.63496,1.0512710963760241,1.886946662082677,0.6419494047619048,0.09918326031356005,0.004797155902967553,False
0.05,0.8,1.0512710963760241,2.225540928492468,0.637624007936508,0.0853553230386246,0.002343315212301454,False
0.062996,0.05,1.0650225791324688,1.0512710963760241,0.6335119047619048,0.13995114159541483,0.020921615347399364,False
0.062996,0.062996,1.0650225791324688,1.0650225791324688,0.6334573412698413,0.14126306722524568,0.021701729431138496,False
0.062996,0.07937,1.0650225791324688,1.0826048117555036,0.6371180555555556,0.13746175346262546,0.019489463540091168,False
0.062996,0.1,1.0650225791324688,1.1051709180756477,0.6404613095238095,0.14039979243631745,0.02118642150291203,False
0.062996,0.125992,1.0650225791324688,1.1342730940619756,0.6337599206349206,0.13477764037380838,0.018015317408613892,False
0.062996,0.15874,1.0650225791324688,1.1720331784361693,0.628735119047619,0.12815475767831924,0.01468338238389304,False
0.062996,0.2,1.0650225791324688,1.2214027581601699,0.6360317460317461,0.11849575742450712,0.010575988527610382,False
0.062996,0.251984,1.0650225791324688,1.2865754519129273,0.6322718253968254,0.11036668601823231,0.0077708000875532915,False
0.062996,0.31748,1.0650225791324688,1.3736617713551895,0.6311954365079365,0.10513245683659597,0.00625790097234416,False
0.062996,0.4,1.0650225791324688,1.4918246976412703,0.6370535714285714,0.1079187105816398,0.0070357244679311644,False
0.062996,0.503968,1.0650225791324688,1.6552763934649535,0.6298313492063492,0.09912265503173878,0.004783622018446432,False
0.062996,0.63496,1.0650225791324688,1.886946662082677,0.6421180555555556,0.09806026990907757,0.0045506399991498215,False
0.062996,0.8,1.0650225791324688,2.225540928492468,0.6377827380952381,0.09227155712141363,0.0034177214811367653,False
0.07937,0.05,1.0826048117555036,1.0512710963760241,0.6394742063492064,0.14865263190555236,0.026426678519176548,False
0.07937,0.062996,1.0826048117555036,1.0650225791324688,0.6392708333333333,0.15074838799785842,0.02786996621958412,False
0.07937,0.07937,1.0826048117555036,1.0826048117555036,0.6301636904761905,0.14993584748230887,0.02730494382222792,False
0.07937,0.1,1.0826048117555036,1.1051709180756477,0.6358581349206349,0.14146299604490245,0.02182215791856422,False
0.07937,0.125992,1.0826048117555036,1.1342730940619756,0.6362400793650793,0.14377933357241982,0.02324731936489529,False
0.07937,0.15874,1.0826048117555036,1.1720331784361693,0.635327380952381,0.1386767851844912,0.02018062558721821,False
0.07937,0.2,1.0826048117555036,1.2214027581601699,0.6359623015873016,0.1333749317525934,0.017273578074811016,False
0.07937,0.251984,1.0826048117555036,1.2865754519129273,0.6290823412698413,0.12666472169874549,0.013992543960537288,False
0.07937,0.31748,1.0826048117555036,1.3736617713551895,0.6310565476190476,0.11509106201020272,0.009331301966721139,False
0.07937,0.4,1.0826048117555036,1.4918246976412703,0.6319444444444444,0.10577708006279435,0.006432389544531208,False
0.07937,0.503968,1.0826048117555036,1.6552763934649535,0.6384375,0.10366019470277914,0.005871508529742108,False
0.07937,0.63496,1.0826048117555036,1.886946662082677,0.6380257936507937,0.09579711722357843,0.004080741075658852,False
0.07937,0.8,1.0826048117555036,2.225540928492468,0.6381944444444444,0.09016011192289757,0.0030590671817001328,False
0.1,0.05,1.1051709180756477,1.0512710963760241,0.6394345238095238,0.17241486308277093,0.04550001422913941,False
0.1,0.062996,1.1051709180756477,1.0650225791324688,0.6378472222222222,0.16954662104362703,0.0428820397578506,False
0.1,0.07937,1.1051709180756477,1.0826048117555036,0.6366865079365079,0.16611611455639003,0.039864462277771524,False
0.1,0.1,1.1051709180756477,1.1051709180756477,0.6385565476190476,0.1643712179472241,0.038377187973929236,False
0.1,0.125992,1.1051709180756477,1.1342730940619756,0.6445634920634921,0.15883765314289233,0.033873192466232445,False
0.1,0.15874,1.1051709180756477,1.1720331784361693,0.6341617063492063,0.14867771633280405,0.026443682220470218,False
0.1,0.2,1.1051709180756477,1.2214027581601699,0.637172619047619,0.14417612530555685,0.023496990210765473,False
0.1,0.251984,1.1051709180756477,1.2865754519129273,0.6305605158730159,0.12960879791694527,0.01537814888826758,False
0.1,0.31748,1.1051709180756477,1.3736617713551895,0.6361805555555555,0.12500194925694325,0.013246627699901991,False
0.1,0.4,1.1051709180756477,1.4918246976412703,0.6310267857142857,0.11267539205282395,0.008509642286220621,False
0.1,0.503968,1.1051709180756477,1.6552763934649535,0.632266865079365,0.11722433609226061,0.010099160616499651,False
0.1,0.63496,1.1051709180756477,1.886946662082677,0.624171626984127,0.10520292768987467,0.006276817798160511,False
0.1,0.8,1.1051709180756477,2.225540928492468,0.6337896825396825,0.09607738784710265,0.004137014864190919,False
0.125992,0.05,1.1342730940619756,1.0512710963760241,0.6285367063492063,0.19972694198701002,0.07466902268453557,False
0.125992,0.062996,1.1342730940619756,1.0650225791324688,0.6354513888888889,0.19424387426135964,0.06821138754908927,False
0.125992,0.07937,1.1342730940619756,1.0826048117555036,0.6299553571428571,0.18524555311459145,0.05825984264608084,False
0.125992,0.1,1.1342730940619756,1.1051709180756477,0.6202132936507937,0.19647298756348222,0.07080125654877546,False
0.125992,0.125992,1.1342730940619756,1.1342730940619756,0.615014880952381,0.19258470646116124,0.06631553769425491,False
0.125992,0.15874,1.1342730940619756,1.1720331784361693,0.6282638888888888,0.181796649244422,0.05466290901692417,False
0.125992,0.2,1.1342730940619756,1.2214027581601699,0.6305902777777778,0.1728193066775744,0.04587610906191386,False
0.125992,0.251984,1.1342730940619756,1.2865754519129273,0.6300793650793651,0.16067829701473738,0.03533548325868075,False
0.125992,0.31748,1.1342730940619756,1.3736617713551895,0.6279265873015873,0.1585591278931985,0.03365503461394427,False
0.125992,0.4,1.1342730940619756,1.4918246976412703,0.6300644841269841,0.12498720683981389,0.013240131459173072,False
0.125992,0.503968,1.1342730940619756,1.6552763934649535,0.6342162698412699,0.11921037400866587,0.010850361886002613,False
0.125992,0.63496,1.1342730940619756,1.886946662082677,0.627906746031746,0.12543251228413885,0.013437261118874713,False
