access,N_visitor,method,seed,succ_v,succ_n,useful
basic,5,dcf_conv,42,0.1654920634920635,0.32063492063492066,0.48612698412698413
basic,5,pace,42,0.32282539682539685,0.04126984126984127,0.3640952380952381
basic,5,oracle,42,0.33704761904761904,0.24285714285714285,0.5799047619047619
basic,10,dcf_conv,42,0.3138095238095238,0.17142857142857143,0.48523809523809525
basic,10,pace,42,0.33860317460317463,0.03015873015873016,0.36876190476190474
basic,10,oracle,42,0.4247619047619048,0.18253968253968253,0.6073015873015873
basic,20,dcf_conv,42,0.29634920634920636,0.06825396825396825,0.3646031746031746
basic,20,pace,42,0.37644444444444447,0.03333333333333333,0.4097777777777778
basic,20,oracle,42,0.5378095238095238,0.1,0.6378095238095238
rts,5,dcf_conv,42,0.2432063492063492,0.4507936507936508,0.694
rts,5,pace,42,0.5704126984126984,0.06984126984126984,0.6402539682539683
rts,5,oracle,42,0.4192698412698413,0.30634920634920637,0.7256190476190476
rts,10,dcf_conv,42,0.4463809523809524,0.25873015873015875,0.7051111111111111
rts,10,pace,42,0.6260634920634921,0.06190476190476191,0.687968253968254
rts,10,oracle,42,0.5233650793650794,0.22698412698412698,0.7503492063492063
rts,20,dcf_conv,42,0.5248888888888888,0.13333333333333333,0.6582222222222223
rts,20,pace,42,0.6707301587301587,0.03968253968253968,0.7104126984126984
rts,20,oracle,42,0.6253968253968254,0.12222222222222222,0.7476190476190476
