access,w_eff,n_vis,coll_cost,succ_oh,eps,T,rho
rts,420,5,-1,-1,0.06385,0.71822,0.11028
rts,420,5,-1,-1,0.08153,0.71945,0.11722
rts,420,5,-1,-1,0.10411,0.71774,0.13037
rts,420,5,-1,-1,0.13294,0.71558,0.14925
rts,420,5,-1,-1,0.16975,0.71558,0.20325
rts,420,5,-1,-1,0.21677,0.71671,0.3097
rts,420,5,-1,-1,0.2768,0.72215,0.41966
rts,420,5,-1,-1,0.35345,0.71776,0.61463
rts,420,5,-1,-1,0.45134,0.71515,0.85991
rts,420,5,-1,-1,0.57633,0.71627,1.1796
rts,420,5,-1,-1,0.73594,0.69381,1.47751
rts,420,5,-1,-1,0.93975,0.66785,1.71388
rts,420,5,-1,-1,1.2,0.56909,1.83381
rts,420,10,-1,-1,0.05,0.71841,0.15166
rts,420,10,-1,-1,0.06385,0.71817,0.15664
rts,420,10,-1,-1,0.08153,0.71545,0.1646
rts,420,10,-1,-1,0.10411,0.71728,0.20431
rts,420,10,-1,-1,0.13294,0.72143,0.2334
rts,420,10,-1,-1,0.16975,0.72056,0.29766
rts,420,10,-1,-1,0.21677,0.71938,0.33937
rts,420,10,-1,-1,0.2768,0.718,0.45435
rts,420,10,-1,-1,0.35345,0.71744,0.60887
rts,420,10,-1,-1,0.45134,0.71637,0.77312
rts,420,10,-1,-1,0.57633,0.71264,0.91655
rts,420,10,-1,-1,0.73594,0.69969,1.08322
rts,420,10,-1,-1,0.93975,0.67314,1.24121
rts,420,10,-1,-1,1.2,0.59655,1.33531
rts,420,20,-1,-1,0.05,0.72104,0.19768
rts,420,20,-1,-1,0.06385,0.72256,0.20941
rts,420,20,-1,-1,0.08153,0.72372,0.22075
rts,420,20,-1,-1,0.10411,0.72369,0.25625
rts,420,20,-1,-1,0.13294,0.72366,0.29358
rts,420,20,-1,-1,0.16975,0.71969,0.33601
rts,420,20,-1,-1,0.21677,0.72051,0.40433
rts,420,20,-1,-1,0.2768,0.72739,0.48366
rts,420,20,-1,-1,0.35345,0.71872,0.59431
rts,420,20,-1,-1,0.45134,0.71785,0.70366
rts,420,20,-1,-1,0.57633,0.70807,0.80201
rts,420,20,-1,-1,0.73594,0.69399,0.90222
rts,420,20,-1,-1,0.93975,0.66985,0.98214
rts,420,20,-1,-1,1.2,0.61496,1.05353
rts,420,50,-1,-1,0.05,0.72919,0.37202
rts,420,50,-1,-1,0.06385,0.72742,0.3769
rts,420,50,-1,-1,0.08153,0.72563,0.39272
rts,420,50,-1,-1,0.10411,0.72575,0.4169
rts,420,50,-1,-1,0.13294,0.72842,0.45125
rts,420,50,-1,-1,0.16975,0.72447,0.49339
rts,420,50,-1,-1,0.21677,0.72376,0.56295
rts,420,50,-1,-1,0.2768,0.7194,0.59007
rts,420,50,-1,-1,0.35345,0.72221,0.653
rts,420,50,-1,-1,0.45134,0.71307,0.70411
rts,420,50,-1,-1,0.57633,0.70619,0.76345
rts,420,50,-1,-1,0.73594,0.70183,0.79888
rts,420,50,-1,-1,0.93975,0.67813,0.83447
rts,420,50,-1,-1,1.2,0.64827,0.88703
rts,840,5,-1,-1,0.05,0.73021,0.08778
rts,840,5,-1,-1,0.06385,0.73001,0.10234
rts,840,5,-1,-1,0.08153,0.73027,0.14291
rts,840,5,-1,-1,0.10411,0.72875,0.20011
rts,840,5,-1,-1,0.13294,0.72733,0.27213
rts,840,5,-1,-1,0.16975,0.73033,0.45837
rts,840,5,-1,-1,0.21677,0.732,0.69123
rts,840,5,-1,-1,0.2768,0.73196,0.95137
rts,840,5,-1,-1,0.35345,0.72503,1.25248
rts,840,5,-1,-1,0.45134,0.70914,1.55602
rts,840,5,-1,-1,0.57633,0.68575,1.7955
rts,840,5,-1,-1,0.73594,0.62093,1.97309
rts,840,5,-1,-1,0.93975,0.55303,2.10003
rts,840,5,-1,-1,1.2,0.43797,2.08968
rts,840,10,-1,-1,0.05,0.72845,0.11965
rts,840,10,-1,-1,0.06385,0.72858,0.14367
rts,840,10,-1,-1,0.08153,0.73006,0.19014
rts,840,10,-1,-1,0.10411,0.72975,0.23347
rts,840,10,-1,-1,0.13294,0.73079,0.30849
rts,840,10,-1,-1,0.16975,0.7318,0.45229
rts,840,10,-1,-1,0.21677,0.73021,0.58951
rts,840,10,-1,-1,0.2768,0.73104,0.76847
rts,840,10,-1,-1,0.35345,0.72019,0.94879
rts,840,10,-1,-1,0.45134,0.71584,1.1269
rts,840,10,-1,-1,0.57633,0.69633,1.27643
rts,840,10,-1,-1,0.73594,0.65923,1.37453
rts,840,10,-1,-1,0.93975,0.58316,1.44713
rts,840,10,-1,-1,1.2,0.46877,1.46408
rts,840,20,-1,-1,0.05,0.73131,0.1627
rts,840,20,-1,-1,0.06385,0.72977,0.18116
rts,840,20,-1,-1,0.08153,0.73087,0.23798
rts,840,20,-1,-1,0.10411,0.73291,0.28729
rts,840,20,-1,-1,0.13294,0.73256,0.37285
rts,840,20,-1,-1,0.16975,0.7312,0.46428
rts,840,20,-1,-1,0.21677,0.72854,0.58586
rts,840,20,-1,-1,0.2768,0.7294,0.70718
rts,840,20,-1,-1,0.35345,0.72666,0.8086
rts,840,20,-1,-1,0.45134,0.7154,0.9096
rts,840,20,-1,-1,0.57633,0.7052,1.00771
rts,840,20,-1,-1,0.73594,0.68389,1.07253
rts,840,20,-1,-1,0.93975,0.62375,1.12216
rts,840,20,-1,-1,1.2,0.51488,1.14917
rts,840,50,-1,-1,0.05,0.73253,0.27329
rts,840,50,-1,-1,0.06385,0.73234,0.31071
rts,840,50,-1,-1,0.08153,0.73581,0.34367
rts,840,50,-1,-1,0.10411,0.73619,0.4078
rts,840,50,-1,-1,0.13294,0.73625,0.475
rts,840,50,-1,-1,0.16975,0.73602,0.54397
rts,840,50,-1,-1,0.21677,0.72944,0.6193
rts,840,50,-1,-1,0.2768,0.72505,0.68511
rts,840,50,-1,-1,0.35345,0.72441,0.75301
rts,840,50,-1,-1,0.45134,0.71525,0.80839
rts,840,50,-1,-1,0.57633,0.71014,0.85846
rts,840,50,-1,-1,0.73594,0.69553,0.88947
rts,840,50,-1,-1,0.93975,0.67058,0.9292
rts,840,50,-1,-1,1.2,0.607,0.95403
rts,1680,5,-1,-1,0.05,0.73836,0.11068
rts,1680,5,-1,-1,0.06385,0.73809,0.18292
rts,1680,5,-1,-1,0.08153,0.74062,0.31854
rts,1680,5,-1,-1,0.10411,0.74077,0.55288
rts,1680,5,-1,-1,0.13294,0.74155,0.82164
rts,1680,5,-1,-1,0.16975,0.74075,1.19302
rts,1680,5,-1,-1,0.21677,0.7376,1.48203
rts,1680,5,-1,-1,0.2768,0.72766,1.72774
rts,1680,5,-1,-1,0.35345,0.70207,1.92482
rts,1680,5,-1,-1,0.45134,0.66464,2.08691
rts,1680,5,-1,-1,0.57633,0.54307,2.11081
rts,1680,5,-1,-1,0.73594,0.45698,2.1773
rts,1680,5,-1,-1,0.93975,0.27812,1.94301
rts,1680,5,-1,-1,1.2,0.37764,2.37889
rts,1680,10,-1,-1,0.05,0.73948,0.14888
rts,1680,10,-1,-1,0.06385,0.74032,0.22162
rts,1680,10,-1,-1,0.08153,0.74205,0.33642
rts,1680,10,-1,-1,0.10411,0.74334,0.48764
rts,1680,10,-1,-1,0.13294,0.74184,0.69339
rts,1680,10,-1,-1,0.16975,0.73847,0.88274
rts,1680,10,-1,-1,0.21677,0.73541,1.06342
rts,1680,10,-1,-1,0.2768,0.73057,1.21592
rts,1680,10,-1,-1,0.35345,0.71651,1.32979
rts,1680,10,-1,-1,0.45134,0.70693,1.43089
rts,1680,10,-1,-1,0.57633,0.6517,1.51132
rts,1680,10,-1,-1,0.73594,0.52954,1.53238
rts,1680,10,-1,-1,0.93975,0.34836,1.4732
rts,1680,10,-1,-1,1.2,0.36129,1.59746
rts,1680,20,-1,-1,0.05,0.74114,0.19295
rts,1680,20,-1,-1,0.06385,0.74265,0.27506
rts,1680,20,-1,-1,0.08153,0.74344,0.36796
rts,1680,20,-1,-1,0.10411,0.7442,0.49351
rts,1680,20,-1,-1,0.13294,0.74262,0.61886
rts,1680,20,-1,-1,0.16975,0.73847,0.74866
rts,1680,20,-1,-1,0.21677,0.73431,0.87677
rts,1680,20,-1,-1,0.2768,0.73061,0.95402
rts,1680,20,-1,-1,0.35345,0.72226,1.03301
rts,1680,20,-1,-1,0.45134,0.71401,1.10022
rts,1680,20,-1,-1,0.57633,0.70428,1.15298
rts,1680,20,-1,-1,0.73594,0.62921,1.19707
rts,1680,20,-1,-1,0.93975,0.47055,1.17694
rts,1680,20,-1,-1,1.2,0.40139,1.21731
rts,1680,50,-1,-1,0.05,0.74397,0.30318
rts,1680,50,-1,-1,0.06385,0.74418,0.3599
rts,1680,50,-1,-1,0.08153,0.74425,0.44963
rts,1680,50,-1,-1,0.10411,0.74518,0.53542
rts,1680,50,-1,-1,0.13294,0.73979,0.6306
rts,1680,50,-1,-1,0.16975,0.738,0.70648
rts,1680,50,-1,-1,0.21677,0.73235,0.77575
rts,1680,50,-1,-1,0.2768,0.72749,0.83068
rts,1680,50,-1,-1,0.35345,0.72399,0.88364
rts,1680,50,-1,-1,0.45134,0.71788,0.9198
rts,1680,50,-1,-1,0.57633,0.71216,0.96248
rts,1680,50,-1,-1,0.73594,0.69492,0.97773
rts,1680,50,-1,-1,0.93975,0.64419,0.99903
rts,1680,50,-1,-1,1.2,0.5029,1.00414
basic,105,5,-1,-1,0.05,0.68592,0.16523
basic,105,5,-1,-1,0.06385,0.68592,0.16523
basic,105,5,-1,-1,0.08153,0.68675,0.16787
basic,105,5,-1,-1,0.10411,0.68668,0.17045
basic,105,5,-1,-1,0.13294,0.68622,0.18001
basic,105,5,-1,-1,0.16975,0.68611,0.18399
basic,105,5,-1,-1,0.21677,0.68386,0.18557
basic,105,5,-1,-1,0.2768,0.67757,0.20831
basic,105,5,-1,-1,0.35345,0.67846,0.2406
basic,105,5,-1,-1,0.45134,0.67549,0.26697
basic,105,5,-1,-1,0.57633,0.6619,0.29158
basic,105,5,-1,-1,0.73594,0.64286,0.32378
basic,105,5,-1,-1,0.93975,0.62408,0.46774
basic,105,5,-1,-1,1.2,0.60094,0.54613
basic,105,10,-1,-1,0.05,0.65348,0.24577
basic,105,10,-1,-1,0.06385,0.65471,0.25592
basic,105,10,-1,-1,0.08153,0.65265,0.25503
basic,105,10,-1,-1,0.10411,0.6486,0.25686
basic,105,10,-1,-1,0.13294,0.64063,0.26174
basic,105,10,-1,-1,0.16975,0.64119,0.25988
basic,105,10,-1,-1,0.21677,0.63771,0.24024
basic,105,10,-1,-1,0.2768,0.6409,0.24291
basic,105,10,-1,-1,0.35345,0.62184,0.27568
basic,105,10,-1,-1,0.45134,0.61146,0.30393
basic,105,10,-1,-1,0.57633,0.60738,0.35578
basic,105,10,-1,-1,0.73594,0.59862,0.36465
basic,105,10,-1,-1,0.93975,0.5633,0.4783
basic,105,10,-1,-1,1.2,0.56105,0.5213
basic,105,20,-1,-1,0.05,0.64873,0.31622
basic,105,20,-1,-1,0.06385,0.64783,0.31666
basic,105,20,-1,-1,0.08153,0.64435,0.31749
basic,105,20,-1,-1,0.10411,0.64171,0.32947
basic,105,20,-1,-1,0.13294,0.63797,0.32947
basic,105,20,-1,-1,0.16975,0.63468,0.33886
basic,105,20,-1,-1,0.21677,0.62751,0.34942
basic,105,20,-1,-1,0.2768,0.62257,0.35005
basic,105,20,-1,-1,0.35345,0.60652,0.34867
basic,105,20,-1,-1,0.45134,0.59576,0.36484
basic,105,20,-1,-1,0.57633,0.58494,0.42056
basic,105,20,-1,-1,0.73594,0.56505,0.48432
basic,105,20,-1,-1,0.93975,0.54237,0.48202
basic,105,20,-1,-1,1.2,0.53211,0.53037
basic,105,50,-1,-1,0.05,0.56575,0.41486
basic,105,50,-1,-1,0.06385,0.55849,0.41394
basic,105,50,-1,-1,0.08153,0.55776,0.41451
basic,105,50,-1,-1,0.10411,0.55173,0.43168
basic,105,50,-1,-1,0.13294,0.57771,0.44049
basic,105,50,-1,-1,0.16975,0.56808,0.46248
basic,105,50,-1,-1,0.21677,0.57149,0.46975
basic,105,50,-1,-1,0.2768,0.55392,0.48492
basic,105,50,-1,-1,0.35345,0.53654,0.44756
basic,105,50,-1,-1,0.45134,0.53803,0.46774
basic,105,50,-1,-1,0.57633,0.52697,0.49574
basic,105,50,-1,-1,0.73594,0.52208,0.53063
