method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
oracle,homo,20,200,1234,1000,11.605,11.553,1.0066764568764568,10.681,0.257089884142874,0.0,0.0
mfg_no_excl,homo,20,200,1234,1000,11.607,11.553,1.006794638694639,10.75,0.25313681785858777,0.0,0.0
self_excl_only,homo,20,200,1234,1000,11.609,11.553,1.0069991841491834,10.782,0.25119673664808917,0.0,0.0
ema_fixed_low,homo,20,200,1234,1000,11.106,11.553,0.9634759906759857,20.902,0.11622194018594617,0.03572887204013723,7.960323595669912
ema_fixed_high,homo,20,200,1234,1000,11.168,11.553,0.9687677156177118,19.698,0.1270006314951607,0.03481014156288066,7.982420124181337
ema_adaptive,homo,20,200,1234,1000,11.102,11.553,0.9630710955710908,20.944,0.11710280916516046,0.03528313996488019,7.96251982029531
consec_L2,homo,20,200,1234,1000,11.107,11.553,0.9633832167832141,21.184,0.11901485178130966,0.03688868444442913,4.530605020653975
consec_L4,homo,20,200,1234,1000,10.774,11.553,0.9345835664335639,26.994,0.07904041509514291,0.04344473208351203,2.5201383316917307
oracle,homo,30,20,42,1000,0.924,0.936,0.867,0.952,0.18413333333333337,0.0,0.0
mfg_no_excl,homo,30,20,42,1000,0.937,0.936,0.877,0.92,0.18570000000000014,0.0,0.0
self_excl_only,homo,30,20,42,1000,0.931,0.936,0.872,0.891,0.1708333333333335,0.0,0.0
ema_fixed_low,homo,30,20,42,1000,0.909,0.936,0.85,1.196,0.13178333333333336,0.008537804233074944,3.443150000000002
ema_fixed_high,homo,30,20,42,1000,0.918,0.936,0.859,1.098,0.14251666666666665,0.008487361818726079,10.021516666666667
ema_adaptive,homo,30,20,42,1000,0.908,0.936,0.849,1.193,0.13763333333333344,0.00852296913453986,9.2675
consec_L2,homo,30,20,42,1000,0.89,0.936,0.827,1.229,0.14444999999999994,0.008971571484475992,3.139
consec_L4,homo,30,20,42,1000,0.902,0.936,0.843,1.309,0.12453333333333336,0.008814974129689306,0.526
oracle,homo,30,20,123,1000,0.938,0.933,0.876,0.919,0.17938333333333348,0.0,0.0
mfg_no_excl,homo,30,20,123,1000,0.928,0.933,0.866,0.96,0.1793333333333334,0.0,0.0
self_excl_only,homo,30,20,123,1000,0.942,0.933,0.877,0.898,0.18978333333333341,0.0,0.0
ema_fixed_low,homo,30,20,123,1000,0.886,0.933,0.824,1.38,0.1406833333333334,0.009015715087622006,4.026616666666671
ema_fixed_high,homo,30,20,123,1000,0.911,0.933,0.851,1.163,0.14613333333333337,0.008682242545766718,10.059600000000003
ema_adaptive,homo,30,20,123,1000,0.918,0.933,0.856,1.19,0.1388,0.008544310183199039,9.1875
consec_L2,homo,30,20,123,1000,0.913,0.933,0.849,1.172,0.1305666666666667,0.00872423314583142,2.963
consec_L4,homo,30,20,123,1000,0.889,0.933,0.828,1.222,0.13148333333333326,0.008953153873771281,0.459
oracle,homo,30,20,456,1000,0.946,0.946,0.897,0.849,0.18463333333333343,0.0,0.0
mfg_no_excl,homo,30,20,456,1000,0.942,0.946,0.895,0.911,0.16908333333333345,0.0,0.0
self_excl_only,homo,30,20,456,1000,0.936,0.946,0.883,0.953,0.1790166666666668,0.0,0.0
ema_fixed_low,homo,30,20,456,1000,0.918,0.946,0.87,1.136,0.12986666666666663,0.008606190719292271,3.189766666666668
ema_fixed_high,homo,30,20,456,1000,0.887,0.946,0.839,1.271,0.1493499999999999,0.008646532013997388,11.233966666666655
ema_adaptive,homo,30,20,456,1000,0.904,0.946,0.853,1.179,0.13968333333333327,0.0085529120318522,8.908
consec_L2,homo,30,20,456,1000,0.908,0.946,0.858,1.203,0.13866666666666663,0.008907791228521731,2.9845
consec_L4,homo,30,20,456,1000,0.9,0.946,0.849,1.199,0.13026666666666661,0.008741576983517118,0.425
oracle,homo,30,20,789,1000,0.931,0.936,0.871,0.878,0.19390000000000004,0.0,0.0
mfg_no_excl,homo,30,20,789,1000,0.931,0.936,0.869,0.923,0.17581666666666693,0.0,0.0
self_excl_only,homo,30,20,789,1000,0.939,0.936,0.879,0.905,0.17911666666666676,0.0,0.0
ema_fixed_low,homo,30,20,789,1000,0.895,0.936,0.839,1.223,0.13379999999999984,0.008687284705611323,3.3794166666666694
ema_fixed_high,homo,30,20,789,1000,0.905,0.936,0.849,1.196,0.14004999999999998,0.008620065797810056,10.588316666666662
ema_adaptive,homo,30,20,789,1000,0.887,0.936,0.832,1.239,0.1338666666666667,0.00847640818563591,9.509
consec_L2,homo,30,20,789,1000,0.907,0.936,0.848,1.193,0.14034999999999997,0.008989475034665398,2.976
consec_L4,homo,30,20,789,1000,0.897,0.936,0.839,1.272,0.1385,0.008890455590462485,0.556
oracle,homo,30,20,1234,1000,0.94,0.949,0.891,0.937,0.19266666666666646,0.0,0.0
mfg_no_excl,homo,30,20,1234,1000,0.938,0.949,0.89,0.938,0.17626666666666674,0.0,0.0
self_excl_only,homo,30,20,1234,1000,0.945,0.949,0.896,0.924,0.1768333333333334,0.0,0.0
ema_fixed_low,homo,30,20,1234,1000,0.899,0.949,0.851,1.191,0.12611666666666663,0.008480982208582375,3.3477666666666694
ema_fixed_high,homo,30,20,1234,1000,0.903,0.949,0.857,1.135,0.1393833333333333,0.008592381276710758,9.840616666666675
ema_adaptive,homo,30,20,1234,1000,0.897,0.949,0.849,1.305,0.1519333333333335,0.008784972802150938,9.866
consec_L2,homo,30,20,1234,1000,0.907,0.949,0.86,1.216,0.14031666666666665,0.009040550218197024,3.053
consec_L4,homo,30,20,1234,1000,0.897,0.949,0.854,1.301,0.12725000000000009,0.008763170622825965,0.522
oracle,homo,30,50,42,1000,2.611,2.62,1.036333333333329,2.622,0.24256946602588988,0.0,0.0
mfg_no_excl,homo,30,50,42,1000,2.632,2.62,1.0459999999999963,2.494,0.2407093983974399,0.0,0.0
self_excl_only,homo,30,50,42,1000,2.647,2.62,1.0508333333333304,2.476,0.23555688342015704,0.0,0.0
ema_fixed_low,homo,30,50,42,1000,2.494,2.62,0.9893333333333288,4.092,0.13948280616012834,0.012970328558914803,7.294414639991071
ema_fixed_high,homo,30,50,42,1000,2.511,2.62,0.9964999999999957,3.705,0.1597894349802245,0.012429671456977263,12.389849414693497
ema_adaptive,homo,30,50,42,1000,2.522,2.62,0.9994999999999958,3.923,0.1377226140904162,0.012708238674687681,8.361741377692658
consec_L2,homo,30,50,42,1000,2.493,2.62,0.9904999999999957,3.982,0.15647045833106046,0.012992860685923613,5.848529407133042
consec_L4,homo,30,50,42,1000,2.491,2.62,0.9874999999999954,4.259,0.13705487016853132,0.01355373172638052,1.5804462394244905
oracle,homo,30,50,123,1000,2.631,2.63,1.0386666666666637,2.559,0.23609561988149436,0.0,0.0
mfg_no_excl,homo,30,50,123,1000,2.624,2.63,1.0378333333333298,2.502,0.2418179799088079,0.0,0.0
self_excl_only,homo,30,50,123,1000,2.613,2.63,1.0303333333333302,2.548,0.24393440505572836,0.0,0.0
ema_fixed_low,homo,30,50,123,1000,2.469,2.63,0.9776666666666626,4.343,0.13632054766698756,0.013163500953757736,7.921877032938683
ema_fixed_high,homo,30,50,123,1000,2.518,2.63,0.9939999999999953,3.68,0.16016855017187837,0.012368084934804837,12.336685189840244
ema_adaptive,homo,30,50,123,1000,2.516,2.63,0.9948333333333296,3.957,0.14035847652519495,0.012902440387712242,8.445831272189276
consec_L2,homo,30,50,123,1000,2.522,2.63,0.9961666666666626,3.91,0.1561712999633665,0.012862015789218412,5.638440262455126
consec_L4,homo,30,50,123,1000,2.519,2.63,0.996166666666662,4.202,0.1390977430653285,0.013833687055289838,1.6198014020594127
oracle,homo,30,50,456,1000,2.633,2.645,1.0338333333333305,2.5,0.23970239409283478,0.0,0.0
mfg_no_excl,homo,30,50,456,1000,2.638,2.645,1.0371666666666635,2.495,0.23426399108717205,0.0,0.0
self_excl_only,homo,30,50,456,1000,2.62,2.645,1.0283333333333298,2.643,0.24062944885781554,0.0,0.0
ema_fixed_low,homo,30,50,456,1000,2.514,2.645,0.9906666666666617,3.971,0.13048032417788633,0.012875796353118377,7.182790992267967
ema_fixed_high,homo,30,50,456,1000,2.489,2.645,0.9779999999999955,3.92,0.16146615472161133,0.0124051918282363,12.950198568631219
ema_adaptive,homo,30,50,456,1000,2.515,2.645,0.987999999999996,4.002,0.13813789112933864,0.012882514982461757,8.5240003036652
consec_L2,homo,30,50,456,1000,2.529,2.645,0.9943333333333291,3.827,0.16069341045091828,0.01310898970743838,5.48602284564421
consec_L4,homo,30,50,456,1000,2.506,2.645,0.9836666666666624,4.197,0.13427380889066542,0.013465069266636676,1.5910246269165844
oracle,homo,30,50,789,1000,2.641,2.61,1.0528333333333306,2.507,0.24034239032381394,0.0,0.0
mfg_no_excl,homo,30,50,789,1000,2.634,2.61,1.0498333333333303,2.512,0.2338725193107545,0.0,0.0
self_excl_only,homo,30,50,789,1000,2.62,2.61,1.0426666666666642,2.519,0.23928101204351185,0.0,0.0
ema_fixed_low,homo,30,50,789,1000,2.512,2.61,1.0021666666666618,4.069,0.13609031111647238,0.012913867648454818,7.347137829761395
ema_fixed_high,homo,30,50,789,1000,2.511,2.61,0.9996666666666619,3.77,0.1615203829162791,0.012336820604041681,12.548512972582342
ema_adaptive,homo,30,50,789,1000,2.512,2.61,1.000166666666662,3.955,0.14554478723031378,0.012877020841801475,8.560614646082328
consec_L2,homo,30,50,789,1000,2.516,2.61,1.001833333333329,3.742,0.15719480805142572,0.013029290776861283,5.453299645044499
consec_L4,homo,30,50,789,1000,2.472,2.61,0.9851666666666616,4.203,0.1403076640078191,0.013717155408743402,1.6759303236151533
oracle,homo,30,50,1234,1000,2.619,2.634,1.033999999999997,2.555,0.24306592594282184,0.0,0.0
mfg_no_excl,homo,30,50,1234,1000,2.645,2.634,1.04183333333333,2.537,0.22929400885062584,0.0,0.0
self_excl_only,homo,30,50,1234,1000,2.629,2.634,1.0366666666666626,2.553,0.23114675609478236,0.0,0.0
ema_fixed_low,homo,30,50,1234,1000,2.494,2.634,0.9853333333333288,4.101,0.13872300772413015,0.013126154182843632,7.271344552008024
ema_fixed_high,homo,30,50,1234,1000,2.538,2.634,1.0038333333333285,3.671,0.15693562208775075,0.012335257235075036,12.174880937212938
ema_adaptive,homo,30,50,1234,1000,2.498,2.634,0.9859999999999955,4.121,0.1426847030678303,0.013084434712393829,8.812579491681342
consec_L2,homo,30,50,1234,1000,2.524,2.634,0.9956666666666618,3.756,0.15110197228382227,0.012814142780644465,5.529827607660657
consec_L4,homo,30,50,1234,1000,2.484,2.634,0.979999999999995,4.263,0.13753042381165484,0.013568671795382445,1.4661609296534224
oracle,homo,30,100,42,1000,5.541,5.579,1.0018666666666751,5.552,0.25571810149301444,0.0,0.0
mfg_no_excl,homo,30,100,42,1000,5.612,5.579,1.0149000000000088,5.253,0.2478566481572758,0.0,0.0
self_excl_only,homo,30,100,42,1000,5.625,5.579,1.0167333333333413,5.271,0.24550145891475977,0.0,0.0
ema_fixed_low,homo,30,100,42,1000,5.328,5.579,0.9630500000000072,9.831,0.1180345874408774,0.017053623913375157,11.636666220856798
ema_fixed_high,homo,30,100,42,1000,5.372,5.579,0.9711833333333405,8.957,0.1486715737262222,0.01576192290048704,13.811883808526721
ema_adaptive,homo,30,100,42,1000,5.34,5.579,0.9654000000000069,9.927,0.1163088199367965,0.01688671955217739,11.433269253774343
consec_L2,homo,30,100,42,1000,5.342,5.579,0.9655500000000071,9.523,0.13956876884729555,0.016441013930675562,7.3386701876507905
consec_L4,homo,30,100,42,1000,5.236,5.579,0.9467000000000055,11.063,0.1038391429650272,0.018765929410332113,3.199725061870011
oracle,homo,30,100,123,1000,5.604,5.587,1.0110666666666752,5.316,0.2519766185856666,0.0,0.0
mfg_no_excl,homo,30,100,123,1000,5.574,5.587,1.0063500000000078,5.424,0.25538005901947425,0.0,0.0
self_excl_only,homo,30,100,123,1000,5.574,5.587,1.005983333333341,5.36,0.2545930328638615,0.0,0.0
ema_fixed_low,homo,30,100,123,1000,5.3,5.587,0.9565500000000072,10.231,0.11340101401630966,0.016819139577528612,12.115439271970292
ema_fixed_high,homo,30,100,123,1000,5.348,5.587,0.9645666666666735,8.888,0.14539152271140768,0.015497934278991222,13.782207354536583
ema_adaptive,homo,30,100,123,1000,5.287,5.587,0.9539666666666724,10.156,0.11915965661092653,0.017427592554283503,11.498522230934578
consec_L2,homo,30,100,123,1000,5.329,5.587,0.9614833333333399,9.464,0.13722591513122612,0.016354682816199086,7.316360379702801
consec_L4,homo,30,100,123,1000,5.265,5.587,0.9503166666666732,11.175,0.1067904268525504,0.019019873642389936,3.308907579163485
oracle,homo,30,100,456,1000,5.576,5.605,1.0026666666666735,5.302,0.25239568157128267,0.0,0.0
mfg_no_excl,homo,30,100,456,1000,5.592,5.605,1.0057000000000076,5.297,0.2523918985489452,0.0,0.0
self_excl_only,homo,30,100,456,1000,5.59,5.605,1.005683333333341,5.433,0.2506014842645035,0.0,0.0
ema_fixed_low,homo,30,100,456,1000,5.331,5.605,0.9591333333333409,9.889,0.11418177702203308,0.016893611012795726,11.588347931860143
ema_fixed_high,homo,30,100,456,1000,5.364,5.605,0.964983333333341,9.008,0.14779544792546095,0.015338377532323085,13.833169987854692
ema_adaptive,homo,30,100,456,1000,5.343,5.605,0.9619666666666745,9.851,0.1179538647495419,0.0172435714170184,11.195984032477279
consec_L2,homo,30,100,456,1000,5.351,5.605,0.9627166666666738,9.271,0.13852845195974392,0.016748042445944793,7.115746429886287
consec_L4,homo,30,100,456,1000,5.264,5.605,0.9469666666666732,10.921,0.10429565600689863,0.018583430635608723,3.1632252160399807
oracle,homo,30,100,789,1000,5.588,5.593,1.0072833333333404,5.373,0.2568939816282226,0.0,0.0
mfg_no_excl,homo,30,100,789,1000,5.564,5.593,1.0031166666666747,5.42,0.25384423891917957,0.0,0.0
self_excl_only,homo,30,100,789,1000,5.588,5.593,1.0067833333333402,5.53,0.24720454555163515,0.0,0.0
ema_fixed_low,homo,30,100,789,1000,5.322,5.593,0.9598166666666745,10.046,0.11444274582907042,0.016970970267350696,11.696889174558985
ema_fixed_high,homo,30,100,789,1000,5.376,5.593,0.9691166666666742,8.852,0.14713955705238635,0.015433051585806743,13.713685994805308
ema_adaptive,homo,30,100,789,1000,5.302,5.593,0.9552166666666742,10.315,0.1151104531511496,0.017350266860272155,11.70279086904134
consec_L2,homo,30,100,789,1000,5.386,5.593,0.9714333333333409,9.205,0.13849309148216804,0.016817014023397553,7.09945564760381
consec_L4,homo,30,100,789,1000,5.23,5.593,0.9420333333333403,11.229,0.10515855076312275,0.018750854207159783,3.3533472410457694
oracle,homo,30,100,1234,1000,5.59,5.588,1.0088333333333415,5.401,0.25691853535520665,0.0,0.0
mfg_no_excl,homo,30,100,1234,1000,5.577,5.588,1.0065500000000083,5.334,0.2500957496135562,0.0,0.0
self_excl_only,homo,30,100,1234,1000,5.595,5.588,1.0097166666666748,5.455,0.24480777418500332,0.0,0.0
ema_fixed_low,homo,30,100,1234,1000,5.314,5.588,0.9591166666666734,9.982,0.1168790619811829,0.017365504859258665,11.758252793859649
ema_fixed_high,homo,30,100,1234,1000,5.403,5.588,0.9749000000000072,8.732,0.14381715898937156,0.015470451590434468,13.46855764654253
ema_adaptive,homo,30,100,1234,1000,5.292,5.588,0.955400000000007,10.125,0.11692662931680599,0.017175045321669566,11.639986761699506
consec_L2,homo,30,100,1234,1000,5.388,5.588,0.9720833333333407,9.042,0.13576174802114988,0.01628528201664663,7.01265860578642
consec_L4,homo,30,100,1234,1000,5.269,5.588,0.9506500000000065,11.142,0.10394002628747719,0.018789724730199193,3.196124342044217
oracle,homo,30,200,42,1000,11.523,11.537,1.0010761072261056,11.29,0.25588515304838155,0.0,0.0
mfg_no_excl,homo,30,200,42,1000,11.556,11.537,1.0038582750582747,11.06,0.2552757722654443,0.0,0.0
self_excl_only,homo,30,200,42,1000,11.569,11.537,1.004948834498833,11.055,0.25426837272846137,0.0,0.0
ema_fixed_low,homo,30,200,42,1000,11.127,11.537,0.9665200466200435,19.98,0.1260682265053403,0.01965548840956638,13.17888455515194
ema_fixed_high,homo,30,200,42,1000,11.161,11.537,0.9694143356643321,19.463,0.13668289612733556,0.019418125620459577,13.331564546687414
ema_adaptive,homo,30,200,42,1000,11.096,11.537,0.963837062937059,20.39,0.12753060856918846,0.01992034557492393,13.067644736004029
consec_L2,homo,30,200,42,1000,11.068,11.537,0.9614006993006974,21.114,0.12512013294032998,0.020371929269792186,7.592709589900031
consec_L4,homo,30,200,42,1000,10.813,11.537,0.9393540792540768,26.056,0.08454301443501193,0.024233595143946542,4.0559304036985795
oracle,homo,30,200,123,1000,11.561,11.557,1.0025395104895096,10.85,0.2579271510763133,0.0,0.0
mfg_no_excl,homo,30,200,123,1000,11.536,11.557,1.0005201631701621,11.149,0.2619040004396115,0.0,0.0
self_excl_only,homo,30,200,123,1000,11.543,11.557,1.0012319347319343,11.182,0.25847973126571966,0.0,0.0
ema_fixed_low,homo,30,200,123,1000,11.141,11.557,0.9662489510489478,20.025,0.12607367268445235,0.019492109111374636,13.342626191889847
ema_fixed_high,homo,30,200,123,1000,11.168,11.557,0.9685371794871753,19.517,0.13651281430222675,0.01923772629115407,13.356337048895066
ema_adaptive,homo,30,200,123,1000,11.131,11.557,0.9653459207459172,20.251,0.12528601124511024,0.020125193926791265,12.98089410696804
consec_L2,homo,30,200,123,1000,11.1,11.557,0.9625102564102527,20.858,0.12511709665870702,0.020397817790635518,7.4910008267749175
consec_L4,homo,30,200,123,1000,10.782,11.557,0.9348745920745898,26.556,0.08477401312299036,0.02447688789142731,4.154564173059737
oracle,homo,30,200,456,1000,11.55,11.562,1.0010491841491835,11.098,0.258685766349216,0.0,0.0
mfg_no_excl,homo,30,200,456,1000,11.553,11.562,1.001423426573425,10.999,0.26280913883919976,0.0,0.0
self_excl_only,homo,30,200,456,1000,11.544,11.562,1.000538578088577,11.211,0.2567406930348463,0.0,0.0
ema_fixed_low,homo,30,200,456,1000,11.124,11.562,0.9641673659673614,20.194,0.13104479255554594,0.019839620517701058,13.344409385106704
ema_fixed_high,homo,30,200,456,1000,11.164,11.562,0.9678491841491808,19.527,0.1369592904142328,0.018949933368901047,13.334032940959096
ema_adaptive,homo,30,200,456,1000,11.125,11.562,0.9642976689976649,20.234,0.12591051235239256,0.020079393972749632,12.943989718994935
consec_L2,homo,30,200,456,1000,11.131,11.562,0.9647927738927717,20.509,0.12367084901335458,0.02054347801545991,7.415477805571847
consec_L4,homo,30,200,456,1000,10.806,11.562,0.9366022144522126,26.048,0.08400541589166502,0.02419154702422607,4.074294935027658
oracle,homo,30,200,789,1000,11.526,11.542,1.0007851981351974,11.026,0.2659510015690711,0.0,0.0
mfg_no_excl,homo,30,200,789,1000,11.508,11.542,0.9992003496503487,11.199,0.2636711030017613,0.0,0.0
self_excl_only,homo,30,200,789,1000,11.524,11.542,1.0005867132867123,11.398,0.2573221612415528,0.0,0.0
ema_fixed_low,homo,30,200,789,1000,11.133,11.542,0.9667643356643327,20.129,0.12877013272009327,0.019793926085246608,13.259052008054296
ema_fixed_high,homo,30,200,789,1000,11.171,11.542,0.9699385780885752,19.316,0.1354228751649205,0.01939920304355205,13.173968328351123
ema_adaptive,homo,30,200,789,1000,11.112,11.542,0.9648249417249372,20.293,0.126700313967735,0.019754455028866667,13.085552988401417
consec_L2,homo,30,200,789,1000,11.083,11.542,0.9622261072261031,20.981,0.12551983298708852,0.020818411765011976,7.498450750756989
consec_L4,homo,30,200,789,1000,10.792,11.542,0.9369431235431225,26.293,0.08398214138552715,0.024204615654641586,4.152170794620556
oracle,homo,30,200,1234,1000,11.551,11.568,1.000638811188811,11.219,0.2573616044867455,0.0,0.0
mfg_no_excl,homo,30,200,1234,1000,11.568,11.568,1.002113519813519,11.024,0.2524201903395937,0.0,0.0
self_excl_only,homo,30,200,1234,1000,11.553,11.568,1.0008047785547776,11.175,0.253384402833489,0.0,0.0
ema_fixed_low,homo,30,200,1234,1000,11.117,11.568,0.9629921911421881,20.236,0.12671881110074906,0.020008489457530306,13.26014620013671
ema_fixed_high,homo,30,200,1234,1000,11.155,11.568,0.9662694638694613,19.595,0.13680213999784377,0.019351715397692624,13.264188513479985
ema_adaptive,homo,30,200,1234,1000,11.122,11.568,0.9633857808857782,20.314,0.1260311962350128,0.019858701003127654,13.141920965038757
consec_L2,homo,30,200,1234,1000,11.116,11.568,0.9629906759906732,20.685,0.12335874397833964,0.020453534427800797,7.428909429891008
consec_L4,homo,30,200,1234,1000,10.787,11.568,0.934478554778553,26.375,0.08376745563465894,0.02444362412941443,4.075942262960731
oracle,uniform,5,20,42,1000,1.146,1.153,0.9666666666666666,0.448,0.11081626984126984,0.0,0.0
mfg_no_excl,uniform,5,20,42,1000,1.017,1.153,0.8783333333333333,0.867,0.16456399711399713,0.0,0.0
self_excl_only,uniform,5,20,42,1000,0.985,1.153,0.8361666666666666,2.271,0.03228625541125539,0.0,0.0
ema_fixed_low,uniform,5,20,42,1000,0.974,1.153,0.8285,2.435,0.02368341658341657,0.4669440938838817,0.38453153929403944
ema_fixed_high,uniform,5,20,42,1000,0.994,1.153,0.8411666666666666,2.113,0.02616045898545897,0.4535745718196281,0.4374499306249309
ema_adaptive,uniform,5,20,42,1000,0.961,1.153,0.8191666666666666,2.446,0.029396844821844816,0.46435828575380056,0.3819583222333219
consec_L2,uniform,5,20,42,1000,1.019,1.153,0.8666666666666666,2.083,0.029731519869019847,0.45800083398399943,0.3313199814074814
consec_L4,uniform,5,20,42,1000,0.978,1.153,0.831,2.4,0.026570221445221424,0.4591799246265227,0.1051310217560218
oracle,uniform,5,20,123,1000,1.149,1.146,0.9703333333333333,0.414,0.10830238095238086,0.0,0.0
mfg_no_excl,uniform,5,20,123,1000,1.004,1.146,0.8690000000000001,0.813,0.15930873570873577,0.0,0.0
self_excl_only,uniform,5,20,123,1000,0.994,1.146,0.8440000000000001,2.326,0.037896592296592285,0.0,0.0
ema_fixed_low,uniform,5,20,123,1000,0.971,1.146,0.8314999999999999,2.345,0.02612520396270395,0.4600907743596642,0.3676460386835385
ema_fixed_high,uniform,5,20,123,1000,0.988,1.146,0.8418333333333333,2.144,0.03342758352758352,0.44770987979755567,0.4446373099123101
ema_adaptive,uniform,5,20,123,1000,0.963,1.146,0.8156666666666668,2.509,0.02553402708402707,0.46340499351658326,0.39368746531246585
consec_L2,uniform,5,20,123,1000,1.024,1.146,0.8778333333333334,1.971,0.026011616161616152,0.4471537236185233,0.3298000360750365
consec_L4,uniform,5,20,123,1000,0.975,1.146,0.8350000000000001,2.272,0.023939654789654773,0.4557305144287066,0.09838399655899663
oracle,uniform,5,20,456,1000,1.162,1.171,0.9646666666666667,0.47,0.11199285714285709,0.0,0.0
mfg_no_excl,uniform,5,20,456,1000,1.023,1.171,0.8694999999999999,0.759,0.17219748029748042,0.0,0.0
self_excl_only,uniform,5,20,456,1000,1.003,1.171,0.8348333333333333,2.26,0.03056349206349205,0.0,0.0
ema_fixed_low,uniform,5,20,456,1000,0.962,1.171,0.8063333333333332,2.546,0.02630652958152957,0.4452770703633171,0.414589525752026
ema_fixed_high,uniform,5,20,456,1000,1.013,1.171,0.8488333333333332,2.159,0.032949819624819625,0.4425051517381275,0.4624722222222222
ema_adaptive,uniform,5,20,456,1000,0.961,1.171,0.8013333333333333,2.603,0.02628878898878897,0.4510081485398385,0.3986795704295702
consec_L2,uniform,5,20,456,1000,1.016,1.171,0.8526666666666667,1.919,0.03151010101010098,0.4387032356866439,0.31696569264069285
consec_L4,uniform,5,20,456,1000,1.004,1.171,0.8353333333333334,2.396,0.024313536463536452,0.45107432054091706,0.10120437062937072
oracle,uniform,5,20,789,1000,1.174,1.163,0.9803333333333333,0.42,0.11709721389721386,0.0,0.0
mfg_no_excl,uniform,5,20,789,1000,1.021,1.163,0.8765,0.842,0.17566341991342008,0.0,0.0
self_excl_only,uniform,5,20,789,1000,1.002,1.163,0.8476666666666667,2.339,0.03189650072150071,0.0,0.0
ema_fixed_low,uniform,5,20,789,1000,0.985,1.163,0.8395,2.471,0.025201345876345864,0.46175270312043026,0.3883105644355649
ema_fixed_high,uniform,5,20,789,1000,1.027,1.163,0.8698333333333333,2.125,0.03235046620046619,0.45244102100419836,0.46695320512820543
ema_adaptive,uniform,5,20,789,1000,0.961,1.163,0.8156666666666667,2.438,0.030382176157176154,0.45667095404670244,0.38077011877011874
consec_L2,uniform,5,20,789,1000,1.034,1.163,0.872,2.001,0.030677799977799965,0.4506583760852815,0.336560656010656
consec_L4,uniform,5,20,789,1000,1.008,1.163,0.8561666666666666,2.388,0.028175935175935158,0.45751109435253345,0.10667523865023879
oracle,uniform,5,20,1234,1000,1.149,1.122,0.9845,0.412,0.101505303030303,0.0,0.0
mfg_no_excl,uniform,5,20,1234,1000,1.001,1.122,0.878,0.818,0.1724887279387281,0.0,0.0
self_excl_only,uniform,5,20,1234,1000,0.956,1.122,0.828,2.346,0.033863991563991565,0.0,0.0
ema_fixed_low,uniform,5,20,1234,1000,0.951,1.122,0.8215,2.511,0.025923434898434884,0.45094534446467627,0.41653421717171746
ema_fixed_high,uniform,5,20,1234,1000,0.977,1.122,0.8455,1.988,0.02962123432123431,0.43974062668690156,0.44047992562992594
ema_adaptive,uniform,5,20,1234,1000,0.948,1.122,0.824,2.5,0.027554020979020967,0.4550344300682265,0.3974233114108111
consec_L2,uniform,5,20,1234,1000,0.992,1.122,0.859,2.034,0.03137435897435896,0.4382776740643858,0.32633021700521697
consec_L4,uniform,5,20,1234,1000,0.98,1.122,0.8525,2.265,0.024150191475191464,0.4533859454045918,0.09429220224220232
oracle,uniform,5,50,42,1000,2.197,2.202,1.053416666666666,1.259,0.1818508852258854,0.0,0.0
mfg_no_excl,uniform,5,50,42,1000,2.057,2.202,0.9902499999999982,1.682,0.20430353674103685,0.0,0.0
self_excl_only,uniform,5,50,42,1000,2.117,2.202,1.0161666666666653,2.33,0.15303296735943805,0.0,0.0
ema_fixed_low,uniform,5,50,42,1000,1.986,2.202,0.954583333333332,4.205,0.08094505292864283,0.26831127149717343,0.6673222718118097
ema_fixed_high,uniform,5,50,42,1000,2.036,2.202,0.9729999999999986,3.604,0.09543836562903932,0.2468200528378222,1.3703030939304937
ema_adaptive,uniform,5,50,42,1000,1.953,2.202,0.9390499999999989,4.274,0.0856673227198065,0.26169651198194316,0.690498843696238
consec_L2,uniform,5,50,42,1000,2.033,2.202,0.970583333333332,3.531,0.09961989577162061,0.23917621884472318,0.5819470520791411
consec_L4,uniform,5,50,42,1000,1.982,2.202,0.9509999999999986,3.991,0.0800800361608749,0.26021519854010045,0.18281537611481433
oracle,uniform,5,50,123,1000,2.206,2.219,1.0431666666666655,1.216,0.19312760017760022,0.0,0.0
mfg_no_excl,uniform,5,50,123,1000,2.126,2.219,1.008666666666665,1.598,0.20639122405372406,0.0,0.0
self_excl_only,uniform,5,50,123,1000,2.118,2.219,1.004166666666665,2.512,0.148863851589587,0.0,0.0
ema_fixed_low,uniform,5,50,123,1000,1.983,2.219,0.9437499999999985,4.332,0.08661808929733465,0.25526505594544413,0.7087321308350701
ema_fixed_high,uniform,5,50,123,1000,2.053,2.219,0.9750833333333315,3.758,0.09951468247095217,0.24711741727748113,1.3450170146631841
ema_adaptive,uniform,5,50,123,1000,1.959,2.219,0.9239999999999986,4.254,0.08440279119274431,0.2575670494839171,0.7025319695314169
consec_L2,uniform,5,50,123,1000,2.054,2.219,0.9789999999999989,3.595,0.08688992403623226,0.23975307352910297,0.6259100212970726
consec_L4,uniform,5,50,123,1000,2.016,2.219,0.9564166666666651,3.869,0.08599395985402873,0.2555853544804109,0.17631486695652815
