access,w_eff,n_vis,n_nat,alpha,c0,c_med,c_lo,c_hi,T,rho,J
rts,210,20,20,0.5,1.05,2.6856065993757707,2.1574541601487267,3.233065530148002,0.6294378306878307,0.6697317100599977,-0.5432798075305495
rts,210,20,20,0.5,1.2,2.658288240652867,2.2056627015732495,3.220261213970716,0.6294411375661376,0.6750741499862011,-0.540121006506286
rts,210,20,20,0.5,2.5,2.741908091695942,2.206847070172709,3.4107624514925288,0.6266997354497356,0.710154076780824,-0.5258632576818387
rts,210,20,20,1.0,1.05,3.162398616858141,2.745529247752896,3.596416363006081,0.6198148148148147,0.741420340480238,-0.5678477234570266
rts,210,20,20,1.0,1.2,3.22091936863713,2.9209144885780898,3.846073068854924,0.6207109788359788,0.7433394107974429,-0.5648627770713734
rts,210,20,20,1.0,2.5,3.210095562305768,2.878633087950828,3.847859067141219,0.6167989417989418,0.7760253714372537,-0.54750994981467
rts,210,50,0,0.25,1.05,1.0456236331894893,1.02,1.1130215796558258,0.7036177248677249,1.0,-0.35152007475365576
rts,210,50,0,0.25,1.2,1.0551084437211937,1.02,1.075683363769268,0.7050859788359789,1.0,-0.34943552781015713
rts,210,50,0,0.25,2.5,1.0653581063115545,1.02,1.1352754790932043,0.705595238095238,1.0,-0.3487135230435669
rts,210,50,0,0.5,1.05,1.0724308711998667,1.02,1.1597406633048004,0.7071825396825396,1.0,-0.34646645732641546
rts,210,50,0,0.5,1.2,1.0942821212362097,1.02,1.1737198727620144,0.7069874338624338,1.0,-0.34674238712975397
rts,210,50,0,0.5,2.5,1.078582670098484,1.02,1.1349856639126792,0.708885582010582,1.0,-0.3440611448657559
rts,210,50,0,1.0,1.05,1.1251509239250777,1.0503956608107812,1.1984991291790459,0.7101223544973546,1.0,-0.3423179935159683
rts,210,50,0,1.0,1.2,1.1336865841835269,1.064264592445047,1.2302633898438275,0.7102579365079364,1.0,-0.3421270840646725
rts,210,50,0,1.0,2.5,1.1142566451345237,1.0553288813171036,1.1924999465170822,0.7110185185185185,1.0,-0.34105680378176756
rts,210,50,5,0.25,1.05,1.1644776008896263,1.0221972982069223,1.2717226561148767,0.7409193121693122,0.5962837831343557,-0.3666957731286972
rts,210,50,5,0.25,1.2,1.1463966541135653,1.0602857146815265,1.2957030287558144,0.739811507936508,0.5948843617017691,-0.36880088082243256
rts,210,50,5,0.25,2.5,1.116696726551818,1.041750839077477,1.2932860232146495,0.7375826719576719,0.6052932311291308,-0.3673887068907229
rts,210,50,5,0.5,1.05,1.234154938438866,1.1198834731107887,1.4249252938914967,0.7369113756613755,0.6303246392353724,-0.41178813408198905
rts,210,50,5,0.5,1.2,1.2430189727386276,1.102942465310822,1.3756522756725682,0.7342890211640212,0.6183399657071221,-0.4243969189148932
rts,210,50,5,0.5,2.5,1.2681539208667587,1.097749042278248,1.381784328682223,0.7348478835978837,0.6317867587319571,-0.4135256200727414
rts,210,50,5,1.0,1.05,1.4084418144031372,1.2752805332221535,1.5727525726839704,0.7284424603174603,0.6819633373732809,-0.4633666940750141
rts,210,50,5,1.0,1.2,1.4100357865423678,1.1711208529766248,1.502160603461502,0.7294510582010583,0.6797907752989346,-0.4644360069781602
rts,210,50,5,1.0,2.5,1.4296598644304477,1.3280201707263288,1.6150107344504572,0.7291865079365079,0.6992911770825879,-0.4437664879838674
rts,210,50,10,0.25,1.05,1.132578710500935,1.02,1.2430601195712616,0.7129166666666666,0.5009183555626908,-0.45786886605439064
rts,210,50,10,0.25,1.2,1.1411075204603405,1.049324772018547,1.3620277182986846,0.711574074074074,0.4981247065582981,-0.46169483866231353
rts,210,50,10,0.25,2.5,1.1059888123732131,1.02,1.3526731645962562,0.7118088624338624,0.5083164479629092,-0.4544100317726908
rts,210,50,10,0.5,1.05,1.196620500500552,1.046479363288525,1.3939109434503099,0.7131084656084656,0.5269339865795927,-0.5433571762645826
rts,210,50,10,0.5,1.2,1.2797747859725739,1.0480199555743916,1.4054834370690474,0.7093154761904762,0.5298666727140074,-0.5451498647563607
rts,210,50,10,0.5,2.5,1.2120359809287993,1.0764957274147933,1.4525101966887464,0.7109457671957671,0.5455057295732603,-0.5248025638436942
rts,210,50,10,1.0,1.05,1.4635315823498494,1.308817419782198,1.6624060082534096,0.7065343915343915,0.5819285377280391,-0.6405056170017992
rts,210,50,10,1.0,1.2,1.415766115929498,1.2108344196984617,1.8830233926852937,0.7010747354497355,0.5821222079786993,-0.6479028042241362
rts,210,50,10,1.0,2.5,1.4111171330807672,1.3047712294902558,1.8073124690229687,0.7016534391534393,0.6053180858465528,-0.6063208754509579
rts,210,50,20,0.25,1.05,1.15972404522447,1.031748574739478,1.3302460378737382,0.6474867724867724,0.5091676638721676,-0.5485557116900723
rts,210,50,20,0.25,1.2,1.1363789169287017,1.02,1.437845550748111,0.6462334656084656,0.5180098283641682,-0.5447568426930351
rts,210,50,20,0.25,2.5,1.2455049475624798,1.02,1.4772380159679546,0.6500297619047619,0.5432127231043026,-0.5238397013143814
rts,210,50,20,0.5,1.05,1.2745005572680728,1.0870395824805088,1.6226359162467026,0.6465839947089947,0.5297473055829364,-0.6378902617839655
rts,210,50,20,0.5,1.2,1.284174190989487,1.1106032098888863,1.5630504306774629,0.6497288359788359,0.5390832898764361,-0.6220912346251246
rts,210,50,20,0.5,2.5,1.4010131683779448,1.1232095680176033,1.638649623379833,0.6452215608465609,0.546294840850404,-0.6209299481036313
rts,210,50,20,1.0,1.05,1.5398519666312693,1.2824863197617118,1.8629072279166634,0.6446362433862435,0.5894194755451312,-0.7185051934414881
rts,210,50,20,1.0,1.2,1.6020129245242871,1.3983490783597725,2.029329016190008,0.6388988095238095,0.5667056245505065,-0.7705369721788138
rts,210,50,20,1.0,2.5,1.7366663999580774,1.415580598945932,2.1611861566801513,0.6349305555555556,0.6062784745657405,-0.7046556898246501
rts,420,5,0,0.25,1.05,1.2396271564560792,1.214978625464052,1.2680894318857185,0.727199074074074,1.0,-0.31855500939515435
rts,420,5,0,0.25,1.2,1.2375801227856984,1.199303265715075,1.265134702690228,0.7295684523809524,1.0,-0.31530208076631455
rts,420,5,0,0.25,2.5,1.2419885087253628,1.2224090238689174,1.2790262392919434,0.7275082671957671,1.0,-0.3181299161580786
rts,420,5,0,0.5,1.05,1.2690368494689954,1.2403315126556547,1.312561366227605,0.7284837962962962,1.0,-0.3167898961525225
rts,420,5,0,0.5,1.2,1.2629893620060266,1.2342546481728647,1.3099267728100217,0.7248296957671957,1.0,-0.32181855411142496
rts,420,5,0,0.5,2.5,1.2701803161459024,1.2482563402265272,1.2883582332782961,0.7259970238095238,1.0,-0.3202093636016613
rts,420,5,0,1.0,1.05,1.3255072592317954,1.2932276281614634,1.3637956619023457,0.7205505952380952,1.0,-0.3277396436095709
rts,420,5,0,1.0,1.2,1.3236081219035298,1.2977240981284432,1.3563939578617221,0.7218882275132276,1.0,-0.32588496161201025
rts,420,5,0,1.0,2.5,1.3274533499897014,1.2869754709238284,1.3586849073696947,0.7199785052910053,1.0,-0.32853392118016117
rts,420,5,5,0.25,1.05,1.53373400688575,1.4366337840669896,1.6708692911265426,0.7418303571428572,0.9792557100368723,-0.29874454748587664
