access,w_eff,n_vis,n_nat,eps,T,rho,idle,solo_vis,solo_self,coll_vis,coll_txv,coll_self
rts,210,20,0,0.08153,0.69088,1.0,0.853419,0.132331,0.008168,0.01425,0.001494,0.001477
rts,210,20,0,0.10411,0.69208,1.0,0.838123,0.143497,0.006998,0.01838,0.001927,0.001306
rts,210,20,0,0.13294,0.69848,1.0,0.817418,0.158278,0.007797,0.024304,0.002572,0.002835
rts,210,20,0,0.16975,0.70989,1.0,0.788549,0.183702,0.010186,0.027749,0.003056,0.004449
rts,210,20,0,0.21677,0.70402,1.0,0.758837,0.195837,0.011085,0.045326,0.005007,0.005419
rts,210,20,0,0.2768,0.70789,1.0,0.727896,0.214324,0.009406,0.05778,0.006698,0.005375
rts,210,20,0,0.35345,0.69721,1.0,0.691066,0.226108,0.012176,0.082826,0.009805,0.010052
rts,210,20,0,0.45134,0.69259,1.0,0.647434,0.24339,0.011042,0.109176,0.013157,0.013064
rts,210,20,0,0.57633,0.67456,1.0,0.598039,0.248473,0.0135,0.153488,0.01964,0.021054
rts,210,20,0,0.73594,0.66963,1.0,0.549151,0.264196,0.012867,0.186653,0.024987,0.027449
rts,210,20,0,0.93975,0.64885,1.0,0.497643,0.259298,0.011699,0.243059,0.037175,0.039113
rts,210,20,0,1.2,0.62423,1.0,0.442083,0.25653,0.01243,0.301387,0.054882,0.055666
rts,210,20,5,0.05,0.74113,0.3238,0.674339,0.048837,0.001461,0.020582,0.001206,0.001218
rts,210,20,5,0.06385,0.73668,0.33619,0.674192,0.049718,0.001801,0.024138,0.001447,0.001201
rts,210,20,5,0.08153,0.73802,0.34948,0.671163,0.052619,0.001701,0.024183,0.001446,0.001458
rts,210,20,5,0.10411,0.73868,0.36073,0.667771,0.056701,0.002946,0.026632,0.001559,0.001841
rts,210,20,5,0.13294,0.7369,0.40461,0.664242,0.063748,0.00185,0.02947,0.001745,0.001603
rts,210,20,5,0.16975,0.73689,0.44728,0.661414,0.069975,0.002233,0.036228,0.002277,0.001861
rts,210,20,5,0.21677,0.73317,0.4716,0.65388,0.075722,0.003124,0.043109,0.002874,0.001999
rts,210,20,5,0.2768,0.73346,0.53374,0.649007,0.085472,0.004299,0.052219,0.003597,0.002529
rts,210,20,5,0.35345,0.72757,0.59739,0.632548,0.099524,0.003219,0.065791,0.005208,0.005536
rts,210,20,5,0.45134,0.73125,0.6577,0.618978,0.11416,0.005086,0.072671,0.005962,0.004818
rts,210,20,5,0.57633,0.71455,0.71588,0.599444,0.120815,0.006352,0.10348,0.009719,0.009263
rts,210,20,5,0.73594,0.70093,0.80692,0.575127,0.134774,0.007206,0.132239,0.013818,0.012276
rts,210,20,5,0.93975,0.69447,0.86511,0.554314,0.146245,0.005588,0.156058,0.018223,0.017718
rts,210,20,5,1.2,0.67792,0.88995,0.523094,0.150007,0.007721,0.188336,0.027926,0.031849
rts,210,20,10,0.05,0.71472,0.29942,0.578889,0.042388,0.00277,0.024796,0.001406,0.001385
rts,210,20,10,0.06385,0.7166,0.31162,0.577068,0.044379,0.00322,0.025059,0.001407,0.00154
rts,210,20,10,0.08153,0.71655,0.31213,0.576928,0.044939,0.00322,0.025339,0.001435,0.00154
rts,210,20,10,0.10411,0.71784,0.31628,0.576593,0.045295,0.003095,0.031369,0.001737,0.002251
rts,210,20,10,0.13294,0.71683,0.34786,0.572695,0.051372,0.003378,0.034061,0.001949,0.00197
rts,210,20,10,0.16975,0.71003,0.35478,0.571784,0.051729,0.00332,0.038174,0.002248,0.001798
rts,210,20,10,0.21677,0.70539,0.37369,0.570882,0.053862,0.003691,0.04566,0.002727,0.002461
rts,210,20,10,0.2768,0.71318,0.38484,0.565771,0.058982,0.002687,0.048798,0.002878,0.003253
rts,210,20,10,0.35345,0.71347,0.44342,0.557551,0.06682,0.003449,0.057336,0.003729,0.005029
rts,210,20,10,0.45134,0.70456,0.51922,0.550184,0.07888,0.004665,0.072095,0.004941,0.00523
rts,210,20,10,0.57633,0.69875,0.5814,0.546855,0.086427,0.006023,0.09231,0.006976,0.008545
rts,210,20,10,0.73594,0.69034,0.66373,0.52903,0.09752,0.004228,0.116122,0.009893,0.011697
rts,210,20,10,0.93975,0.68382,0.77046,0.510823,0.116064,0.00712,0.137283,0.013223,0.011678
rts,210,20,10,1.2,0.66195,0.8378,0.480272,0.122331,0.007637,0.184557,0.023589,0.022203
rts,210,20,20,0.05,0.65182,0.35021,0.499063,0.032405,0.002544,0.029995,0.00156,0.001741
rts,210,20,20,0.06385,0.65213,0.35057,0.498524,0.033137,0.002549,0.029917,0.001563,0.001744
rts,210,20,20,0.08153,0.65096,0.34135,0.498193,0.032517,0.002409,0.032249,0.001673,0.00174
rts,210,20,20,0.10411,0.65137,0.362,0.497051,0.03445,0.002413,0.033244,0.001729,0.001743
rts,210,20,20,0.13294,0.64591,0.38467,0.496828,0.035289,0.002115,0.033836,0.001784,0.001322
rts,210,20,20,0.16975,0.64714,0.39394,0.496483,0.035965,0.001858,0.037027,0.001958,0.002256
rts,210,20,20,0.21677,0.64729,0.39615,0.497744,0.036634,0.002256,0.040085,0.00215,0.003318
rts,210,20,20,0.2768,0.65139,0.4193,0.493443,0.041233,0.001757,0.040287,0.002197,0.003245
rts,210,20,20,0.35345,0.64897,0.42849,0.492935,0.041448,0.002422,0.045216,0.002496,0.002153
rts,210,20,20,0.45134,0.6471,0.46184,0.49116,0.0442,0.002545,0.051165,0.00292,0.002947
rts,210,20,20,0.57633,0.65027,0.5293,0.484056,0.054102,0.003543,0.063505,0.003727,0.003816
rts,210,20,20,0.73594,0.63944,0.60711,0.481038,0.058816,0.003593,0.083566,0.005609,0.007452
rts,210,20,20,0.93975,0.63228,0.70222,0.474794,0.066065,0.003715,0.104802,0.007747,0.009154
rts,210,20,20,1.2,0.62419,0.80516,0.459833,0.074625,0.003984,0.135971,0.012077,0.01381
rts,210,50,0,0.05,0.70375,1.0,0.800372,0.170734,0.002955,0.028894,0.001221,0.001094
rts,210,50,0,0.06385,0.70721,1.0,0.78929,0.179162,0.00326,0.031548,0.001369,0.001397
rts,210,50,0,0.08153,0.70725,1.0,0.767811,0.193429,0.00443,0.03876,0.001676,0.001723
rts,210,50,0,0.10411,0.70798,1.0,0.750911,0.206816,0.004032,0.042274,0.001834,0.001821
rts,210,50,0,0.13294,0.71002,1.0,0.731401,0.219186,0.004003,0.049413,0.002189,0.00207
rts,210,50,0,0.16975,0.71002,1.0,0.707755,0.230469,0.005064,0.061777,0.00276,0.002315
rts,210,50,0,0.21677,0.70925,1.0,0.68,0.246154,0.004308,0.073846,0.003348,0.002308
rts,210,50,0,0.2768,0.7057,1.0,0.645039,0.256735,0.004763,0.098226,0.004534,0.004435
rts,210,50,0,0.35345,0.70622,1.0,0.612448,0.275279,0.005753,0.112273,0.005345,0.006799
rts,210,50,0,0.45134,0.69094,1.0,0.581882,0.269861,0.005052,0.148258,0.007348,0.006794
rts,210,50,0,0.57633,0.68567,1.0,0.539264,0.284093,0.006956,0.176643,0.009174,0.008603
rts,210,50,0,0.73594,0.67831,1.0,0.509228,0.283051,0.005273,0.207721,0.011292,0.012618
rts,210,50,0,0.93975,0.64974,1.0,0.476892,0.269287,0.00564,0.253821,0.016288,0.019651
rts,210,50,0,1.2,0.6286,1.0,0.433048,0.256513,0.004008,0.310439,0.023778,0.025323
rts,210,50,5,0.05,0.74519,0.53042,0.630022,0.105944,0.001789,0.047744,0.001318,0.00055
rts,210,50,5,0.06385,0.74544,0.52952,0.626822,0.106345,0.001944,0.054283,0.001527,0.000833
rts,210,50,5,0.08153,0.74241,0.53624,0.627617,0.107979,0.00219,0.056521,0.001596,0.001095
rts,210,50,5,0.10411,0.7434,0.54243,0.622837,0.110727,0.001384,0.058547,0.001725,0.001522
rts,210,50,5,0.13294,0.73839,0.59817,0.621005,0.119776,0.002868,0.06501,0.001934,0.002458
rts,210,50,5,0.16975,0.73258,0.61194,0.614745,0.122513,0.001908,0.074952,0.00233,0.002726
rts,210,50,5,0.21677,0.73451,0.62348,0.604677,0.127013,0.002381,0.082201,0.002616,0.002661
rts,210,50,5,0.2768,0.72825,0.66977,0.599557,0.134035,0.003323,0.089587,0.002994,0.002908
rts,210,50,5,0.35345,0.72468,0.69839,0.589131,0.139983,0.002654,0.103101,0.003568,0.002515
rts,210,50,5,0.45134,0.72235,0.74846,0.576146,0.152291,0.00427,0.113863,0.004264,0.003985
rts,210,50,5,0.57633,0.70617,0.75742,0.560766,0.150943,0.002497,0.135405,0.005519,0.004856
rts,210,50,5,0.73594,0.69944,0.79238,0.539444,0.162741,0.00298,0.158201,0.006986,0.005959
rts,210,50,5,0.93975,0.67937,0.82492,0.53076,0.156322,0.003001,0.181694,0.009014,0.007502
rts,210,50,5,1.2,0.65663,0.85094,0.506634,0.155207,0.003485,0.217665,0.014379,0.014877
rts,210,50,10,0.05,0.70987,0.44899,0.548252,0.08119,0.001734,0.068188,0.001757,0.0013
rts,210,50,10,0.06385,0.71148,0.46252,0.549559,0.085226,0.001736,0.068731,0.001754,0.001736
rts,210,50,10,0.08153,0.71437,0.48691,0.549825,0.090763,0.001894,0.067453,0.001734,0.001457
rts,210,50,10,0.10411,0.71199,0.47501,0.547225,0.088201,0.001889,0.067858,0.001799,0.001162
rts,210,50,10,0.13294,0.71129,0.47478,0.542489,0.090537,0.002633,0.072693,0.00196,0.000878
rts,210,50,10,0.16975,0.71484,0.50129,0.537494,0.09789,0.002994,0.076785,0.002104,0.001497
rts,210,50,10,0.21677,0.71361,0.50691,0.533453,0.09886,0.00165,0.082058,0.002289,0.00255
rts,210,50,10,0.2768,0.70908,0.54975,0.537274,0.10322,0.002206,0.093075,0.002614,0.002353
rts,210,50,10,0.35345,0.70806,0.56695,0.524671,0.111394,0.002691,0.100927,0.003026,0.002542
rts,210,50,10,0.45134,0.69518,0.60161,0.519206,0.113785,0.001739,0.118858,0.003815,0.003769
rts,210,50,10,0.57633,0.6849,0.64559,0.5058,0.121665,0.00203,0.139356,0.004791,0.00348
rts,210,50,10,0.73594,0.67838,0.6975,0.499857,0.128,0.002714,0.153571,0.00566,0.005
rts,210,50,10,0.93975,0.66971,0.71604,0.487289,0.127678,0.002714,0.180377,0.007855,0.007284
rts,210,50,10,1.2,0.65679,0.78221,0.474131,0.13274,0.002969,0.206107,0.010755,0.008199
rts,210,50,20,0.05,0.64873,0.47957,0.474719,0.066491,0.001247,0.074387,0.00179,0.002493
rts,210,50,20,0.06385,0.64664,0.49373,0.472818,0.068059,0.001245,0.074976,0.001801,0.002767
rts,210,50,20,0.08153,0.647,0.49844,0.476773,0.067345,0.000687,0.075866,0.001817,0.002611
rts,210,50,20,0.10411,0.64862,0.48719,0.473808,0.067212,0.00097,0.076912,0.00186,0.002633
rts,210,50,20,0.13294,0.64707,0.49749,0.472642,0.070647,0.001524,0.080898,0.001998,0.002493
rts,210,50,20,0.16975,0.64371,0.50259,0.477923,0.070455,0.001772,0.084628,0.002112,0.002453
rts,210,50,20,0.21677,0.63686,0.52705,0.475711,0.070451,0.001744,0.089775,0.002276,0.002281
rts,210,50,20,0.2768,0.63848,0.5238,0.471941,0.070453,0.001893,0.091819,0.00228,0.002028
rts,210,50,20,0.35345,0.64709,0.55339,0.469739,0.076485,0.001249,0.099944,0.002526,0.002082
rts,210,50,20,0.45134,0.63298,0.58224,0.470509,0.076676,0.001609,0.107373,0.002898,0.002949
rts,210,50,20,0.57633,0.63554,0.60776,0.465195,0.082611,0.001219,0.116062,0.003199,0.002438
rts,210,50,20,0.73594,0.64236,0.61241,0.458939,0.086732,0.001816,0.129609,0.003916,0.002654
rts,210,50,20,0.93975,0.62473,0.68942,0.453493,0.091668,0.000942,0.158837,0.005293,0.004846
rts,210,50,20,1.2,0.61287,0.69094,0.447907,0.089661,0.00132,0.183283,0.007115,0.007263
rts,420,5,0,0.05,0.67413,1.0,0.92543,0.070656,0.014553,0.003914,0.001591,0.001581
rts,420,5,0,0.06385,0.69058,1.0,0.908627,0.083865,0.017712,0.007508,0.003079,0.00316
rts,420,5,0,0.08153,0.70679,1.0,0.889387,0.100168,0.019373,0.010445,0.004313,0.004346
rts,420,5,0,0.10411,0.71831,1.0,0.865287,0.118608,0.024646,0.016104,0.006787,0.007484
rts,420,5,0,0.13294,0.72706,1.0,0.837551,0.137692,0.028997,0.024757,0.010569,0.010578
rts,420,5,0,0.16975,0.72533,1.0,0.800135,0.158528,0.03181,0.041337,0.017899,0.017909
rts,420,5,0,0.21677,0.73172,1.0,0.76237,0.182281,0.037439,0.055349,0.024284,0.025458
rts,420,5,0,0.2768,0.72768,1.0,0.712916,0.207169,0.042236,0.079916,0.036346,0.036047
rts,420,5,0,0.35345,0.71609,1.0,0.650958,0.224368,0.043845,0.124674,0.059101,0.060249
rts,420,5,0,0.45134,0.69736,1.0,0.580898,0.234467,0.043843,0.184635,0.092445,0.09072
rts,420,5,0,0.57633,0.67148,1.0,0.507521,0.242564,0.051026,0.249915,0.128821,0.12735
rts,420,5,0,0.73594,0.61975,1.0,0.412704,0.221229,0.041454,0.366068,0.203059,0.204012
rts,420,5,0,0.93975,0.586,1.0,0.342835,0.214176,0.044418,0.442988,0.245371,0.253999
rts,420,5,0,1.2,0.44179,1.0,0.22873,0.139687,0.027159,0.631583,0.393804,0.397594
rts,420,5,5,0.05,0.74788,0.12442,0.700125,0.011332,0.002386,0.005308,0.001074,0.001014
rts,420,5,5,0.06385,0.74653,0.13608,0.700776,0.012443,0.002192,0.006103,0.001232,0.001481
rts,420,5,5,0.08153,0.74998,0.14573,0.695763,0.014508,0.002914,0.006009,0.00125,0.001153
rts,420,5,5,0.10411,0.75018,0.1714,0.693488,0.016998,0.00373,0.008805,0.001871,0.001345
rts,420,5,5,0.13294,0.74872,0.23476,0.686838,0.023846,0.004893,0.012016,0.002614,0.002849
rts,420,5,5,0.16975,0.75175,0.29549,0.680434,0.03039,0.005646,0.015671,0.003477,0.003489
rts,420,5,5,0.21677,0.74955,0.42214,0.670707,0.043136,0.007415,0.023212,0.005545,0.005158
