access,w_eff,n_vis,n_nat,c_coll,c_idle,eps_idle,T,rho
basic,420,10,10,1.2,1.36027,0.30769,0.61134,0.45925
basic,420,10,10,1.2,1.43924,0.36411,0.60507,0.56864
basic,420,10,10,1.2,1.53862,0.43089,0.60016,0.67973
basic,420,10,10,1.2,1.66514,0.50991,0.57261,0.79201
basic,420,10,10,1.2,1.82836,0.60342,0.54069,0.89291
basic,420,10,10,1.2,2.0423,0.71408,0.51228,0.97424
basic,420,10,10,1.2,2.32805,0.84503,0.48684,1.09448
basic,420,10,10,1.2,2.71828,1.0,0.44427,1.10799
basic,420,20,10,1.2,1.08329,0.08,0.62701,0.20597
basic,420,20,10,1.2,1.0993,0.09467,0.62648,0.21639
basic,420,20,10,1.2,1.11855,0.11203,0.61765,0.23501
basic,420,20,10,1.2,1.14177,0.13258,0.62877,0.25862
basic,420,20,10,1.2,1.16987,0.15689,0.62001,0.28412
basic,420,20,10,1.2,1.20402,0.18566,0.62156,0.32973
basic,420,20,10,1.2,1.24572,0.21971,0.61673,0.37695
basic,420,20,10,1.2,1.29694,0.26,0.60429,0.42738
basic,420,20,10,1.2,1.36027,0.30769,0.59919,0.49667
basic,420,20,10,1.2,1.43924,0.36411,0.59252,0.58143
basic,420,20,10,1.2,1.53862,0.43089,0.56572,0.63844
basic,420,20,10,1.2,1.66514,0.50991,0.54984,0.72314
basic,420,20,10,1.2,1.82836,0.60342,0.52187,0.7772
basic,420,20,10,1.2,2.0423,0.71408,0.48981,0.84053
basic,420,20,10,1.2,2.32805,0.84503,0.45724,0.88335
basic,420,20,10,1.2,2.71828,1.0,0.41844,0.91455
basic,420,50,10,1.2,1.08329,0.08,0.61877,0.34578
basic,420,50,10,1.2,1.0993,0.09467,0.62203,0.36198
basic,420,50,10,1.2,1.11855,0.11203,0.61556,0.38305
basic,420,50,10,1.2,1.14177,0.13258,0.61008,0.40259
basic,420,50,10,1.2,1.16987,0.15689,0.60938,0.43096
basic,420,50,10,1.2,1.20402,0.18566,0.60368,0.46127
basic,420,50,10,1.2,1.24572,0.21971,0.59194,0.51127
basic,420,50,10,1.2,1.29694,0.26,0.58831,0.55847
basic,420,50,10,1.2,1.36027,0.30769,0.57723,0.58236
basic,420,50,10,1.2,1.43924,0.36411,0.55641,0.64217
basic,420,50,10,1.2,1.53862,0.43089,0.54438,0.6831
basic,420,50,10,1.2,1.66514,0.50991,0.5139,0.70555
basic,420,50,10,1.2,1.82836,0.60342,0.48102,0.75261
basic,420,50,10,1.2,2.0423,0.71408,0.45551,0.7939
basic,420,50,10,1.2,2.32805,0.84503,0.42979,0.83001
basic,420,50,10,1.2,2.71828,1.0,0.38972,0.82947
basic,840,5,10,1.2,1.08329,0.08,0.64901,0.0864
basic,840,5,10,1.2,1.0993,0.09467,0.64505,0.1026
basic,840,5,10,1.2,1.11855,0.11203,0.64515,0.13002
basic,840,5,10,1.2,1.14177,0.13258,0.64359,0.18852
basic,840,5,10,1.2,1.16987,0.15689,0.64065,0.2517
basic,840,5,10,1.2,1.20402,0.18566,0.63432,0.37446
basic,840,5,10,1.2,1.24572,0.21971,0.627,0.53177
basic,840,5,10,1.2,1.29694,0.26,0.61255,0.73675
basic,840,5,10,1.2,1.36027,0.30769,0.60128,0.92749
basic,840,5,10,1.2,1.43924,0.36411,0.56934,1.12949
basic,840,5,10,1.2,1.53862,0.43089,0.54272,1.3143
basic,840,5,10,1.2,1.66514,0.50991,0.51617,1.527
basic,840,5,10,1.2,1.82836,0.60342,0.47405,1.63756
basic,840,5,10,1.2,2.0423,0.71408,0.43193,1.74983
basic,840,5,10,1.2,2.32805,0.84503,0.39087,1.85468
basic,840,5,10,1.2,2.71828,1.0,0.35161,1.87625
basic,840,10,10,1.2,1.08329,0.08,0.64714,0.10822
basic,840,10,10,1.2,1.0993,0.09467,0.64537,0.13133
basic,840,10,10,1.2,1.11855,0.11203,0.63842,0.16118
basic,840,10,10,1.2,1.14177,0.13258,0.63991,0.21346
basic,840,10,10,1.2,1.16987,0.15689,0.63325,0.27122
basic,840,10,10,1.2,1.20402,0.18566,0.62559,0.37819
basic,840,10,10,1.2,1.24572,0.21971,0.61167,0.48579
basic,840,10,10,1.2,1.29694,0.26,0.59764,0.60197
basic,840,10,10,1.2,1.36027,0.30769,0.58211,0.74445
basic,840,10,10,1.2,1.43924,0.36411,0.5499,0.86952
basic,840,10,10,1.2,1.53862,0.43089,0.51938,0.9836
basic,840,10,10,1.2,1.66514,0.50991,0.48724,1.10508
basic,840,10,10,1.2,1.82836,0.60342,0.4534,1.18532
basic,840,10,10,1.2,2.0423,0.71408,0.4189,1.24436
basic,840,10,10,1.2,2.32805,0.84503,0.37449,1.29576
basic,840,10,10,1.2,2.71828,1.0,0.33519,1.32225
basic,840,20,10,1.2,1.08329,0.08,0.64141,0.14503
basic,840,20,10,1.2,1.0993,0.09467,0.6375,0.17252
basic,840,20,10,1.2,1.11855,0.11203,0.63088,0.21531
basic,840,20,10,1.2,1.14177,0.13258,0.62968,0.26556
basic,840,20,10,1.2,1.16987,0.15689,0.62274,0.32098
basic,840,20,10,1.2,1.20402,0.18566,0.61507,0.39594
basic,840,20,10,1.2,1.24572,0.21971,0.59727,0.48437
basic,840,20,10,1.2,1.29694,0.26,0.58083,0.57308
basic,840,20,10,1.2,1.36027,0.30769,0.55361,0.66349
basic,840,20,10,1.2,1.43924,0.36411,0.52498,0.76242
basic,840,20,10,1.2,1.53862,0.43089,0.5017,0.84036
basic,840,20,10,1.2,1.66514,0.50991,0.47636,0.90877
basic,840,20,10,1.2,1.82836,0.60342,0.44281,0.96136
basic,840,20,10,1.2,2.0423,0.71408,0.4044,0.9939
basic,840,20,10,1.2,2.32805,0.84503,0.36569,1.03768
basic,840,20,10,1.2,2.71828,1.0,0.33202,1.05027
basic,840,50,10,1.2,1.08329,0.08,0.62765,0.24715
basic,840,50,10,1.2,1.0993,0.09467,0.62221,0.28203
basic,840,50,10,1.2,1.11855,0.11203,0.62086,0.32511
basic,840,50,10,1.2,1.14177,0.13258,0.60958,0.37136
basic,840,50,10,1.2,1.16987,0.15689,0.59846,0.42042
basic,840,50,10,1.2,1.20402,0.18566,0.58481,0.48758
basic,840,50,10,1.2,1.24572,0.21971,0.56887,0.55634
basic,840,50,10,1.2,1.29694,0.26,0.54698,0.60762
basic,840,50,10,1.2,1.36027,0.30769,0.52775,0.67905
basic,840,50,10,1.2,1.43924,0.36411,0.50735,0.73213
basic,840,50,10,1.2,1.53862,0.43089,0.47427,0.77235
basic,840,50,10,1.2,1.66514,0.50991,0.44644,0.81714
basic,840,50,10,1.2,1.82836,0.60342,0.41639,0.85145
basic,840,50,10,1.2,2.0423,0.71408,0.38031,0.87313
basic,840,50,10,1.2,2.32805,0.84503,0.33909,0.89499
basic,840,50,10,1.2,2.71828,1.0,0.31113,0.91351
basic,1680,5,10,1.2,1.08329,0.08,0.67538,0.12281
basic,1680,5,10,1.2,1.0993,0.09467,0.67084,0.19913
basic,1680,5,10,1.2,1.11855,0.11203,0.66471,0.32945
basic,1680,5,10,1.2,1.14177,0.13258,0.65277,0.51515
basic,1680,5,10,1.2,1.16987,0.15689,0.64079,0.74347
basic,1680,5,10,1.2,1.20402,0.18566,0.61794,1.00016
basic,1680,5,10,1.2,1.24572,0.21971,0.59301,1.22982
basic,1680,5,10,1.2,1.29694,0.26,0.56106,1.40854
basic,1680,5,10,1.2,1.36027,0.30769,0.52435,1.57508
basic,1680,5,10,1.2,1.43924,0.36411,0.48651,1.7037
basic,1680,5,10,1.2,1.53862,0.43089,0.44574,1.79797
basic,1680,5,10,1.2,1.66514,0.50991,0.40512,1.90464
basic,1680,5,10,1.2,1.82836,0.60342,0.35735,1.99324
basic,1680,5,10,1.2,2.0423,0.71408,0.3139,2.02428
basic,1680,5,10,1.2,2.32805,0.84503,0.27661,2.04809
basic,1680,5,10,1.2,2.71828,1.0,0.2387,2.0854
basic,1680,10,10,1.2,1.08329,0.08,0.66705,0.14879
basic,1680,10,10,1.2,1.0993,0.09467,0.66383,0.22266
basic,1680,10,10,1.2,1.11855,0.11203,0.6587,0.32225
basic,1680,10,10,1.2,1.14177,0.13258,0.64437,0.46033
basic,1680,10,10,1.2,1.16987,0.15689,0.62976,0.62214
basic,1680,10,10,1.2,1.20402,0.18566,0.60493,0.76695
basic,1680,10,10,1.2,1.24572,0.21971,0.57702,0.91465
basic,1680,10,10,1.2,1.29694,0.26,0.54502,1.02494
basic,1680,10,10,1.2,1.36027,0.30769,0.51158,1.11832
basic,1680,10,10,1.2,1.43924,0.36411,0.47388,1.18865
basic,1680,10,10,1.2,1.53862,0.43089,0.43845,1.26395
basic,1680,10,10,1.2,1.66514,0.50991,0.39851,1.34156
basic,1680,10,10,1.2,1.82836,0.60342,0.36249,1.40455
basic,1680,10,10,1.2,2.0423,0.71408,0.32513,1.43081
basic,1680,10,10,1.2,2.32805,0.84503,0.28268,1.45515
basic,1680,10,10,1.2,2.71828,1.0,0.25446,1.49481
basic,1680,20,10,1.2,1.08329,0.08,0.66221,0.18027
basic,1680,20,10,1.2,1.0993,0.09467,0.65491,0.25627
basic,1680,20,10,1.2,1.11855,0.11203,0.64733,0.34755
basic,1680,20,10,1.2,1.14177,0.13258,0.6329,0.45459
basic,1680,20,10,1.2,1.16987,0.15689,0.61434,0.56057
basic,1680,20,10,1.2,1.20402,0.18566,0.59336,0.66018
basic,1680,20,10,1.2,1.24572,0.21971,0.55937,0.75194
basic,1680,20,10,1.2,1.29694,0.26,0.52776,0.8232
basic,1680,20,10,1.2,1.36027,0.30769,0.49823,0.89614
basic,1680,20,10,1.2,1.43924,0.36411,0.46224,0.96195
basic,1680,20,10,1.2,1.53862,0.43089,0.4268,1.0159
basic,1680,20,10,1.2,1.66514,0.50991,0.39255,1.05342
basic,1680,20,10,1.2,1.82836,0.60342,0.3574,1.09747
basic,1680,20,10,1.2,2.0423,0.71408,0.32285,1.12644
basic,1680,20,10,1.2,2.32805,0.84503,0.28878,1.158
basic,1680,20,10,1.2,2.71828,1.0,0.25546,1.17048
basic,1680,50,10,1.2,1.08329,0.08,0.65029,0.26514
basic,1680,50,10,1.2,1.0993,0.09467,0.64027,0.32731
basic,1680,50,10,1.2,1.11855,0.11203,0.62977,0.41041
basic,1680,50,10,1.2,1.14177,0.13258,0.61098,0.48887
basic,1680,50,10,1.2,1.16987,0.15689,0.59712,0.56162
basic,1680,50,10,1.2,1.20402,0.18566,0.56832,0.63671
basic,1680,50,10,1.2,1.24572,0.21971,0.54091,0.69761
basic,1680,50,10,1.2,1.29694,0.26,0.5096,0.74963
basic,1680,50,10,1.2,1.36027,0.30769,0.47934,0.79703
basic,1680,50,10,1.2,1.43924,0.36411,0.44727,0.84027
basic,1680,50,10,1.2,1.53862,0.43089,0.41581,0.87951
basic,1680,50,10,1.2,1.66514,0.50991,0.38163,0.91333
basic,1680,50,10,1.2,1.82836,0.60342,0.35082,0.93669
basic,1680,50,10,1.2,2.0423,0.71408,0.31537,0.96026
basic,1680,50,10,1.2,2.32805,0.84503,0.28918,0.96796
basic,1680,50,10,1.2,2.71828,1.0,0.2546,0.98166
