init,N,W_eff,seed,efficiency,W_eff_utilization,collision_rate,oracle_successes
optimal,10,50,42,0.9809043650793651,0.77914,0.21262659148256266,5.648
rand_u01,10,50,42,0.49961071428571424,0.36801999999999996,0.8527479613430791,5.648
rand_u2N,10,50,42,0.9613357142857144,0.7687999999999999,0.26531396090560294,5.648
high,10,50,42,0.8071722222222222,0.63274,0.6404225171891262,5.648
low,10,50,42,0.8753555555555557,0.70488,0.07226618173364519,5.648
oracle,10,50,123,1.0161543650793652,0.8024399999999999,nan,5.684
optimal,10,50,123,0.9548261904761906,0.77074,0.2229725654344146,5.684
rand_u01,10,50,123,0.484525,0.35620000000000007,0.8633840501155595,5.684
rand_u2N,10,50,123,0.9481511904761906,0.76202,0.2708932043737761,5.684
high,10,50,123,0.8033742063492063,0.64098,0.6385957022529105,5.684
low,10,50,123,0.8662527777777779,0.6970799999999999,0.07441615919023098,5.684
oracle,10,50,456,1.019472619047619,0.8080600000000001,nan,5.72
optimal,10,50,456,0.9620567460317461,0.77462,0.22061385713487813,5.72
rand_u01,10,50,456,0.5009111111111111,0.37004,0.8540335672532482,5.72
rand_u2N,10,50,456,0.9581293650793651,0.76854,0.2666914629145369,5.72
high,10,50,456,0.8089785714285715,0.6379199999999999,0.6352298896903571,5.72
low,10,50,456,0.8737059523809524,0.6995800000000001,0.07421839958875406,5.72
oracle,10,50,789,1.0225353174603173,0.80298,nan,5.705
optimal,10,50,789,0.9606571428571429,0.77132,0.2212927252618557,5.705
rand_u01,10,50,789,0.4959646825396825,0.36710000000000004,0.8546014496636765,5.705
rand_u2N,10,50,789,0.9635440476190477,0.7698400000000001,0.2618497527086664,5.705
high,10,50,789,0.8013515873015872,0.6363,0.6370408674479441,5.705
low,10,50,789,0.8678103174603174,0.69748,0.07411378822545599,5.705
oracle,10,50,1234,1.0111900793650794,0.8084600000000001,nan,5.693
optimal,10,50,1234,0.9634742063492062,0.7789200000000001,0.21981656201337915,5.693
rand_u01,10,50,1234,0.48899880952380953,0.36236,0.8576755685608648,5.693
rand_u2N,10,50,1234,0.9502444444444446,0.77012,0.2703010901274638,5.693
high,10,50,1234,0.7982996031746031,0.6379,0.6406396361190014,5.693
