access,w_eff,n_vis,n_nat,c_idle,c_coll,T,rho,tau_cv
rts,1680,10,10,1.8,1.55,0.65853,1.57104,0.18993
rts,1680,10,10,1.8,1.7,0.65458,1.53146,0.23392
rts,1680,10,10,1.8,1.85,0.63931,1.49614,0.24494
rts,1680,10,10,1.8,2.0,0.63926,1.47799,0.3032
rts,1680,10,10,2.0,1.02,0.41832,1.58301,0.02763
rts,1680,10,10,2.0,1.05,0.49138,1.62857,0.05507
rts,1680,10,10,2.0,1.1,0.54707,1.66487,0.08748
rts,1680,10,10,2.0,1.15,0.57659,1.67176,0.11187
rts,1680,10,10,2.0,1.2,0.58443,1.67559,0.14414
rts,1680,10,10,2.0,1.3,0.60231,1.66487,0.1736
rts,1680,10,10,2.0,1.4,0.60878,1.64668,0.22962
rts,1680,10,10,2.0,1.55,0.60061,1.62153,0.2482
rts,1680,10,10,2.0,1.7,0.60409,1.59478,0.29182
rts,1680,10,10,2.0,1.85,0.5867,1.56604,0.35022
rts,1680,10,10,2.0,2.0,0.578,1.54572,0.31
rts,1680,10,10,2.4,1.02,0.36165,1.60112,0.0315
rts,1680,10,10,2.4,1.05,0.42167,1.66055,0.0818
rts,1680,10,10,2.4,1.1,0.47708,1.69713,0.15012
rts,1680,10,10,2.4,1.15,0.50295,1.70178,0.1885
rts,1680,10,10,2.4,1.2,0.51699,1.70375,0.22838
rts,1680,10,10,2.4,1.3,0.5218,1.69362,0.2808
rts,1680,10,10,2.4,1.4,0.51402,1.68654,0.33425
rts,1680,10,10,2.4,1.55,0.48882,1.65441,0.398
rts,1680,10,10,2.4,1.7,0.50338,1.64136,0.40402
rts,1680,10,10,2.4,1.85,0.4814,1.60968,0.43851
rts,1680,10,10,2.4,2.0,0.47371,1.59372,0.50339
rts,1680,20,10,1.0,1.02,0.73781,0.04812,0.00069
rts,1680,20,10,1.0,1.05,0.73767,0.04092,0.00165
rts,1680,20,10,1.0,1.1,0.73808,0.03254,0.00284
rts,1680,20,10,1.0,1.15,0.73773,0.02734,0.00372
rts,1680,20,10,1.0,1.2,0.73739,0.02283,0.00402
rts,1680,20,10,1.0,1.3,0.73756,0.01911,0.00317
rts,1680,20,10,1.0,1.4,0.7374,0.01699,0.00302
rts,1680,20,10,1.0,1.55,0.73718,0.01454,0.00234
rts,1680,20,10,1.0,1.7,0.737,0.01369,0.0019
rts,1680,20,10,1.0,1.85,0.73712,0.01341,0.00173
rts,1680,20,10,1.0,2.0,0.73705,0.01338,0.0018
rts,1680,20,10,1.2,1.02,0.71045,0.92802,0.00314
rts,1680,20,10,1.2,1.05,0.72114,0.90932,0.00689
rts,1680,20,10,1.2,1.1,0.73132,0.87284,0.01181
rts,1680,20,10,1.2,1.15,0.7353,0.82744,0.0166
rts,1680,20,10,1.2,1.2,0.73817,0.78545,0.02087
rts,1680,20,10,1.2,1.3,0.74125,0.70621,0.02917
rts,1680,20,10,1.2,1.4,0.74184,0.62802,0.03626
rts,1680,20,10,1.2,1.55,0.74291,0.50564,0.04791
rts,1680,20,10,1.2,1.7,0.74213,0.40536,0.05699
rts,1680,20,10,1.2,1.85,0.74029,0.32185,0.06599
rts,1680,20,10,1.2,2.0,0.74079,0.24548,0.06953
rts,1680,20,10,1.4,1.02,0.60565,1.12145,0.00829
rts,1680,20,10,1.4,1.05,0.64448,1.1289,0.01553
rts,1680,20,10,1.4,1.1,0.67974,1.12719,0.02356
rts,1680,20,10,1.4,1.15,0.69407,1.1154,0.03102
rts,1680,20,10,1.4,1.2,0.70657,1.0957,0.03744
rts,1680,20,10,1.4,1.3,0.71793,1.05526,0.04979
rts,1680,20,10,1.4,1.4,0.72464,1.01657,0.06188
rts,1680,20,10,1.4,1.55,0.72981,0.96399,0.08032
rts,1680,20,10,1.4,1.7,0.73301,0.91209,0.0964
rts,1680,20,10,1.4,1.85,0.73496,0.86028,0.11395
rts,1680,20,10,1.4,2.0,0.73588,0.80554,0.13324
rts,1680,20,10,1.6,1.02,0.52992,1.18787,0.01317
rts,1680,20,10,1.6,1.05,0.58392,1.20967,0.02378
rts,1680,20,10,1.6,1.1,0.63127,1.21719,0.03532
rts,1680,20,10,1.6,1.15,0.65915,1.21163,0.0441
rts,1680,20,10,1.6,1.2,0.6736,1.20862,0.05245
rts,1680,20,10,1.6,1.3,0.69255,1.18575,0.06879
rts,1680,20,10,1.6,1.4,0.70169,1.1659,0.08437
rts,1680,20,10,1.6,1.55,0.70973,1.12516,0.10948
rts,1680,20,10,1.6,1.7,0.71763,1.09164,0.12781
rts,1680,20,10,1.6,1.85,0.71779,1.05286,0.15732
rts,1680,20,10,1.6,2.0,0.72047,1.02165,0.17901
rts,1680,20,10,1.8,1.02,0.47539,1.22107,0.0173
rts,1680,20,10,1.8,1.05,0.54097,1.24575,0.03118
rts,1680,20,10,1.8,1.1,0.59433,1.25973,0.0451
rts,1680,20,10,1.8,1.15,0.6263,1.26284,0.05688
rts,1680,20,10,1.8,1.2,0.64562,1.25966,0.06711
rts,1680,20,10,1.8,1.3,0.66944,1.24917,0.0861
rts,1680,20,10,1.8,1.4,0.68165,1.23507,0.10693
rts,1680,20,10,1.8,1.55,0.68987,1.20824,0.1368
rts,1680,20,10,1.8,1.7,0.69478,1.17953,0.16792
rts,1680,20,10,1.8,1.85,0.69416,1.15561,0.2011
rts,1680,20,10,1.8,2.0,0.69625,1.12838,0.22684
rts,1680,20,10,2.0,1.02,0.42214,1.22991,0.02201
rts,1680,20,10,2.0,1.05,0.50352,1.26729,0.03814
rts,1680,20,10,2.0,1.1,0.56751,1.28625,0.05518
rts,1680,20,10,2.0,1.15,0.59756,1.29076,0.07002
rts,1680,20,10,2.0,1.2,0.62313,1.2877,0.08178
rts,1680,20,10,2.0,1.3,0.64533,1.28269,0.10912
rts,1680,20,10,2.0,1.4,0.66062,1.27786,0.12871
rts,1680,20,10,2.0,1.55,0.66808,1.25155,0.16838
rts,1680,20,10,2.0,1.7,0.67455,1.23238,0.21192
rts,1680,20,10,2.0,1.85,0.66979,1.21056,0.2563
rts,1680,20,10,2.0,2.0,0.66519,1.1879,0.26268
rts,1680,20,10,2.4,1.02,0.36593,1.25064,0.02853
rts,1680,20,10,2.4,1.05,0.44419,1.29077,0.0525
rts,1680,20,10,2.4,1.1,0.51789,1.31413,0.07488
rts,1680,20,10,2.4,1.15,0.55842,1.32237,0.09327
rts,1680,20,10,2.4,1.2,0.57813,1.32521,0.11638
rts,1680,20,10,2.4,1.3,0.60319,1.32135,0.14851
rts,1680,20,10,2.4,1.4,0.61254,1.31343,0.19399
rts,1680,20,10,2.4,1.55,0.60831,1.30042,0.23365
rts,1680,20,10,2.4,1.7,0.60939,1.28189,0.30439
rts,1680,20,10,2.4,1.85,0.59307,1.26727,0.34823
rts,1680,20,10,2.4,2.0,0.5882,1.25253,0.40597
rts,1680,50,10,1.0,1.02,0.73953,0.08903,0.00076
rts,1680,50,10,1.0,1.05,0.73945,0.07926,0.00184
rts,1680,50,10,1.0,1.1,0.73911,0.063,0.00333
rts,1680,50,10,1.0,1.15,0.73802,0.05073,0.00499
rts,1680,50,10,1.0,1.2,0.73865,0.04202,0.00536
rts,1680,50,10,1.0,1.3,0.73801,0.03342,0.00405
rts,1680,50,10,1.0,1.4,0.73753,0.03102,0.00324
rts,1680,50,10,1.0,1.55,0.73854,0.02876,0.00287
rts,1680,50,10,1.0,1.7,0.73809,0.02784,0.00273
rts,1680,50,10,1.0,1.85,0.73752,0.026,0.00247
rts,1680,50,10,1.0,2.0,0.73719,0.02509,0.00245
rts,1680,50,10,1.2,1.02,0.70087,0.83033,0.00261
rts,1680,50,10,1.2,1.05,0.71429,0.8164,0.00555
rts,1680,50,10,1.2,1.1,0.72604,0.79527,0.00967
rts,1680,50,10,1.2,1.15,0.73282,0.76268,0.01323
rts,1680,50,10,1.2,1.2,0.73643,0.7232,0.01687
rts,1680,50,10,1.2,1.3,0.74074,0.65883,0.02362
rts,1680,50,10,1.2,1.4,0.74255,0.59379,0.02971
rts,1680,50,10,1.2,1.55,0.74427,0.4951,0.03949
rts,1680,50,10,1.2,1.7,0.74312,0.42238,0.0495
rts,1680,50,10,1.2,1.85,0.74277,0.34245,0.05741
rts,1680,50,10,1.2,2.0,0.74187,0.27629,0.06589
rts,1680,50,10,1.4,1.02,0.59648,0.95703,0.00614
rts,1680,50,10,1.4,1.05,0.63711,0.9619,0.01143
rts,1680,50,10,1.4,1.1,0.67197,0.95891,0.01758
rts,1680,50,10,1.4,1.15,0.69329,0.94727,0.02241
rts,1680,50,10,1.4,1.2,0.70382,0.92908,0.02728
rts,1680,50,10,1.4,1.3,0.71606,0.9061,0.03619
rts,1680,50,10,1.4,1.4,0.72351,0.87217,0.0452
rts,1680,50,10,1.4,1.55,0.73017,0.82406,0.05798
rts,1680,50,10,1.4,1.7,0.73419,0.77374,0.07097
rts,1680,50,10,1.4,1.85,0.73676,0.72929,0.0845
rts,1680,50,10,1.4,2.0,0.73761,0.68129,0.09945
rts,1680,50,10,1.6,1.02,0.51334,0.99458,0.00961
rts,1680,50,10,1.6,1.05,0.57833,1.0136,0.01666
rts,1680,50,10,1.6,1.1,0.63271,1.01437,0.0239
rts,1680,50,10,1.6,1.15,0.65846,1.01346,0.03068
rts,1680,50,10,1.6,1.2,0.67571,1.00427,0.03605
rts,1680,50,10,1.6,1.3,0.69425,0.98814,0.04693
rts,1680,50,10,1.6,1.4,0.70548,0.96483,0.05756
rts,1680,50,10,1.6,1.55,0.71393,0.93657,0.07334
rts,1680,50,10,1.6,1.7,0.71962,0.90458,0.08886
rts,1680,50,10,1.6,1.85,0.72377,0.87069,0.10716
rts,1680,50,10,1.6,2.0,0.7256,0.83896,0.12456
rts,1680,50,10,1.8,1.02,0.46457,1.01851,0.01228
rts,1680,50,10,1.8,1.05,0.53533,1.03893,0.02112
rts,1680,50,10,1.8,1.1,0.59522,1.04401,0.03057
rts,1680,50,10,1.8,1.15,0.6282,1.04648,0.03775
rts,1680,50,10,1.8,1.2,0.64812,1.04139,0.04438
rts,1680,50,10,1.8,1.3,0.67162,1.03064,0.05681
rts,1680,50,10,1.8,1.4,0.68603,1.01542,0.06932
rts,1680,50,10,1.8,1.55,0.69816,0.99509,0.08702
rts,1680,50,10,1.8,1.7,0.70572,0.96876,0.10761
rts,1680,50,10,1.8,1.85,0.71143,0.94584,0.12474
rts,1680,50,10,1.8,2.0,0.71102,0.92244,0.14945
rts,1680,50,10,2.0,1.02,0.42114,1.03006,0.01478
rts,1680,50,10,2.0,1.05,0.50482,1.04875,0.02486
rts,1680,50,10,2.0,1.1,0.56807,1.06125,0.03592
rts,1680,50,10,2.0,1.15,0.60332,1.06574,0.04435
rts,1680,50,10,2.0,1.2,0.62685,1.06338,0.05175
rts,1680,50,10,2.0,1.3,0.65333,1.05336,0.0663
rts,1680,50,10,2.0,1.4,0.66875,1.04371,0.07984
rts,1680,50,10,2.0,1.55,0.68295,1.02893,0.10019
rts,1680,50,10,2.0,1.7,0.69291,1.01293,0.12181
rts,1680,50,10,2.0,1.85,0.69563,0.99029,0.14827
rts,1680,50,10,2.0,2.0,0.69907,0.96862,0.16836
rts,1680,50,10,2.4,1.02,0.36627,1.03875,0.01938
rts,1680,50,10,2.4,1.05,0.45228,1.06686,0.03216
rts,1680,50,10,2.4,1.1,0.52676,1.08031,0.04582
rts,1680,50,10,2.4,1.15,0.56469,1.08522,0.05668
rts,1680,50,10,2.4,1.2,0.58837,1.08535,0.06747
rts,1680,50,10,2.4,1.3,0.62276,1.08225,0.08348
rts,1680,50,10,2.4,1.4,0.64215,1.07606,0.10233
rts,1680,50,10,2.4,1.55,0.65765,1.06921,0.12652
rts,1680,50,10,2.4,1.7,0.66533,1.05439,0.16219
rts,1680,50,10,2.4,1.85,0.66893,1.04279,0.19931
rts,1680,50,10,2.4,2.0,0.67172,1.02751,0.22778
