method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
consec_L4,homo,5,20,789,1000,0.921,0.961,0.885,1.108,0.1288166666666666,0.08385797750720182,0.06833333333333332
dcf_self_excl,homo,5,20,789,1000,0.92,0.961,0.883,1.01,0.14663333333333337,0.0,0.0
oracle,homo,5,20,1234,1000,0.955,0.96,0.918,0.813,0.16949999999999998,0.0,0.0
mfg_no_excl,homo,5,20,1234,1000,0.956,0.96,0.919,0.75,0.17288333333333347,0.0,0.0
self_excl_only,homo,5,20,1234,1000,0.956,0.96,0.917,0.749,0.17250000000000013,0.0,0.0
ema_fixed_low,homo,5,20,1234,1000,0.913,0.96,0.879,1.09,0.12586666666666665,0.0829343279006152,0.5115833333333341
ema_fixed_high,homo,5,20,1234,1000,0.944,0.96,0.909,0.951,0.13643333333333335,0.08287331658306482,1.4352000000000014
ema_adaptive,homo,5,20,1234,1000,0.922,0.96,0.884,1.086,0.12233333333333339,0.08329897580826949,0.4315833333333337
ema_ad_low,homo,5,20,1234,1000,0.949,0.96,0.911,0.842,0.15828333333333341,0.06802795042843761,0.28849999999999987
ema_ad_med,homo,5,20,1234,1000,0.933,0.96,0.898,0.997,0.15,0.07200475984370311,0.3650833333333335
ema_no_coll,homo,5,20,1234,1000,0.946,0.96,0.908,0.802,0.16905000000000014,0.06601763302349281,0.3078333333333334
consec_L2,homo,5,20,1234,1000,0.917,0.96,0.879,1.099,0.13571666666666668,0.08292280247805837,0.44891666666666696
consec_L4,homo,5,20,1234,1000,0.919,0.96,0.886,1.102,0.12918333333333346,0.08347470795491668,0.05550000000000001
dcf_self_excl,homo,5,20,1234,1000,0.92,0.96,0.882,1.0,0.14783333333333332,0.0,0.0
oracle,homo,5,50,42,1000,2.737,2.723,1.0383333333333302,2.074,0.2266781529744763,0.0,0.0
mfg_no_excl,homo,5,50,42,1000,2.734,2.723,1.0374999999999968,1.978,0.22429644987365563,0.0,0.0
self_excl_only,homo,5,50,42,1000,2.748,2.723,1.0426666666666642,1.974,0.2402954528314819,0.0,0.0
ema_fixed_low,homo,5,50,42,1000,2.542,2.723,0.9646666666666622,4.008,0.10562865095860485,0.1369109546578307,0.9992282777078435
ema_fixed_high,homo,5,50,42,1000,2.562,2.723,0.971499999999996,3.598,0.12447105038923946,0.1309106170250156,1.6441933040514687
ema_adaptive,homo,5,50,42,1000,2.526,2.723,0.9584999999999958,4.183,0.10169467202474204,0.1364504246818763,1.0310542333956036
ema_ad_low,homo,5,50,42,1000,2.676,2.723,1.0156666666666634,2.866,0.14549787595445507,0.11328952075084499,0.5340909745225534
ema_ad_med,homo,5,50,42,1000,2.607,2.723,0.9899999999999953,3.263,0.13260458495752642,0.12247777313402179,0.7053013576292986
ema_no_coll,homo,5,50,42,1000,2.69,2.723,1.0233333333333299,2.699,0.16715793356969816,0.10638287835107077,0.4872157395708867
consec_L2,homo,5,50,42,1000,2.565,2.723,0.972999999999995,3.8,0.1208129368997019,0.1317576383859291,0.8175293142315203
consec_L4,homo,5,50,42,1000,2.531,2.723,0.9601666666666626,4.078,0.10262345687937814,0.14081120569819178,0.2423954900233927
dcf_self_excl,homo,5,50,42,1000,2.416,2.723,0.9156666666666616,4.449,0.17004113173548172,0.0,0.0
oracle,homo,5,50,123,1000,2.743,2.738,1.0331666666666643,1.955,0.23200049117549085,0.0,0.0
mfg_no_excl,homo,5,50,123,1000,2.732,2.738,1.0304999999999962,2.033,0.2351012102276806,0.0,0.0
self_excl_only,homo,5,50,123,1000,2.699,2.738,1.0159999999999967,2.126,0.2374472938825878,0.0,0.0
ema_fixed_low,homo,5,50,123,1000,2.514,2.738,0.9484999999999955,4.249,0.10876495191255287,0.13830158293284728,1.0387860421913817
ema_fixed_high,homo,5,50,123,1000,2.553,2.738,0.9628333333333292,3.644,0.12546446727936686,0.13078786933651904,1.6886956091079541
ema_adaptive,homo,5,50,123,1000,2.516,2.738,0.946666666666662,4.06,0.10807091441410355,0.13735676387253948,0.987939418734001
ema_ad_low,homo,5,50,123,1000,2.648,2.738,0.9983333333333297,3.006,0.14865449656552593,0.11209191698833491,0.6104391822230059
