access,w_eff,n_vis,n_nat,eps_i,r,eps_c,tau_settled,conv_visits,T,rho,tau_nat
basic,210,5,10,0.008,3.0,0.024,0.037181,100,0.71561,1.09303,0.0337
basic,210,5,10,0.008,5.0,0.04,0.022046,100,0.72686,0.78464,0.03347
basic,210,5,10,0.008,8.0,0.064,0.005322,100,0.74182,0.25391,0.03797
basic,210,5,10,0.01652,0.5,0.00826,0.219507,100,0.52477,2.33761,0.02274
basic,210,5,10,0.01652,1.0,0.01652,0.173178,100,0.58199,2.32013,0.0232
basic,210,5,10,0.01652,1.5,0.02477,0.152588,100,0.58296,2.19684,0.02412
basic,210,5,10,0.01652,2.0,0.03303,0.126326,100,0.60806,2.13413,0.02434
basic,210,5,10,0.01652,3.0,0.04955,0.099546,100,0.66552,1.96156,0.027
basic,210,5,10,0.01652,5.0,0.08258,0.057126,100,0.71401,1.45596,0.03023
basic,210,5,10,0.01652,8.0,0.13213,0.008314,100,0.74464,0.47007,0.03697
basic,210,5,10,0.0341,0.5,0.01705,0.322767,100,0.36818,2.43108,0.01949
basic,210,5,10,0.0341,1.0,0.0341,0.24563,52,0.47075,2.44033,0.02223
basic,210,5,10,0.0341,1.5,0.05114,0.215478,96,0.50332,2.41113,0.022
basic,210,5,10,0.0341,2.0,0.06819,0.185156,86,0.56956,2.36862,0.02188
basic,210,5,10,0.0341,3.0,0.10229,0.146134,82,0.59823,2.25888,0.02418
basic,210,5,10,0.0341,5.0,0.17048,0.095757,100,0.65998,1.99791,0.02512
basic,210,5,10,0.0341,8.0,0.27277,0.015065,99,0.72521,0.48902,0.03771
basic,210,5,10,0.07039,0.5,0.03519,0.333358,40,0.34785,2.36949,0.02095
basic,210,5,10,0.07039,1.0,0.07039,0.252541,97,0.47627,2.4538,0.02178
basic,210,5,10,0.07039,1.5,0.10558,0.238966,100,0.50744,2.44687,0.02141
basic,210,5,10,0.07039,2.0,0.14078,0.195225,97,0.5354,2.35503,0.0228
basic,210,5,10,0.07039,3.0,0.21117,0.15218,92,0.58046,2.29145,0.02239
basic,210,5,10,0.07039,5.0,0.35195,0.109671,98,0.62951,2.09074,0.02452
basic,210,5,10,0.07039,8.0,0.56312,0.026642,100,0.70232,0.9136,0.03478
basic,210,5,10,0.14532,0.5,0.07266,0.386678,100,0.30296,2.36414,0.0211
basic,210,5,10,0.14532,1.0,0.14532,0.265113,100,0.44183,2.44177,0.02163
basic,210,5,10,0.14532,1.5,0.21797,0.262187,99,0.42551,2.39434,0.02162
basic,210,5,10,0.14532,2.0,0.29063,0.222061,96,0.47919,2.42537,0.02231
basic,210,5,10,0.14532,3.0,0.43595,0.19984,98,0.47751,2.17287,0.02314
basic,210,5,10,0.14532,5.0,0.72658,0.163366,100,0.53202,2.12202,0.02365
basic,210,5,10,0.14532,8.0,1.16253,0.256452,100,0.40923,1.5641,0.02738
basic,210,5,10,0.3,0.5,0.15,0.763437,100,0.17285,2.05861,0.02212
basic,210,5,10,0.3,1.0,0.3,0.606389,100,0.20502,2.12815,0.02146
basic,210,5,10,0.3,1.5,0.45,0.972625,45,0.08295,1.07161,0.02133
basic,210,5,10,0.3,2.0,0.6,0.924831,59,0.09845,1.28779,0.02193
basic,210,5,10,0.3,3.0,0.9,1.0,42,0.08662,1.0613,0.02269
basic,210,5,10,0.3,5.0,1.5,1.0,35,0.07475,0.93024,0.02306
basic,210,5,10,0.3,8.0,2.4,0.964486,59,0.07957,0.95736,0.02152
basic,210,5,20,0.008,0.5,0.004,0.061559,100,0.63442,2.2987,0.01964
basic,210,5,20,0.008,1.0,0.008,0.050282,100,0.64526,1.97557,0.01971
basic,210,5,20,0.008,1.5,0.012,0.036292,100,0.65048,1.6465,0.02122
basic,210,5,20,0.008,2.0,0.016,0.027989,100,0.6706,1.41399,0.02161
basic,210,5,20,0.008,3.0,0.024,0.014319,100,0.66754,0.63524,0.02341
basic,210,5,20,0.008,5.0,0.04,0.003462,100,0.68201,0.18258,0.02468
basic,210,5,20,0.008,8.0,0.064,0.000606,100,0.67944,0.02278,0.02363
basic,210,5,20,0.01652,0.5,0.00826,0.159146,100,0.56102,3.63695,0.01539
basic,210,5,20,0.01652,1.0,0.01652,0.14326,100,0.56427,3.60071,0.01558
basic,210,5,20,0.01652,1.5,0.02477,0.111392,100,0.62208,3.25117,0.01702
basic,210,5,20,0.01652,2.0,0.03303,0.084695,100,0.63445,2.74008,0.01821
basic,210,5,20,0.01652,3.0,0.04955,0.045472,100,0.65995,1.71252,0.02122
basic,210,5,20,0.01652,5.0,0.08258,0.0052,100,0.68883,0.30348,0.02328
basic,210,5,20,0.01652,8.0,0.13213,0.000121,100,0.6845,0.0073,0.02382
basic,210,5,20,0.0341,0.5,0.01705,0.289898,100,0.42168,4.08444,0.01276
basic,210,5,20,0.0341,1.0,0.0341,0.227394,94,0.50279,4.05148,0.0135
basic,210,5,20,0.0341,1.5,0.05114,0.20196,87,0.50724,3.90959,0.01381
basic,210,5,20,0.0341,2.0,0.06819,0.158549,91,0.57867,3.73169,0.01436
basic,210,5,20,0.0341,3.0,0.10229,0.084127,100,0.62187,2.81467,0.01798
basic,210,5,20,0.0341,5.0,0.17048,0.003182,100,0.67101,0.41293,0.02308
basic,210,5,20,0.0341,8.0,0.27277,0.000148,100,0.69826,0.00716,0.02348
basic,210,5,20,0.07039,0.5,0.03519,0.352279,96,0.33426,4.14542,0.01265
basic,210,5,20,0.07039,1.0,0.07039,0.274097,87,0.42811,4.01671,0.01283
basic,210,5,20,0.07039,1.5,0.10558,0.204837,100,0.48486,3.93378,0.01426
basic,210,5,20,0.07039,2.0,0.14078,0.158957,99,0.54208,3.73987,0.01474
basic,210,5,20,0.07039,3.0,0.21117,0.133583,100,0.59621,3.56096,0.01525
basic,210,5,20,0.07039,5.0,0.35195,0.010321,100,0.67489,0.53774,0.02267
basic,210,5,20,0.07039,8.0,0.56312,0.00024,100,0.69942,0.01243,0.02348
basic,210,5,20,0.14532,0.5,0.07266,0.362519,100,0.30723,3.99407,0.01266
basic,210,5,20,0.14532,1.0,0.14532,0.296874,99,0.38237,4.0954,0.0127
basic,210,5,20,0.14532,1.5,0.21797,0.244465,100,0.45781,3.97441,0.01353
basic,210,5,20,0.14532,2.0,0.29063,0.18061,99,0.5053,3.82071,0.01479
basic,210,5,20,0.14532,3.0,0.43595,0.139494,100,0.54014,3.47373,0.01552
basic,210,5,20,0.14532,5.0,0.72658,0.053156,100,0.58348,1.70183,0.01995
basic,210,5,20,0.14532,8.0,1.16253,0.000523,100,0.68824,0.10292,0.02305
basic,210,5,20,0.3,0.5,0.15,0.440979,100,0.23896,3.8776,0.01331
basic,210,5,20,0.3,1.0,0.3,0.652068,100,0.20712,3.66479,0.01331
basic,210,5,20,0.3,1.5,0.45,0.985077,53,0.10845,2.62843,0.01289
basic,210,5,20,0.3,2.0,0.6,1.0,46,0.11949,2.79317,0.013
basic,210,5,20,0.3,3.0,0.9,0.891823,100,0.09095,2.45223,0.01292
basic,210,5,20,0.3,5.0,1.5,0.830259,100,0.11561,2.78808,0.01233
basic,210,5,20,0.3,8.0,2.4,0.514394,100,0.2878,0.98159,0.01797
basic,210,20,5,0.008,0.5,0.004,0.040708,100,0.58631,0.95779,0.03452
basic,210,20,5,0.008,1.0,0.008,0.037878,100,0.60958,0.94041,0.03637
basic,210,20,5,0.008,1.5,0.012,0.031697,100,0.63062,0.88384,0.03952
basic,210,20,5,0.008,2.0,0.016,0.030234,100,0.65333,0.91128,0.0362
basic,210,20,5,0.008,3.0,0.024,0.026439,100,0.67215,0.87866,0.03708
basic,210,20,5,0.008,5.0,0.04,0.018189,100,0.7053,0.74513,0.04258
basic,210,20,5,0.008,8.0,0.064,0.011575,86,0.7272,0.61118,0.04724
basic,210,20,5,0.01652,0.5,0.00826,0.06558,100,0.45145,1.01742,0.03107
basic,210,20,5,0.01652,1.0,0.01652,0.057762,56,0.51932,1.03827,0.03132
basic,210,20,5,0.01652,1.5,0.02477,0.048317,53,0.56163,1.0064,0.03293
basic,210,20,5,0.01652,2.0,0.03303,0.041864,53,0.58195,0.94949,0.03638
basic,210,20,5,0.01652,3.0,0.04955,0.030742,80,0.63332,0.9174,0.03672
basic,210,20,5,0.01652,5.0,0.08258,0.022285,41,0.68781,0.82294,0.04219
basic,210,20,5,0.01652,8.0,0.13213,0.012837,95,0.742,0.62735,0.04748
basic,210,20,5,0.0341,0.5,0.01705,0.081222,45,0.37677,1.04119,0.03082
basic,210,20,5,0.0341,1.0,0.0341,0.059888,53,0.47811,1.03555,0.03146
basic,210,20,5,0.0341,1.5,0.05114,0.049958,39,0.54033,1.0012,0.03459
basic,210,20,5,0.0341,2.0,0.06819,0.043177,96,0.56857,0.99019,0.03293
basic,210,20,5,0.0341,3.0,0.10229,0.032735,100,0.61915,0.93373,0.03585
basic,210,20,5,0.0341,5.0,0.17048,0.023363,96,0.69487,0.7992,0.04425
basic,210,20,5,0.0341,8.0,0.27277,0.014711,100,0.73061,0.6789,0.04432
basic,210,20,5,0.07039,0.5,0.03519,0.081077,95,0.38893,1.03157,0.03136
basic,210,20,5,0.07039,1.0,0.07039,0.062826,91,0.47163,1.05151,0.03212
basic,210,20,5,0.07039,1.5,0.10558,0.051025,96,0.52802,1.00515,0.03299
basic,210,20,5,0.07039,2.0,0.14078,0.043535,97,0.53602,0.95281,0.03639
basic,210,20,5,0.07039,3.0,0.21117,0.03214,99,0.61727,0.91134,0.03701
basic,210,20,5,0.07039,5.0,0.35195,0.025892,96,0.65898,0.83099,0.03952
basic,210,20,5,0.07039,8.0,0.56312,0.015138,98,0.71427,0.63924,0.04639
basic,210,20,5,0.14532,0.5,0.07266,0.087001,88,0.35062,1.02302,0.03152
basic,210,20,5,0.14532,1.0,0.14532,0.062163,97,0.4677,1.04621,0.0304
basic,210,20,5,0.14532,1.5,0.21797,0.049841,100,0.52081,0.98696,0.03517
basic,210,20,5,0.14532,2.0,0.29063,0.043611,100,0.52376,0.97566,0.03443
basic,210,20,5,0.14532,3.0,0.43595,0.034179,100,0.5937,0.9488,0.03486
basic,210,20,5,0.14532,5.0,0.72658,0.023978,99,0.65844,0.84414,0.0368
basic,210,20,5,0.14532,8.0,1.16253,0.015661,98,0.68012,0.65876,0.04696
basic,210,20,5,0.3,0.5,0.15,0.090831,100,0.31324,1.03874,0.0309
basic,210,20,5,0.3,1.0,0.3,0.071698,97,0.38539,1.03659,0.03105
basic,210,20,5,0.3,1.5,0.45,0.06481,100,0.38654,0.9953,0.03442
basic,210,20,5,0.3,2.0,0.6,0.043952,100,0.53135,1.01844,0.03385
basic,210,20,5,0.3,3.0,0.9,0.039397,100,0.51507,0.92058,0.0372
basic,210,20,5,0.3,5.0,1.5,0.524706,100,0.14263,0.59334,0.03841
basic,210,20,5,0.3,8.0,2.4,0.57887,100,0.08856,0.48847,0.03645
basic,210,20,10,0.008,0.5,0.004,0.034651,100,0.61636,1.06015,0.02466
basic,210,20,10,0.008,1.0,0.008,0.029728,100,0.61004,1.02816,0.02519
basic,210,20,10,0.008,1.5,0.012,0.02527,100,0.6287,0.99201,0.02531
basic,210,20,10,0.008,2.0,0.016,0.022176,100,0.65951,0.90993,0.02783
basic,210,20,10,0.008,3.0,0.024,0.017023,100,0.66724,0.79394,0.02918
basic,210,20,10,0.008,5.0,0.04,0.01072,100,0.69848,0.58444,0.03328
basic,210,20,10,0.008,8.0,0.064,0.004254,100,0.72727,0.28954,0.03559
basic,210,20,10,0.01652,0.5,0.00826,0.061315,100,0.45383,1.20576,0.02006
basic,210,20,10,0.01652,1.0,0.01652,0.050112,100,0.51008,1.16994,0.0229
basic,210,20,10,0.01652,1.5,0.02477,0.039654,100,0.57288,1.12608,0.02367
basic,210,20,10,0.01652,2.0,0.03303,0.034659,100,0.61951,1.06832,0.02467
basic,210,20,10,0.01652,3.0,0.04955,0.025194,94,0.62218,0.9992,0.02635
basic,210,20,10,0.01652,5.0,0.08258,0.014046,100,0.6989,0.71012,0.03102
basic,210,20,10,0.01652,8.0,0.13213,0.003638,100,0.7428,0.30894,0.03515
basic,210,20,10,0.0341,0.5,0.01705,0.077719,52,0.39877,1.22653,0.02034
basic,210,20,10,0.0341,1.0,0.0341,0.05739,43,0.4716,1.19825,0.02124
basic,210,20,10,0.0341,1.5,0.05114,0.045678,74,0.57039,1.15669,0.02306
basic,210,20,10,0.0341,2.0,0.06819,0.037698,94,0.54826,1.09554,0.02481
basic,210,20,10,0.0341,3.0,0.10229,0.029396,85,0.61536,1.04156,0.02434
basic,210,20,10,0.0341,5.0,0.17048,0.016646,95,0.66845,0.85841,0.02733
basic,210,20,10,0.0341,8.0,0.27277,0.004032,98,0.73792,0.27965,0.03718
basic,210,20,10,0.07039,0.5,0.03519,0.080698,28,0.38357,1.24558,0.02022
basic,210,20,10,0.07039,1.0,0.07039,0.056011,95,0.4764,1.18679,0.02188
basic,210,20,10,0.07039,1.5,0.10558,0.046157,90,0.52818,1.16641,0.02195
basic,210,20,10,0.07039,2.0,0.14078,0.03839,98,0.55364,1.11673,0.02263
basic,210,20,10,0.07039,3.0,0.21117,0.026437,100,0.60795,0.98507,0.02582
basic,210,20,10,0.07039,5.0,0.35195,0.019195,99,0.67677,0.87331,0.027
basic,210,20,10,0.07039,8.0,0.56312,0.003853,99,0.72668,0.36047,0.0363
basic,210,20,10,0.14532,0.5,0.07266,0.082925,92,0.35235,1.16976,0.02241
basic,210,20,10,0.14532,1.0,0.14532,0.060398,98,0.44552,1.17939,0.02195
basic,210,20,10,0.14532,1.5,0.21797,0.0462,100,0.51808,1.15822,0.02226
basic,210,20,10,0.14532,2.0,0.29063,0.040239,100,0.5325,1.10895,0.02272
basic,210,20,10,0.14532,3.0,0.43595,0.030427,100,0.60502,1.04276,0.02515
basic,210,20,10,0.14532,5.0,0.72658,0.017242,100,0.64088,0.79798,0.02871
basic,210,20,10,0.14532,8.0,1.16253,0.004753,100,0.69774,0.34909,0.03618
basic,210,20,10,0.3,0.5,0.15,0.091659,97,0.32643,1.24672,0.02156
basic,210,20,10,0.3,1.0,0.3,0.062259,100,0.42246,1.20724,0.02108
basic,210,20,10,0.3,1.5,0.45,0.049018,100,0.46515,1.15161,0.02174
basic,210,20,10,0.3,2.0,0.6,0.04979,100,0.42975,1.09698,0.02318
basic,210,20,10,0.3,3.0,0.9,0.031876,100,0.52046,1.02299,0.0235
basic,210,20,10,0.3,5.0,1.5,0.479424,100,0.14127,0.69761,0.02349
basic,210,20,10,0.3,8.0,2.4,0.549232,100,0.11068,0.56986,0.02425
basic,210,20,20,0.008,0.5,0.004,0.029433,100,0.57317,1.27541,0.01636
basic,210,20,20,0.008,1.0,0.008,0.022883,100,0.61779,1.13362,0.01813
basic,210,20,20,0.008,1.5,0.012,0.018775,100,0.63375,1.0262,0.01914
basic,210,20,20,0.008,2.0,0.016,0.015856,100,0.62782,0.96888,0.01869
basic,210,20,20,0.008,3.0,0.024,0.009868,100,0.6503,0.69474,0.02085
basic,210,20,20,0.008,5.0,0.04,0.004206,100,0.67387,0.33675,0.02244
basic,210,20,20,0.008,8.0,0.064,0.000575,100,0.66055,0.0346,0.02502
basic,210,20,20,0.01652,0.5,0.00826,0.052824,100,0.49169,1.53203,0.01429
basic,210,20,20,0.01652,1.0,0.01652,0.042038,100,0.5463,1.46436,0.0151
basic,210,20,20,0.01652,1.5,0.02477,0.031736,100,0.58171,1.37725,0.01561
basic,210,20,20,0.01652,2.0,0.03303,0.025748,100,0.59685,1.22585,0.01709
basic,210,20,20,0.01652,3.0,0.04955,0.015722,100,0.6553,0.9534,0.01933
basic,210,20,20,0.01652,5.0,0.08258,0.003639,100,0.67689,0.28513,0.02396
basic,210,20,20,0.01652,8.0,0.13213,0.000118,99,0.67505,0.00931,0.02454
basic,210,20,20,0.0341,0.5,0.01705,0.071618,96,0.4059,1.58124,0.01329
basic,210,20,20,0.0341,1.0,0.0341,0.052287,100,0.49943,1.55325,0.01386
basic,210,20,20,0.0341,1.5,0.05114,0.044355,88,0.54137,1.51428,0.01489
basic,210,20,20,0.0341,2.0,0.06819,0.031287,99,0.57362,1.31774,0.01627
basic,210,20,20,0.0341,3.0,0.10229,0.023406,97,0.63395,1.22504,0.0164
basic,210,20,20,0.0341,5.0,0.17048,0.002122,100,0.67282,0.27436,0.02323
basic,210,20,20,0.0341,8.0,0.27277,0.000131,99,0.69579,0.02019,0.02354
basic,210,20,20,0.07039,0.5,0.03519,0.08139,94,0.35276,1.63587,0.01273
basic,210,20,20,0.07039,1.0,0.07039,0.055291,100,0.47019,1.61723,0.01397
basic,210,20,20,0.07039,1.5,0.10558,0.040252,100,0.53757,1.4732,0.01513
basic,210,20,20,0.07039,2.0,0.14078,0.034401,100,0.56204,1.43543,0.01529
basic,210,20,20,0.07039,3.0,0.21117,0.022789,100,0.60958,1.17035,0.01773
basic,210,20,20,0.07039,5.0,0.35195,0.004669,100,0.66582,0.35792,0.02262
basic,210,20,20,0.07039,8.0,0.56312,0.000182,100,0.6943,0.025,0.02395
basic,210,20,20,0.14532,0.5,0.07266,0.08067,94,0.3618,1.61015,0.01326
basic,210,20,20,0.14532,1.0,0.14532,0.056042,98,0.46373,1.58031,0.0141
basic,210,20,20,0.14532,1.5,0.21797,0.042446,100,0.52667,1.4821,0.01509
basic,210,20,20,0.14532,2.0,0.29063,0.033151,99,0.53783,1.42091,0.01449
basic,210,20,20,0.14532,3.0,0.43595,0.02203,100,0.57607,1.14987,0.01726
basic,210,20,20,0.14532,5.0,0.72658,0.005753,100,0.66365,0.50883,0.0214
basic,210,20,20,0.14532,8.0,1.16253,0.000325,100,0.69375,0.05824,0.02349
basic,210,20,20,0.3,0.5,0.15,0.084875,100,0.34931,1.64304,0.01289
basic,210,20,20,0.3,1.0,0.3,0.059871,100,0.42175,1.6265,0.01313
basic,210,20,20,0.3,1.5,0.45,0.047264,99,0.46567,1.53538,0.01428
basic,210,20,20,0.3,2.0,0.6,0.038202,100,0.48582,1.38641,0.01523
basic,210,20,20,0.3,3.0,0.9,0.030428,100,0.50236,1.26352,0.01563
basic,210,20,20,0.3,5.0,1.5,0.046928,100,0.45205,0.90593,0.01783
basic,210,20,20,0.3,8.0,2.4,0.003098,100,0.50886,0.28224,0.02162
basic,210,50,5,0.008,0.5,0.004,0.020485,100,0.53786,0.87498,0.0348
basic,210,50,5,0.008,1.0,0.008,0.01759,100,0.56567,0.86269,0.03566
basic,210,50,5,0.008,1.5,0.012,0.01484,100,0.61346,0.83276,0.03499
basic,210,50,5,0.008,2.0,0.016,0.013848,97,0.62096,0.81488,0.03682
basic,210,50,5,0.008,3.0,0.024,0.011535,57,0.64517,0.79879,0.03711
basic,210,50,5,0.008,5.0,0.04,0.008228,50,0.726,0.66733,0.04511
basic,210,50,5,0.008,8.0,0.064,0.005565,47,0.7337,0.59286,0.044
basic,210,50,5,0.01652,0.5,0.00826,0.026892,96,0.45035,0.88415,0.03527
basic,210,50,5,0.01652,1.0,0.01652,0.02192,99,0.50673,0.89587,0.03255
basic,210,50,5,0.01652,1.5,0.02477,0.018632,94,0.56675,0.87174,0.03479
basic,210,50,5,0.01652,2.0,0.03303,0.016531,57,0.58863,0.83533,0.03417
basic,210,50,5,0.01652,3.0,0.04955,0.012584,87,0.63352,0.78684,0.03942
basic,210,50,5,0.01652,5.0,0.08258,0.008323,99,0.69952,0.686,0.04398
basic,210,50,5,0.01652,8.0,0.13213,0.004711,100,0.73031,0.5484,0.04821
basic,210,50,5,0.0341,0.5,0.01705,0.031721,43,0.39696,0.94228,0.02997
basic,210,50,5,0.0341,1.0,0.0341,0.025221,46,0.49988,0.88618,0.03394
basic,210,50,5,0.0341,1.5,0.05114,0.018831,100,0.5396,0.87389,0.03491
basic,210,50,5,0.0341,2.0,0.06819,0.017124,88,0.56918,0.8567,0.03624
basic,210,50,5,0.0341,3.0,0.10229,0.013354,87,0.61983,0.82283,0.03658
basic,210,50,5,0.0341,5.0,0.17048,0.008731,99,0.68262,0.71807,0.04074
basic,210,50,5,0.0341,8.0,0.27277,0.005052,98,0.72662,0.54312,0.04654
basic,210,50,5,0.07039,0.5,0.03519,0.032114,96,0.36706,0.89807,0.03294
basic,210,50,5,0.07039,1.0,0.07039,0.024112,99,0.46423,0.91551,0.0304
basic,210,50,5,0.07039,1.5,0.10558,0.020475,98,0.51464,0.88949,0.03033
basic,210,50,5,0.07039,2.0,0.14078,0.016426,100,0.57952,0.84522,0.03531
basic,210,50,5,0.07039,3.0,0.21117,0.013535,97,0.62581,0.79686,0.03636
basic,210,50,5,0.07039,5.0,0.35195,0.008572,100,0.6817,0.71068,0.03991
basic,210,50,5,0.07039,8.0,0.56312,0.004915,98,0.72479,0.55117,0.04601
basic,210,50,5,0.14532,0.5,0.07266,0.033865,100,0.37373,0.89162,0.0332
basic,210,50,5,0.14532,1.0,0.14532,0.024592,100,0.46399,0.8938,0.03284
basic,210,50,5,0.14532,1.5,0.21797,0.020127,98,0.53486,0.89032,0.03287
basic,210,50,5,0.14532,2.0,0.29063,0.017171,100,0.56599,0.83557,0.03506
basic,210,50,5,0.14532,3.0,0.43595,0.013573,100,0.60742,0.81715,0.03533
basic,210,50,5,0.14532,5.0,0.72658,0.008037,100,0.65813,0.68919,0.0423
basic,210,50,5,0.14532,8.0,1.16253,0.005743,99,0.69586,0.59628,0.04271
basic,210,50,5,0.3,0.5,0.15,0.035724,99,0.34354,0.92126,0.03116
basic,210,50,5,0.3,1.0,0.3,0.024828,99,0.4402,0.9136,0.0317
basic,210,50,5,0.3,1.5,0.45,0.02046,100,0.48785,0.87675,0.03322
basic,210,50,5,0.3,2.0,0.6,0.018053,98,0.53013,0.87383,0.03306
basic,210,50,5,0.3,3.0,0.9,0.014247,100,0.55502,0.84712,0.03187
basic,210,50,5,0.3,5.0,1.5,0.018398,100,0.42293,0.67905,0.03867
basic,210,50,5,0.3,8.0,2.4,0.396702,100,0.08705,0.42258,0.03704
basic,210,50,10,0.008,0.5,0.004,0.017411,100,0.5488,0.92157,0.02248
basic,210,50,10,0.008,1.0,0.008,0.014703,100,0.57138,0.88602,0.02454
basic,210,50,10,0.008,1.5,0.012,0.012712,100,0.61529,0.81969,0.02497
basic,210,50,10,0.008,2.0,0.016,0.011259,100,0.62955,0.80611,0.02504
basic,210,50,10,0.008,3.0,0.024,0.00885,100,0.67824,0.75951,0.02675
basic,210,50,10,0.008,5.0,0.04,0.005303,100,0.69435,0.55966,0.02986
basic,210,50,10,0.008,8.0,0.064,0.002333,55,0.71899,0.32134,0.03436
basic,210,50,10,0.01652,0.5,0.00826,0.025559,100,0.42237,0.95891,0.02067
basic,210,50,10,0.01652,1.0,0.01652,0.020298,100,0.51393,0.92425,0.02201
basic,210,50,10,0.01652,1.5,0.02477,0.015887,100,0.55473,0.90454,0.02261
basic,210,50,10,0.01652,2.0,0.03303,0.0137,53,0.60758,0.87029,0.0249
basic,210,50,10,0.01652,3.0,0.04955,0.010013,100,0.64544,0.80519,0.02529
basic,210,50,10,0.01652,5.0,0.08258,0.006206,100,0.69236,0.60437,0.03021
basic,210,50,10,0.01652,8.0,0.13213,0.0013,100,0.72718,0.19824,0.03666
basic,210,50,10,0.0341,0.5,0.01705,0.030767,61,0.39942,0.9761,0.02039
basic,210,50,10,0.0341,1.0,0.0341,0.02257,39,0.47074,0.96739,0.0213
basic,210,50,10,0.0341,1.5,0.05114,0.017686,61,0.5326,0.91227,0.02193
basic,210,50,10,0.0341,2.0,0.06819,0.014008,81,0.58798,0.86784,0.0251
basic,210,50,10,0.0341,3.0,0.10229,0.010057,100,0.64094,0.78182,0.026
basic,210,50,10,0.0341,5.0,0.17048,0.005712,99,0.67167,0.58003,0.02995
basic,210,50,10,0.0341,8.0,0.27277,0.001209,99,0.71248,0.20119,0.03718
basic,210,50,10,0.07039,0.5,0.03519,0.031772,100,0.39649,0.98699,0.02068
basic,210,50,10,0.07039,1.0,0.07039,0.022181,79,0.4698,0.93946,0.02292
basic,210,50,10,0.07039,1.5,0.10558,0.017078,99,0.54336,0.91116,0.02293
basic,210,50,10,0.07039,2.0,0.14078,0.014551,96,0.57177,0.8764,0.02386
basic,210,50,10,0.07039,3.0,0.21117,0.011125,100,0.6319,0.85103,0.02504
basic,210,50,10,0.07039,5.0,0.35195,0.006047,100,0.66814,0.59788,0.02998
basic,210,50,10,0.07039,8.0,0.56312,0.001964,100,0.69981,0.28183,0.03549
basic,210,50,10,0.14532,0.5,0.07266,0.032696,99,0.35818,0.98738,0.02044
basic,210,50,10,0.14532,1.0,0.14532,0.023087,100,0.45474,0.96753,0.0212
basic,210,50,10,0.14532,1.5,0.21797,0.017524,99,0.5218,0.91105,0.02207
basic,210,50,10,0.14532,2.0,0.29063,0.014922,99,0.57606,0.90784,0.02297
basic,210,50,10,0.14532,3.0,0.43595,0.009941,100,0.61015,0.7787,0.02736
basic,210,50,10,0.14532,5.0,0.72658,0.006588,100,0.65896,0.64456,0.02825
basic,210,50,10,0.14532,8.0,1.16253,0.001443,100,0.6252,0.23023,0.03643
basic,210,50,10,0.3,0.5,0.15,0.035899,100,0.32433,1.00175,0.0201
basic,210,50,10,0.3,1.0,0.3,0.022507,97,0.4351,0.96166,0.02132
basic,210,50,10,0.3,1.5,0.45,0.017708,100,0.49035,0.92186,0.02256
basic,210,50,10,0.3,2.0,0.6,0.01423,99,0.52817,0.87816,0.02404
basic,210,50,10,0.3,3.0,0.9,0.010554,100,0.57394,0.79421,0.025
basic,210,50,10,0.3,5.0,1.5,0.042645,100,0.4142,0.62502,0.02643
basic,210,50,10,0.3,8.0,2.4,0.216427,100,0.16635,0.45388,0.02472
basic,210,50,20,0.008,0.5,0.004,0.015921,100,0.53079,1.06349,0.01478
basic,210,50,20,0.008,1.0,0.008,0.013274,100,0.57906,0.93787,0.01658
basic,210,50,20,0.008,1.5,0.012,0.011126,100,0.59389,0.85419,0.01664
basic,210,50,20,0.008,2.0,0.016,0.009354,100,0.5947,0.85651,0.01671
basic,210,50,20,0.008,3.0,0.024,0.006281,100,0.62686,0.62922,0.01925
basic,210,50,20,0.008,5.0,0.04,0.002509,29,0.65125,0.37218,0.02091
basic,210,50,20,0.008,8.0,0.064,0.000646,100,0.68832,0.13545,0.02293
basic,210,50,20,0.01652,0.5,0.00826,0.023471,100,0.44067,1.0767,0.01416
basic,210,50,20,0.01652,1.0,0.01652,0.017886,100,0.50181,1.04296,0.01475
basic,210,50,20,0.01652,1.5,0.02477,0.014283,100,0.57352,0.97447,0.01578
basic,210,50,20,0.01652,2.0,0.03303,0.011623,100,0.5998,0.89388,0.01635
basic,210,50,20,0.01652,3.0,0.04955,0.00716,100,0.61813,0.74448,0.01808
basic,210,50,20,0.01652,5.0,0.08258,0.002079,88,0.66104,0.33001,0.02214
basic,210,50,20,0.01652,8.0,0.13213,0.000119,71,0.67937,0.01828,0.02366
basic,210,50,20,0.0341,0.5,0.01705,0.029957,52,0.37708,1.11425,0.01335
basic,210,50,20,0.0341,1.0,0.0341,0.020882,74,0.49493,1.10646,0.01377
basic,210,50,20,0.0341,1.5,0.05114,0.016658,100,0.5202,1.04741,0.0145
basic,210,50,20,0.0341,2.0,0.06819,0.012664,84,0.56262,0.96285,0.01568
basic,210,50,20,0.0341,3.0,0.10229,0.007857,100,0.62531,0.78892,0.01762
basic,210,50,20,0.0341,5.0,0.17048,0.001172,99,0.66964,0.21375,0.02308
basic,210,50,20,0.0341,8.0,0.27277,0.000127,100,0.6883,0.03046,0.02363
basic,210,50,20,0.07039,0.5,0.03519,0.030567,100,0.39527,1.13331,0.01242
basic,210,50,20,0.07039,1.0,0.07039,0.021229,95,0.47112,1.08692,0.01442
basic,210,50,20,0.07039,1.5,0.10558,0.016639,93,0.52023,1.02487,0.01494
