access,w_eff,n_vis,n_nat,eps_i,r,tau_bar,tau_nat,T,rho,T_nv,rho_nv,T_ev,rho_ev
basic,420,20,5,0.034,2.0,0.041293,0.02624,0.57198,1.07974,0.49655,0.99625,0.54351,0.99566
basic,420,20,5,0.034,5.0,0.023399,0.03388,0.67659,0.92231,0.6199,0.85742,0.65062,0.83857
basic,420,20,5,0.07,3.0,0.03514,0.02835,0.60605,1.04565,0.53675,0.96064,0.57889,0.95471
basic,420,20,5,0.145,5.0,0.025662,0.03523,0.65196,0.92123,0.60323,0.88244,0.63639,0.86638
basic,420,20,10,0.017,1.0,0.055506,0.01549,0.49109,1.2995,0.33803,1.09222,0.38405,1.10527
basic,420,20,10,0.017,3.0,0.028898,0.02094,0.62732,1.14691,0.47932,0.86341,0.51026,0.84857
basic,420,20,10,0.034,2.0,0.040263,0.01839,0.56937,1.21938,0.41419,0.9849,0.45296,0.983
basic,420,20,10,0.034,5.0,0.019212,0.024,0.67691,0.97681,0.54097,0.70751,0.56339,0.68198
basic,420,20,10,0.07,3.0,0.032174,0.01911,0.6072,1.17927,0.45978,0.90361,0.49321,0.89259
basic,420,20,10,0.145,5.0,0.018591,0.02656,0.64981,0.86587,0.54512,0.69501,0.56694,0.6689
basic,420,20,20,0.017,1.0,0.051536,0.01046,0.48888,1.69782,0.23898,1.10644,0.26967,1.11751
basic,420,20,20,0.017,3.0,0.02222,0.01471,0.63059,1.35076,0.3544,0.68235,0.3722,0.66276
basic,420,20,20,0.034,2.0,0.035374,0.01316,0.57018,1.53599,0.29803,0.91049,0.3229,0.90297
basic,420,20,20,0.034,5.0,0.00594,0.02129,0.68263,0.52338,0.43608,0.23971,0.44165,0.22388
basic,420,20,20,0.07,3.0,0.025378,0.01417,0.62213,1.39017,0.34013,0.7448,0.35984,0.72753
basic,420,20,20,0.145,5.0,0.010922,0.01925,0.66024,0.8462,0.40955,0.4021,0.41932,0.38092
basic,420,50,5,0.017,1.0,0.022311,0.02325,0.47859,0.98743,0.40484,0.92259,0.46322,0.9097
basic,420,50,5,0.017,3.0,0.012616,0.02802,0.6271,0.90242,0.55899,0.81879,0.59757,0.79249
basic,420,50,5,0.034,2.0,0.016396,0.02769,0.57633,0.93441,0.49626,0.87077,0.54232,0.85065
basic,420,50,5,0.034,5.0,0.008556,0.03246,0.6771,0.80801,0.63291,0.72922,0.66127,0.69477
basic,420,50,5,0.07,3.0,0.012543,0.02901,0.60842,0.9009,0.56026,0.81756,0.59867,0.79113
basic,420,50,5,0.145,5.0,0.009251,0.03477,0.64827,0.7821,0.61978,0.74833,0.65006,0.71537
basic,420,50,10,0.017,1.0,0.02206,0.01676,0.48939,1.04005,0.33945,0.86389,0.38465,0.84488
basic,420,50,10,0.017,3.0,0.011326,0.0207,0.63224,0.90979,0.48177,0.67945,0.5121,0.64525
basic,420,50,10,0.034,2.0,0.015551,0.01797,0.57514,0.99455,0.42074,0.77141,0.45832,0.74332
basic,420,50,10,0.034,5.0,0.006776,0.02557,0.68061,0.73424,0.55549,0.52486,0.57566,0.48663
basic,420,50,10,0.07,3.0,0.011838,0.02034,0.61405,0.9176,0.47399,0.69261,0.50531,0.65911
basic,420,50,10,0.145,5.0,0.006511,0.02742,0.64757,0.65859,0.56006,0.51301,0.57956,0.47479
basic,420,50,20,0.017,1.0,0.020701,0.0106,0.49468,1.20248,0.23876,0.76487,0.26921,0.74076
basic,420,50,20,0.017,3.0,0.008698,0.01559,0.62569,0.86825,0.3564,0.46661,0.37387,0.43452
basic,420,50,20,0.034,2.0,0.013639,0.01258,0.57042,1.07461,0.30309,0.6169,0.32725,0.58584
basic,420,50,20,0.034,5.0,0.002865,0.02,0.65979,0.41801,0.42938,0.19691,0.43603,0.17721
basic,420,50,20,0.07,3.0,0.009604,0.01499,0.61728,0.93569,0.34607,0.49821,0.36493,0.46585
basic,420,50,20,0.145,5.0,0.003768,0.02,0.65091,0.47708,0.41731,0.24821,0.42586,0.22482
basic,1680,5,5,0.017,1.0,0.260344,0.0102,0.43979,1.93913,0.3624,1.7783,0.37951,1.80891
basic,1680,5,5,0.017,3.0,0.168254,0.01567,0.59308,1.86242,0.5042,1.64349,0.51679,1.66681
basic,1680,5,5,0.034,2.0,0.206089,0.01259,0.52528,1.91284,0.44421,1.7108,0.45852,1.73765
basic,1680,5,5,0.034,5.0,0.130469,0.01957,0.65444,1.79478,0.56731,1.54744,0.57771,1.56608
basic,1680,5,5,0.07,3.0,0.176379,0.01384,0.56683,1.8859,0.49104,1.65987,0.50404,1.68403
basic,1680,5,5,0.145,5.0,0.420103,0.01237,0.23218,1.82043,0.16781,1.88577,0.18355,1.9228
basic,1680,5,10,0.017,1.0,0.257282,0.00715,0.43565,2.87897,0.29709,2.39358,0.30994,2.44256
basic,1680,5,10,0.017,3.0,0.157343,0.01023,0.59289,2.75735,0.42522,2.04079,0.43507,2.07182
basic,1680,5,10,0.034,2.0,0.195809,0.00858,0.54059,2.82199,0.37314,2.20516,0.38445,2.24408
basic,1680,5,10,0.034,5.0,0.114568,0.01453,0.64851,2.54707,0.48725,1.78755,0.49503,1.80804
basic,1680,5,10,0.07,3.0,0.167493,0.01051,0.56805,2.75615,0.41114,2.08882,0.42141,2.12207
basic,1680,5,10,0.145,5.0,0.371715,0.01095,0.27248,2.52279,0.17422,2.61246,0.18792,2.67452
basic,1680,5,20,0.017,1.0,0.262319,0.0046,0.43199,4.77697,0.18962,3.3476,0.19818,3.41645
basic,1680,5,20,0.017,3.0,0.146838,0.00771,0.59421,4.43053,0.29315,2.47542,0.29957,2.50718
basic,1680,5,20,0.034,2.0,0.193422,0.00583,0.53098,4.65041,0.24825,2.88691,0.25582,2.93444
basic,1680,5,20,0.034,5.0,0.088867,0.01213,0.66198,3.65107,0.35555,1.78594,0.35997,1.79807
basic,1680,5,20,0.07,3.0,0.155887,0.00787,0.56809,4.40408,0.28408,2.56349,0.29076,2.59837
basic,1680,5,20,0.145,5.0,0.310749,0.00876,0.32168,3.84742,0.15346,3.59887,0.16251,3.681
basic,1680,20,5,0.017,1.0,0.05831,0.01252,0.46299,1.19255,0.39492,1.06187,0.40958,1.06419
basic,1680,20,5,0.017,3.0,0.03295,0.01972,0.62104,1.11455,0.55163,0.94556,0.56148,0.94375
basic,1680,20,5,0.034,2.0,0.041509,0.01588,0.56649,1.15447,0.49518,0.99735,0.50664,0.99726
basic,1680,20,5,0.034,5.0,0.023734,0.02663,0.67856,1.01301,0.61741,0.86133,0.62509,0.85714
basic,1680,20,5,0.07,3.0,0.033598,0.0182,0.60845,1.11794,0.5472,0.95017,0.55719,0.9485
basic,1680,20,5,0.145,5.0,0.025219,0.02634,0.64365,1.0119,0.60647,0.87779,0.61453,0.87402
basic,1680,20,10,0.017,1.0,0.056441,0.0076,0.46449,1.42299,0.33374,1.09746,0.34485,1.10059
basic,1680,20,10,0.017,3.0,0.030394,0.01524,0.62029,1.25431,0.47032,0.88239,0.47818,0.87937
basic,1680,20,10,0.034,2.0,0.039689,0.01211,0.57182,1.3406,0.4173,0.97983,0.42665,0.97925
basic,1680,20,10,0.034,5.0,0.019971,0.02041,0.67833,1.07534,0.53592,0.7223,0.54164,0.71648
basic,1680,20,10,0.07,3.0,0.032069,0.01314,0.60829,1.28947,0.46039,0.9024,0.46855,0.89983
basic,1680,20,10,0.145,5.0,0.020345,0.02098,0.64938,1.04198,0.53345,0.7294,0.53925,0.72368
basic,1680,20,20,0.017,1.0,0.057233,0.00503,0.47257,1.88552,0.22059,1.16087,0.22826,1.16494
basic,1680,20,20,0.017,3.0,0.028216,0.01016,0.62593,1.59516,0.32772,0.79639,0.33294,0.79288
basic,1680,20,20,0.034,2.0,0.038596,0.00784,0.56704,1.73504,0.2854,0.95553,0.29179,0.9546
basic,1680,20,20,0.034,5.0,0.012604,0.01673,0.66705,1.01951,0.40092,0.45068,0.40366,0.44536
basic,1680,20,20,0.07,3.0,0.028692,0.01003,0.60591,1.58083,0.32567,0.80466,0.33095,0.80126
basic,1680,20,20,0.145,5.0,0.013035,0.01653,0.65104,1.00173,0.39873,0.4627,0.40155,0.45736
basic,1680,50,5,0.017,1.0,0.022314,0.01214,0.4713,1.04938,0.40814,0.92261,0.42236,0.91975
basic,1680,50,5,0.017,3.0,0.012871,0.02006,0.62811,0.97324,0.55456,0.82302,0.56415,0.8172
basic,1680,50,5,0.034,2.0,0.01631,0.01581,0.57644,1.01614,0.49763,0.8698,0.50879,0.86526
basic,1680,50,5,0.034,5.0,0.009452,0.02446,0.67973,0.90743,0.61603,0.75349,0.62363,0.74609
basic,1680,50,5,0.07,3.0,0.013318,0.01847,0.61785,0.98541,0.54688,0.83013,0.5567,0.82449
basic,1680,50,5,0.145,5.0,0.009465,0.02587,0.65898,0.88255,0.61579,0.75381,0.62341,0.74642
basic,1680,50,10,0.017,1.0,0.022208,0.008,0.47387,1.1341,0.33777,0.86554,0.34864,0.86129
basic,1680,50,10,0.017,3.0,0.011979,0.01403,0.61651,1.01642,0.47187,0.69612,0.4796,0.68842
basic,1680,50,10,0.034,2.0,0.015653,0.01153,0.56407,1.07232,0.41934,0.77325,0.42851,0.76685
basic,1680,50,10,0.034,5.0,0.007411,0.02007,0.67407,0.84644,0.54468,0.55162,0.55005,0.54267
basic,1680,50,10,0.07,3.0,0.012101,0.01384,0.61117,1.01174,0.47005,0.6991,0.47784,0.69145
basic,1680,50,10,0.145,5.0,0.007143,0.02232,0.64796,0.77814,0.54922,0.54059,0.55443,0.53161
basic,1680,50,20,0.017,1.0,0.021429,0.0057,0.4725,1.29293,0.23284,0.77711,0.24025,0.77172
basic,1680,50,20,0.017,3.0,0.01039,0.011,0.61328,1.07448,0.33732,0.52398,0.34223,0.51628
basic,1680,50,20,0.034,2.0,0.01435,0.00823,0.57153,1.20503,0.29601,0.63474,0.30208,0.62756
basic,1680,50,20,0.034,5.0,0.004821,0.01643,0.67456,0.7124,0.40362,0.30279,0.40626,0.29631
basic,1680,50,20,0.07,3.0,0.010474,0.01094,0.61201,1.0687,0.3364,0.52664,0.34133,0.51894
basic,1680,50,20,0.145,5.0,0.004746,0.01684,0.65571,0.65363,0.40458,0.29909,0.40718,0.29266
