access,w_eff,n_vis,n_nat,eps_i,r,tau_bar,tau_nat,T,rho,T_nv,rho_nv,T_ev,rho_ev
rts,210,50,20,0.017,1.0,0.018704,0.01448,0.705,1.07787,0.60518,0.72882,0.65029,0.6704
rts,210,50,20,0.017,3.0,0.007159,0.019,0.72806,0.70519,0.68195,0.40765,0.69509,0.34247
rts,210,50,20,0.034,2.0,0.012969,0.01641,0.72323,0.96328,0.64602,0.59936,0.67395,0.53099
rts,210,50,20,0.034,5.0,0.001907,0.0225,0.72156,0.29385,0.70849,0.1374,0.71128,0.10758
rts,210,50,20,0.07,3.0,0.009052,0.01735,0.71975,0.81651,0.67092,0.47921,0.68855,0.41051
rts,210,50,20,0.145,5.0,0.003051,0.02172,0.71645,0.3471,0.70327,0.20783,0.70803,0.16566
rts,420,5,5,0.017,1.0,0.266705,0.01985,0.70362,1.8629,0.68441,1.78468,0.7191,1.92523
rts,420,5,5,0.017,3.0,0.164045,0.02527,0.75479,1.76362,0.751,1.6345,0.76555,1.73704
rts,420,5,5,0.034,2.0,0.205606,0.02348,0.7381,1.83018,0.72766,1.71007,0.74939,1.83103
rts,420,5,5,0.034,5.0,0.125063,0.02848,0.76449,1.66657,0.76847,1.53023,0.77731,1.60963
rts,420,5,5,0.07,3.0,0.170637,0.02731,0.74967,1.73503,0.74761,1.64842,0.76322,1.75425
rts,420,5,5,0.145,5.0,0.558444,0.0177,0.53866,1.69481,0.31017,1.93293,0.4351,2.11666
rts,420,5,10,0.017,1.0,0.251104,0.01373,0.71073,2.7391,0.64918,2.37765,0.6831,2.59252
rts,420,5,10,0.017,3.0,0.143232,0.01882,0.75726,2.48298,0.7227,1.96724,0.73599,2.08879
rts,420,5,10,0.034,2.0,0.196275,0.01492,0.73264,2.68165,0.69053,2.20688,0.71288,2.37966
rts,420,5,10,0.034,5.0,0.10235,0.02087,0.76205,2.27815,0.74237,1.69518,0.75004,1.76917
rts,420,5,10,0.07,3.0,0.164855,0.01682,0.74448,2.54606,0.71048,2.07669,0.72723,2.22052
rts,420,5,10,0.145,5.0,0.300587,0.01734,0.67122,2.31396,0.60429,2.49126,0.65068,2.73679
rts,420,5,20,0.017,1.0,0.237126,0.00911,0.72037,4.52579,0.56122,3.1955,0.5967,3.46353
rts,420,5,20,0.017,3.0,0.10397,0.01467,0.75199,3.4984,0.66404,1.98987,0.67498,2.0618
rts,420,5,20,0.034,2.0,0.183695,0.01002,0.73317,4.34518,0.60747,2.80897,0.63176,3.00027
rts,420,5,20,0.034,5.0,0.02706,0.02038,0.73951,1.54156,0.7051,0.6839,0.70718,0.67637
rts,420,5,20,0.07,3.0,0.147801,0.01163,0.74642,4.05549,0.63475,2.485,0.65251,2.62226
rts,420,5,20,0.145,5.0,0.305192,0.01194,0.63671,3.26701,0.49242,3.57242,0.54423,3.92864
rts,420,20,5,0.017,1.0,0.058854,0.02182,0.72482,1.15153,0.70378,1.06344,0.72865,1.07418
rts,420,20,5,0.017,3.0,0.031548,0.03,0.75537,1.02986,0.76303,0.93509,0.77174,0.92562
