method,num_stas,snr_db_mean,seed,aggregate_throughput,packet_delivery_ratio,collision_prob_npca,npca_transition_count,phy_error_count,phy_error_rate,harq_success_count,harq_fail_count,total_tx
cross_ch_harq,20,24,123,1668,0.913972602739726,0.7234092509978868,2019,572,0.09364767518009168,162,302,6108
cross_ch_harq,20,24,456,1634,0.9174620999438517,0.729504048582996,1900,592,0.09944565765160424,188,305,5953
no_harq,20,26,42,1068,0.7970149253731343,0.716296826533047,2000,1123,0.1998220640569395,0,0,5620
no_harq,20,26,123,1057,0.8155864197530864,0.711051930758988,1860,1136,0.21313320825515947,0,0,5330
no_harq,20,26,456,1072,0.8048048048048048,0.7252969421278747,2159,1129,0.20415913200723326,0,0,5530
same_ch_harq,20,26,42,1198,0.8424753867791842,0.7085858585858585,1920,997,0.18100944081336237,188,214,5508
same_ch_harq,20,26,123,1200,0.8391608391608392,0.7209242618741977,1960,1018,0.18227394807520142,194,208,5585
same_ch_harq,20,26,456,1172,0.8230337078651685,0.7141855573732181,2280,1042,0.17977915804002761,199,218,5796
cross_ch_harq,20,26,42,1260,0.8707671043538355,0.7146042363433668,1860,955,0.17797241893402907,319,415,5366
cross_ch_harq,20,26,123,1234,0.849862258953168,0.724601593625498,2020,964,0.1690931415541133,288,496,5701
cross_ch_harq,20,26,456,1202,0.8494699646643109,0.7257534246575342,1820,998,0.18332108743570905,310,480,5444
