access,N_native,method,seed,succ_v,succ_n,useful
basic,0,dcf_conv,42,0.6438095238095238,0.0,0.6438095238095238
basic,0,pace,42,0.3645079365079365,0.0,0.3645079365079365
basic,0,oracle,42,0.5510158730158731,0.0,0.5510158730158731
basic,10,dcf_conv,42,0.2610793650793651,0.173015873015873,0.4340952380952381
basic,10,pace,42,0.36936507936507934,0.031746031746031744,0.4011111111111111
basic,10,oracle,42,0.3935873015873016,0.17777777777777778,0.5713650793650794
basic,20,dcf_conv,42,0.23463492063492064,0.19523809523809524,0.42987301587301585
basic,20,pace,42,0.275015873015873,0.03968253968253968,0.3146984126984127
basic,20,oracle,42,0.3722539682539683,0.24444444444444444,0.6166984126984127
rts,0,dcf_conv,42,0.7357777777777778,0.0,0.7357777777777778
rts,0,pace,42,0.7097777777777777,0.0,0.7097777777777777
rts,0,oracle,42,0.7481269841269841,0.0,0.7481269841269841
rts,10,dcf_conv,42,0.4171746031746032,0.28095238095238095,0.6981269841269842
rts,10,pace,42,0.656063492063492,0.046031746031746035,0.7020952380952381
rts,10,oracle,42,0.5405714285714286,0.20793650793650795,0.7485079365079365
rts,20,dcf_conv,42,0.38466666666666666,0.2904761904761905,0.6751428571428572
rts,20,pace,42,0.6253968253968254,0.0746031746031746,0.7
rts,20,oracle,42,0.42742857142857144,0.30793650793650795,0.7353650793650793
