sweep,config,method,seed,succ_v,succ_n,coll_air,idle_air,oh_air,useful
A,9,dcf_conv,42,0.4738380952380952,0.3304761904761905,0.11507142857142857,0.04014761904761905,0.0,0.8043142857142858
A,9,pace,42,0.7453761904761905,0.06404761904761905,0.13761428571428572,0.0116,0.0,0.8094238095238095
A,9,oracle,42,0.6208666666666667,0.25,0.07302857142857143,0.021385714285714286,0.0,0.8708666666666667
A,9,dcf_conv,123,0.47187619047619045,0.3323809523809524,0.11442857142857144,0.039971428571428574,0.0,0.8042571428571429
A,9,pace,123,0.7400333333333333,0.06142857142857143,0.14507142857142857,0.012104761904761905,0.0,0.8014619047619047
A,9,oracle,123,0.632004761904762,0.24,0.07161428571428571,0.021157142857142857,0.0,0.872004761904762
A,9,dcf_conv,456,0.4775857142857143,0.32404761904761903,0.11498571428571429,0.03991904761904762,0.0,0.8016333333333333
A,9,pace,456,0.7386047619047619,0.06761904761904762,0.14057142857142857,0.011942857142857142,0.0,0.8062238095238096
A,9,oracle,456,0.6221761904761904,0.2480952380952381,0.07187142857142857,0.020957142857142858,0.0,0.8702714285714286
A,9,dcf_conv,789,0.48373809523809524,0.3219047619047619,0.11387142857142857,0.03992380952380952,0.0,0.8056428571428571
A,9,pace,789,0.7395238095238095,0.0688095238095238,0.13992857142857143,0.012457142857142858,0.0,0.8083333333333333
A,9,oracle,789,0.6333809523809524,0.235,0.07371428571428572,0.020985714285714285,0.0,0.8683809523809524
A,9,dcf_conv,1234,0.48905238095238096,0.3180952380952381,0.11314285714285714,0.03854285714285714,0.0,0.807147619047619
A,9,pace,1234,0.7334714285714286,0.060476190476190475,0.15085714285714286,0.011909523809523809,0.0,0.793947619047619
A,9,oracle,1234,0.6399714285714285,0.23357142857142857,0.07037142857142857,0.020576190476190477,0.0,0.8735428571428572
A,16,dcf_conv,42,0.43752857142857143,0.2988095238095238,0.18613333333333335,0.035609523809523806,0.0,0.7363380952380952
A,16,pace,42,0.6578904761904761,0.05619047619047619,0.23459047619047618,0.011376190476190476,0.0,0.7140809523809524
A,16,oracle,42,0.5880809523809524,0.23452380952380952,0.12007619047619048,0.020047619047619047,0.0,0.822604761904762
A,16,dcf_conv,123,0.4422285714285714,0.2916666666666667,0.19085714285714286,0.036423809523809525,0.0,0.733895238095238
A,16,pace,123,0.6608190476190476,0.06095238095238095,0.22643809523809524,0.010433333333333333,0.0,0.7217714285714286
A,16,oracle,123,0.5910047619047619,0.23166666666666666,0.12114285714285715,0.020257142857142856,0.0,0.8226714285714286
A,16,dcf_conv,456,0.44448095238095237,0.29428571428571426,0.18422857142857144,0.035980952380952384,0.0,0.7387666666666667
A,16,pace,456,0.6499571428571429,0.058333333333333334,0.23984761904761906,0.011504761904761905,0.0,0.7082904761904761
A,16,oracle,456,0.5877809523809524,0.23761904761904762,0.11824761904761905,0.019461904761904764,0.0,0.8254
A,16,dcf_conv,789,0.44324285714285716,0.28809523809523807,0.18994285714285714,0.035333333333333335,0.0,0.7313380952380952
A,16,pace,789,0.6655809523809524,0.06404761904761905,0.22034285714285715,0.011185714285714285,0.0,0.7296285714285714
A,16,oracle,789,0.5982666666666666,0.22714285714285715,0.11718095238095239,0.01930952380952381,0.0,0.8254095238095238
A,16,dcf_conv,1234,0.4364142857142857,0.2923809523809524,0.19573333333333334,0.03635714285714286,0.0,0.728795238095238
A,16,pace,1234,0.6643857142857142,0.05714285714285714,0.22872380952380952,0.010938095238095238,0.0,0.7215285714285714
A,16,oracle,1234,0.6020714285714286,0.22666666666666666,0.11611428571428571,0.01892857142857143,0.0,0.8287380952380953
A,31,dcf_conv,42,0.3743904761904762,0.24071428571428571,0.3122142857142857,0.029785714285714287,0.0,0.6151047619047619
A,31,pace,42,0.5510190476190476,0.05142857142857143,0.34956190476190474,0.0095,0.0,0.602447619047619
A,31,oracle,42,0.5251285714285714,0.20142857142857143,0.2203952380952381,0.017695238095238094,0.0,0.7265571428571429
A,31,dcf_conv,123,0.3793,0.245,0.3051285714285714,0.03000952380952381,0.0,0.6243
A,31,pace,123,0.5451,0.052142857142857144,0.35546666666666665,0.009547619047619048,0.0,0.5972428571428572
A,31,oracle,123,0.5394904761904762,0.2038095238095238,0.20474761904761904,0.017509523809523808,0.0,0.7433
A,31,dcf_conv,456,0.37294285714285713,0.24928571428571428,0.30675238095238094,0.02971904761904762,0.0,0.6222285714285715
A,31,pace,456,0.5384666666666666,0.047619047619047616,0.3653571428571429,0.009304761904761904,0.0,0.5860857142857143
A,31,oracle,456,0.5405190476190476,0.2092857142857143,0.19721904761904763,0.01690952380952381,0.0,0.7498047619047619
A,31,dcf_conv,789,0.37842380952380955,0.24666666666666667,0.30557142857142855,0.029285714285714286,0.0,0.6250904761904762
A,31,pace,789,0.5424523809523809,0.04642857142857143,0.3610761904761905,0.0095,0.0,0.5888809523809524
A,31,oracle,789,0.5308095238095238,0.21142857142857144,0.20327142857142858,0.017461904761904762,0.0,0.7422380952380953
A,31,dcf_conv,1234,0.3824047619047619,0.2373809523809524,0.3077857142857143,0.029738095238095237,0.0,0.6197857142857143
A,31,pace,1234,0.5416952380952381,0.04833333333333333,0.36137142857142857,0.0094,0.0,0.5900285714285715
A,31,oracle,1234,0.5376761904761905,0.19976190476190475,0.2085857142857143,0.017047619047619048,0.0,0.7374380952380952
A,63,dcf_conv,42,0.2971,0.17857142857142858,0.468,0.02232857142857143,0.0,0.4756714285714286
A,63,pace,42,0.4047428571428571,0.03880952380952381,0.519,0.007547619047619048,0.0,0.443552380952381
A,63,oracle,42,0.4358666666666667,0.17904761904761904,0.3447,0.014557142857142857,0.0,0.6149142857142857
A,63,dcf_conv,123,0.27875714285714287,0.18619047619047618,0.4818,0.02265238095238095,0.0,0.46494761904761905
A,63,pace,123,0.4062904761904762,0.032857142857142856,0.5238,0.007233333333333333,0.0,0.43914761904761906
A,63,oracle,123,0.4408761904761905,0.17476190476190476,0.3438,0.014566666666666667,0.0,0.6156380952380952
A,63,dcf_conv,456,0.3017142857142857,0.1830952380952381,0.4632,0.022,0.0,0.4848095238095238
A,63,pace,456,0.396147619047619,0.03857142857142857,0.5268,0.006890476190476191,0.0,0.4347190476190476
