topology,N,W_eff,protocol,seed,CW0,mean_success,std_success,mean_spatial_reuse,mean_degree,alpha_G
complete,9,50,mfg_full_N,456,,9.0,0.0,0.0,8.0,1
complete,9,50,mfg_perfect_local,456,,9.0,0.0,0.0,8.0,1
complete,9,50,mfg_carrier_sense,456,,8.9,0.29999999999999993,0.0,8.0,1
complete,9,50,oracle_topology,456,2,8.6,0.0,0.0,8.0,1
complete,9,100,dcf_ieee,456,16,8.9,0.3958114029012639,0.0,8.0,1
complete,9,100,dcf_topology,456,18,8.833333333333334,0.4533823502911815,0.0,8.0,1
complete,9,100,mfg_full_N,456,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_perfect_local,456,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_carrier_sense,456,,9.0,0.0,0.0,8.0,1
complete,9,100,oracle_topology,456,2,9.0,0.0,0.0,8.0,1
complete,9,200,dcf_ieee,456,16,9.0,0.0,0.0,8.0,1
complete,9,200,dcf_topology,456,18,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_full_N,456,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_perfect_local,456,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_carrier_sense,456,,9.0,0.0,0.0,8.0,1
complete,9,200,oracle_topology,456,2,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_ieee,456,16,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_topology,456,18,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_full_N,456,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_perfect_local,456,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_carrier_sense,456,,9.0,0.0,0.0,8.0,1
complete,9,500,oracle_topology,456,2,9.0,0.0,0.0,8.0,1
complete,9,20,dcf_ieee,789,16,4.766666666666667,1.498517786199268,0.0,8.0,1
complete,9,20,dcf_topology,789,18,4.433333333333334,1.2565384549980507,0.0,8.0,1
complete,9,20,mfg_full_N,789,,7.633333333333334,1.702612371882951,0.0,8.0,1
complete,9,20,mfg_perfect_local,789,,7.633333333333334,1.702612371882951,0.0,8.0,1
complete,9,20,mfg_carrier_sense,789,,6.133333333333334,1.6478942792411033,0.0,8.0,1
complete,9,20,oracle_topology,789,4,5.2,0.0,0.0,8.0,1
complete,9,50,dcf_ieee,789,16,8.233333333333333,0.8825468196582484,0.0,8.0,1
complete,9,50,dcf_topology,789,18,8.1,0.9780933834080808,0.0,8.0,1
complete,9,50,mfg_full_N,789,,9.0,0.0,0.0,8.0,1
complete,9,50,mfg_perfect_local,789,,9.0,0.0,0.0,8.0,1
complete,9,50,mfg_carrier_sense,789,,8.933333333333334,0.24944382578492943,0.0,8.0,1
complete,9,50,oracle_topology,789,11,8.6,0.0,0.0,8.0,1
complete,9,100,dcf_ieee,789,16,8.966666666666667,0.1795054935711501,0.0,8.0,1
complete,9,100,dcf_topology,789,18,8.933333333333334,0.24944382578492943,0.0,8.0,1
complete,9,100,mfg_full_N,789,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_perfect_local,789,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_carrier_sense,789,,9.0,0.0,0.0,8.0,1
complete,9,100,oracle_topology,789,7,9.0,0.0,0.0,8.0,1
complete,9,200,dcf_ieee,789,16,9.0,0.0,0.0,8.0,1
complete,9,200,dcf_topology,789,18,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_full_N,789,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_perfect_local,789,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_carrier_sense,789,,9.0,0.0,0.0,8.0,1
complete,9,200,oracle_topology,789,2,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_ieee,789,16,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_topology,789,18,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_full_N,789,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_perfect_local,789,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_carrier_sense,789,,9.0,0.0,0.0,8.0,1
complete,9,500,oracle_topology,789,2,9.0,0.0,0.0,8.0,1
complete,9,20,dcf_ieee,1234,16,5.1,1.374772708486752,0.0,8.0,1
complete,9,20,dcf_topology,1234,18,5.033333333333333,1.32874209519965,0.0,8.0,1
complete,9,20,mfg_full_N,1234,,7.333333333333333,1.9550504398153572,0.0,8.0,1
complete,9,20,mfg_perfect_local,1234,,7.333333333333333,1.9550504398153572,0.0,8.0,1
complete,9,20,mfg_carrier_sense,1234,,6.6,1.3564659966250536,0.0,8.0,1
complete,9,20,oracle_topology,1234,4,5.2,0.0,0.0,8.0,1
complete,9,50,dcf_ieee,1234,16,8.433333333333334,0.8439325934114775,0.0,8.0,1
complete,9,50,dcf_topology,1234,18,8.066666666666666,1.0934146311237816,0.0,8.0,1
complete,9,50,mfg_full_N,1234,,9.0,0.0,0.0,8.0,1
complete,9,50,mfg_perfect_local,1234,,9.0,0.0,0.0,8.0,1
complete,9,50,mfg_carrier_sense,1234,,8.9,0.3958114029012639,0.0,8.0,1
complete,9,50,oracle_topology,1234,2,8.6,0.0,0.0,8.0,1
complete,9,100,dcf_ieee,1234,16,8.966666666666667,0.17950549357115014,0.0,8.0,1
complete,9,100,dcf_topology,1234,18,8.866666666666667,0.339934634239519,0.0,8.0,1
complete,9,100,mfg_full_N,1234,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_perfect_local,1234,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_carrier_sense,1234,,9.0,0.0,0.0,8.0,1
complete,9,100,oracle_topology,1234,2,9.0,0.0,0.0,8.0,1
complete,9,200,dcf_ieee,1234,16,9.0,0.0,0.0,8.0,1
complete,9,200,dcf_topology,1234,18,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_full_N,1234,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_perfect_local,1234,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_carrier_sense,1234,,9.0,0.0,0.0,8.0,1
complete,9,200,oracle_topology,1234,2,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_ieee,1234,16,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_topology,1234,18,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_full_N,1234,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_perfect_local,1234,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_carrier_sense,1234,,9.0,0.0,0.0,8.0,1
complete,9,500,oracle_topology,1234,2,9.0,0.0,0.0,8.0,1
complete,16,20,dcf_ieee,42,16,4.933333333333334,1.5477582354991866,0.0,15.0,1
complete,16,20,dcf_topology,42,32,5.0,1.1547005383792515,0.0,15.0,1
complete,16,20,mfg_full_N,42,,7.2,2.468467810876482,0.0,15.0,1
complete,16,20,mfg_perfect_local,42,,7.2,2.468467810876482,0.0,15.0,1
complete,16,20,mfg_carrier_sense,42,,7.066666666666666,2.096558025802185,0.0,15.0,1
complete,16,20,oracle_topology,42,26,5.133333333333334,0.0,0.0,15.0,1
complete,16,50,dcf_ieee,42,16,11.0,1.96638416050035,0.0,15.0,1
complete,16,50,dcf_topology,42,32,11.333333333333334,1.6397831834998458,0.0,15.0,1
complete,16,50,mfg_full_N,42,,15.966666666666667,0.17950549357115014,0.0,15.0,1
complete,16,50,mfg_perfect_local,42,,15.966666666666667,0.17950549357115014,0.0,15.0,1
complete,16,50,mfg_carrier_sense,42,,13.833333333333334,1.5293426329272615,0.0,15.0,1
complete,16,50,oracle_topology,42,16,11.0,0.0,0.0,15.0,1
complete,16,100,dcf_ieee,42,16,14.966666666666667,0.9826268648655784,0.0,15.0,1
complete,16,100,dcf_topology,42,32,14.866666666666667,1.087300428686673,0.0,15.0,1
complete,16,100,mfg_full_N,42,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_perfect_local,42,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_carrier_sense,42,,15.933333333333334,0.2494438257849294,0.0,15.0,1
complete,16,100,oracle_topology,42,17,15.266666666666667,0.0,0.0,15.0,1
complete,16,200,dcf_ieee,42,16,15.933333333333334,0.24944382578492943,0.0,15.0,1
