N,W_eff,protocol,seed,CW0,mean_success,std_success
20,20,mfg_precommit,42,20,4.664,1.5228604663592786
20,20,mfg_adaptive,42,,7.593,2.1861726830239188
20,20,oracle,42,31,4.88,0.0
20,20,dcf_qsrc_star,123,40,4.595,1.4138511237043312
20,20,mfg_precommit,123,20,4.704,1.5730174824203322
20,20,mfg_adaptive,123,,7.726,2.142177396949188
20,20,oracle,123,31,4.823333333333333,0.0
20,20,dcf_qsrc_star,456,40,4.607,1.3771532231382244
20,20,mfg_precommit,456,20,4.773,1.5044836323469923
20,20,mfg_adaptive,456,,7.674,2.2256962955443855
20,20,oracle,456,31,4.746666666666667,0.0
20,50,dcf_qsrc_star,42,40,11.478,2.185752959508462
20,50,mfg_precommit,42,20,10.853,2.165961911022445
20,50,mfg_adaptive,42,,18.486,2.2373654149467854
20,50,oracle,42,31,11.693333333333333,0.0
20,50,dcf_qsrc_star,123,40,11.511,2.1475285795537156
20,50,mfg_precommit,123,20,10.992,2.1605406730723677
20,50,mfg_adaptive,123,,18.504,2.311705863642691
20,50,oracle,123,31,11.573333333333334,0.0
20,50,dcf_qsrc_star,456,40,11.505,2.1503429958962363
20,50,mfg_precommit,456,20,10.998,2.082785634672949
20,50,mfg_adaptive,456,,18.575,2.2352572558880106
20,50,oracle,456,31,11.62,0.0
20,100,dcf_qsrc_star,42,40,16.894,1.812943462990504
20,100,mfg_precommit,42,20,17.435,1.7966009573636548
20,100,mfg_adaptive,42,,20.0,0.0
20,100,oracle,42,13,17.64,0.0
20,100,dcf_qsrc_star,123,40,16.835,1.8373282232633343
20,100,mfg_precommit,123,20,17.573,1.7517622555586703
20,100,mfg_adaptive,123,,20.0,0.0
20,100,oracle,123,13,17.756666666666668,0.0
20,100,dcf_qsrc_star,456,40,16.861,1.863780834754988
20,100,mfg_precommit,456,20,17.607,1.724108755270386
20,100,mfg_adaptive,456,,20.0,0.0
20,100,oracle,456,13,17.676666666666666,0.0
20,200,dcf_qsrc_star,42,40,19.667,0.6723919987626267
20,200,mfg_precommit,42,20,19.792,0.5298452604298731
20,200,mfg_adaptive,42,,20.0,0.0
20,200,oracle,42,13,19.876666666666665,0.0
20,200,dcf_qsrc_star,123,40,19.668,0.6540458699510303
20,200,mfg_precommit,123,20,19.823,0.503657621802748
20,200,mfg_adaptive,123,,20.0,0.0
20,200,oracle,123,13,19.87,0.0
20,200,dcf_qsrc_star,456,40,19.679,0.6147837018008855
20,200,mfg_precommit,456,20,19.81,0.48363209157374987
20,200,mfg_adaptive,456,,20.0,0.0
20,200,oracle,456,5,19.883333333333333,0.0
20,500,dcf_qsrc_star,42,40,19.999,0.03160696125855822
20,500,mfg_precommit,42,20,20.0,0.0
20,500,mfg_adaptive,42,,20.0,0.0
20,500,oracle,42,5,20.0,0.0
20,500,dcf_qsrc_star,123,40,19.999,0.03160696125855822
20,500,mfg_precommit,123,20,19.998,0.044676615807377355
20,500,mfg_adaptive,123,,20.0,0.0
20,500,oracle,123,5,20.0,0.0
20,500,dcf_qsrc_star,456,40,19.999,0.03160696125855822
20,500,mfg_precommit,456,20,20.0,0.0
20,500,mfg_adaptive,456,,20.0,0.0
20,500,oracle,456,5,20.0,0.0
30,20,dcf_qsrc_star,42,60,4.49,1.3863260799682016
30,20,mfg_precommit,42,30,4.689,1.4697887603325859
30,20,mfg_adaptive,42,,7.499,2.1684093248277643
30,20,oracle,42,40,4.906666666666666,0.0
30,20,dcf_qsrc_star,123,60,4.545,1.4198503442264612
30,20,mfg_precommit,123,30,4.657,1.487061195781801
30,20,mfg_adaptive,123,,7.614,2.1206140620112843
30,20,oracle,123,40,4.8966666666666665,0.0
30,20,dcf_qsrc_star,456,60,4.468,1.4103106040869153
30,20,mfg_precommit,456,30,4.652,1.4909379598091932
30,20,mfg_adaptive,456,,7.572,2.1929012745675536
30,20,oracle,456,40,4.806666666666667,0.0
30,50,dcf_qsrc_star,42,60,11.311,2.124683270513514
30,50,mfg_precommit,42,30,11.258,2.4305217546856066
30,50,mfg_adaptive,42,,18.926,3.4722505669954176
30,50,oracle,42,40,11.813333333333333,0.0
30,50,dcf_qsrc_star,123,60,11.343,2.196668158825998
30,50,mfg_precommit,123,30,11.309,2.3570148493380354
30,50,mfg_adaptive,123,,18.955,3.428261221085698
30,50,oracle,123,40,11.806666666666667,0.0
30,50,dcf_qsrc_star,456,60,11.21,2.154506904143034
30,50,mfg_precommit,456,30,11.131,2.399132968386705
30,50,mfg_adaptive,456,,19.074,3.690328440667578
30,50,oracle,456,40,11.846666666666666,0.0
30,100,dcf_qsrc_star,42,60,20.676,2.8853117682496636
30,100,mfg_precommit,42,30,21.259,2.7734309077386445
30,100,mfg_adaptive,42,,29.913,0.6272407831128329
30,100,oracle,42,30,21.0,0.0
