num_stas,method,harq_enabled,adaptive_cw,npca_qsrc,seed,mean_access_delay,p95_access_delay,p99_access_delay,mean_retx_count,aggregate_throughput,collision_probability_npca
5,fixed_q0_arq,False,False,0,42,104.55508982035929,412.0,885.0,1.6712574850299402,1670,0.29292929292929293
5,fixed_q0_arq,False,False,0,123,104.93257074051776,461.0,948.0,1.6971703792895847,1661,0.3035230352303523
5,fixed_q0_arq,False,False,0,456,106.19209726443769,419.0,823.0,1.6966565349544074,1645,0.2704858593183466
5,fixed_q1_arq,False,False,1,42,103.74305555555556,425.0,875.0,1.5946969696969697,1584,0.17617021276595746
5,fixed_q1_arq,False,False,1,123,105.23573200992556,434.0,812.0,1.586228287841191,1612,0.17489539748953975
5,fixed_q1_arq,False,False,1,456,104.84984227129337,437.0,756.0,1.565930599369085,1585,0.17926045016077172
5,fixed_q2_arq,False,False,2,42,105.91476510067115,432.0,1016.0,1.5026845637583892,1490,0.07373271889400922
5,fixed_q2_arq,False,False,2,123,106.31733333333334,453.0,827.0,1.5133333333333334,1500,0.11892963330029732
5,fixed_q2_arq,False,False,2,456,110.41931127616475,437.0,912.0,1.5340985820391628,1481,0.10197710718002082
5,fixed_q3_arq,False,False,3,42,119.51907255048616,493.0,952.0,1.4771877337322363,1337,0.04892966360856269
5,fixed_q3_arq,False,False,3,123,119.59895444361464,468.0,820.0,1.5078416728902166,1339,0.049247606019151846
5,fixed_q3_arq,False,False,3,456,121.65407854984895,472.0,893.0,1.5105740181268883,1324,0.03719599427753934
5,adaptive_arq,False,True,0,42,104.55508982035929,412.0,885.0,1.6712574850299402,1670,0.29292929292929293
5,adaptive_arq,False,True,0,123,104.93257074051776,461.0,948.0,1.6971703792895847,1661,0.3035230352303523
5,adaptive_arq,False,True,0,456,106.19209726443769,419.0,823.0,1.6966565349544074,1645,0.2704858593183466
5,fixed_q0_harq,True,False,0,42,99.17118155619596,408.0,777.0,1.6403458213256483,1735,0.28601398601398603
5,fixed_q0_harq,True,False,0,123,98.03260869565217,404.0,765.0,1.637299771167048,1748,0.27978216473791695
5,fixed_q0_harq,True,False,0,456,101.88113098672822,419.0,791.0,1.6687824581650317,1733,0.30180505415162456
5,fixed_q1_harq,True,False,1,42,99.82252141982865,387.0,795.0,1.5734394124847002,1634,0.18786857624262848
5,fixed_q1_harq,True,False,1,123,101.31968215158925,372.0,764.0,1.5678484107579462,1636,0.183206106870229
5,fixed_q1_harq,True,False,1,456,98.88714544357272,371.0,679.0,1.5371152685576344,1657,0.1703204047217538
5,fixed_q2_harq,True,False,2,42,98.94430379746835,393.0,773.0,1.4626582278481013,1580,0.1146288209606987
5,fixed_q2_harq,True,False,2,123,98.93430195830702,394.0,731.0,1.4864181933038534,1583,0.11177644710578842
5,fixed_q2_harq,True,False,2,456,99.68072680077871,389.0,688.0,1.4769630110317975,1541,0.10461538461538461
5,fixed_q3_harq,True,False,3,42,112.78295128939828,448.0,766.0,1.475644699140401,1396,0.038461538461538464
5,fixed_q3_harq,True,False,3,123,114.04741684359519,446.0,994.0,1.4826610049539986,1413,0.05787781350482315
5,fixed_q3_harq,True,False,3,456,118.11199421965318,456.0,916.0,1.4458092485549132,1384,0.03404255319148936
5,adaptive_harq,True,True,0,42,99.17118155619596,408.0,777.0,1.6403458213256483,1735,0.28601398601398603
5,adaptive_harq,True,True,0,123,98.03260869565217,404.0,765.0,1.637299771167048,1748,0.27978216473791695
5,adaptive_harq,True,True,0,456,101.88113098672822,419.0,791.0,1.6687824581650317,1733,0.30180505415162456
10,fixed_q0_arq,False,False,0,42,212.84899135446685,840.0,1489.0,2.2236311239193083,1735,0.5028248587570622
10,fixed_q0_arq,False,False,0,123,210.16160458452723,873.0,1605.0,2.1667621776504298,1745,0.4939981532779317
10,fixed_q0_arq,False,False,0,456,223.57142857142858,902.0,1599.0,2.2004703115814226,1701,0.4911955514365153
10,fixed_q1_arq,False,False,1,42,204.02191464821223,807.0,1400.0,1.8304498269896194,1734,0.31966224366706875
10,fixed_q1_arq,False,False,1,123,209.91368173810923,928.0,1595.0,1.8537874339401057,1703,0.30687830687830686
10,fixed_q1_arq,False,False,1,456,209.85772833723652,856.0,1619.0,1.8981264637002342,1708,0.3238153098420413
10,fixed_q2_arq,False,False,2,42,205.94857834240776,837.0,1742.0,1.6969147005444647,1653,0.16324626865671643
