N,W_eff,protocol,seed,CW0,mean_success,std_success
20,20,dcf_qsrc_star,123,40,4.62,1.4476187343358058
20,20,mfg_precommit,123,20,4.97,1.4384366513684224
20,20,mfg_adaptive,123,,7.72,2.2938177782901588
20,20,oracle,123,31,4.823333333333333,0.0
20,20,dcf_qsrc_star,456,40,4.68,1.6666133324799723
20,20,mfg_precommit,456,20,4.52,1.5904716281656834
20,20,mfg_adaptive,456,,7.29,2.2194368655134125
20,20,oracle,456,31,4.746666666666667,0.0
20,50,dcf_qsrc_star,42,40,11.65,2.0609463845524947
20,50,mfg_precommit,42,20,11.2,2.1354156504062622
20,50,mfg_adaptive,42,,18.04,2.5016794358990118
20,50,oracle,42,31,11.693333333333333,0.0
20,50,dcf_qsrc_star,123,40,11.57,2.011243396508737
20,50,mfg_precommit,123,20,11.2,2.0591260281974
20,50,mfg_adaptive,123,,18.88,1.9353552645444712
20,50,oracle,123,31,11.573333333333334,0.0
20,50,dcf_qsrc_star,456,40,11.36,2.3474241201793933
20,50,mfg_precommit,456,20,10.59,2.054726259140132
20,50,mfg_adaptive,456,,18.59,2.1683864969142377
20,50,oracle,456,31,11.62,0.0
20,100,dcf_qsrc_star,42,40,16.9,1.808314132002512
20,100,mfg_precommit,42,20,17.91,1.6437457224278944
20,100,mfg_adaptive,42,,20.0,0.0
20,100,oracle,42,13,17.64,0.0
20,100,dcf_qsrc_star,123,40,16.7,1.752141546793523
20,100,mfg_precommit,123,20,17.66,1.6566230711903054
20,100,mfg_adaptive,123,,20.0,0.0
20,100,oracle,123,13,17.756666666666668,0.0
20,100,dcf_qsrc_star,456,40,16.74,1.8687964041061293
20,100,mfg_precommit,456,20,17.2,1.8973665961010275
20,100,mfg_adaptive,456,,20.0,0.0
20,100,oracle,456,13,17.676666666666666,0.0
20,200,dcf_qsrc_star,42,40,19.54,0.7130217387990355
20,200,mfg_precommit,42,20,19.84,0.4409081537009721
20,200,mfg_adaptive,42,,20.0,0.0
20,200,oracle,42,13,19.876666666666665,0.0
20,200,dcf_qsrc_star,123,40,19.69,0.6587108622149782
20,200,mfg_precommit,123,20,19.88,0.3815756805667782
20,200,mfg_adaptive,123,,20.0,0.0
20,200,oracle,123,13,19.87,0.0
20,200,dcf_qsrc_star,456,40,19.67,0.664153596692813
20,200,mfg_precommit,456,20,19.76,0.5678027826631356
20,200,mfg_adaptive,456,,20.0,0.0
20,200,oracle,456,5,19.883333333333333,0.0
20,500,dcf_qsrc_star,42,40,20.0,0.0
20,500,mfg_precommit,42,20,20.0,0.0
20,500,mfg_adaptive,42,,20.0,0.0
20,500,oracle,42,5,20.0,0.0
20,500,dcf_qsrc_star,123,40,20.0,0.0
20,500,mfg_precommit,123,20,20.0,0.0
20,500,mfg_adaptive,123,,20.0,0.0
20,500,oracle,123,5,20.0,0.0
20,500,dcf_qsrc_star,456,40,20.0,0.0
20,500,mfg_precommit,456,20,20.0,0.0
20,500,mfg_adaptive,456,,20.0,0.0
20,500,oracle,456,5,20.0,0.0
30,20,dcf_qsrc_star,42,60,4.54,1.3521834195108295
30,20,mfg_precommit,42,30,4.67,1.4970303938130314
30,20,mfg_adaptive,42,,7.29,2.491164386386414
30,20,oracle,42,40,4.906666666666666,0.0
30,20,dcf_qsrc_star,123,60,4.51,1.2688183479127342
30,20,mfg_precommit,123,30,4.58,1.4844527611210807
30,20,mfg_adaptive,123,,7.64,2.273851358378555
30,20,oracle,123,40,4.8966666666666665,0.0
30,20,dcf_qsrc_star,456,60,4.6,1.140175425099138
30,20,mfg_precommit,456,30,4.78,1.4804053498957641
30,20,mfg_adaptive,456,,7.19,2.1198820721917526
30,20,oracle,456,40,4.806666666666667,0.0
30,50,dcf_qsrc_star,42,60,11.58,2.1962695645116064
30,50,mfg_precommit,42,30,11.01,2.3895397046293247
30,50,mfg_adaptive,42,,18.59,3.7123981467509655
30,50,oracle,42,40,11.813333333333333,0.0
30,50,dcf_qsrc_star,123,60,11.24,2.1029503084951866
30,50,mfg_precommit,123,30,10.67,2.668538926079213
30,50,mfg_adaptive,123,,19.64,3.482872377793938
30,50,oracle,123,40,11.806666666666667,0.0
30,50,dcf_qsrc_star,456,60,11.41,2.2631615055050753
30,50,mfg_precommit,456,30,11.27,2.323165943276545
30,50,mfg_adaptive,456,,19.32,3.836352434279207
30,50,oracle,456,40,11.846666666666666,0.0
30,100,dcf_qsrc_star,42,60,21.03,2.5512937894331182
30,100,mfg_precommit,42,30,21.21,2.6088119901595053
30,100,mfg_adaptive,42,,29.86,0.800249960949702
30,100,oracle,42,30,21.0,0.0
30,100,dcf_qsrc_star,123,60,20.33,2.800196421681879
30,100,mfg_precommit,123,30,20.56,3.0276063152266017
30,100,mfg_adaptive,123,,29.97,0.298496231131986
30,100,oracle,123,30,21.243333333333332,0.0
30,100,dcf_qsrc_star,456,60,20.71,2.906183063745297
30,100,mfg_precommit,456,30,21.04,2.537400244344593
30,100,mfg_adaptive,456,,29.9,0.7141428428542849
30,100,oracle,456,30,21.356666666666666,0.0
30,200,dcf_qsrc_star,42,60,28.52,1.36
30,200,mfg_precommit,42,30,28.6,1.3784048752090223
30,200,mfg_adaptive,42,,30.0,0.0
30,200,oracle,42,26,28.89,0.0
30,200,dcf_qsrc_star,123,60,28.19,1.7927353401994395
30,200,mfg_precommit,123,30,28.57,1.290387538687506
30,200,mfg_adaptive,123,,30.0,0.0
30,200,oracle,123,11,28.783333333333335,0.0
30,200,dcf_qsrc_star,456,60,28.55,1.2519984025548914
30,200,mfg_precommit,456,30,28.48,1.526302722267113
30,200,mfg_adaptive,456,,30.0,0.0
30,200,oracle,456,26,28.776666666666667,0.0
30,500,dcf_qsrc_star,42,60,29.99,0.09949874371066196
30,500,mfg_precommit,42,30,29.98,0.13999999999999999
30,500,mfg_adaptive,42,,30.0,0.0
30,500,oracle,42,15,29.996666666666666,0.0
30,500,dcf_qsrc_star,123,60,29.96,0.24166091947189144
30,500,mfg_precommit,123,30,29.99,0.09949874371066197
30,500,mfg_adaptive,123,,30.0,0.0
30,500,oracle,123,17,30.0,0.0
30,500,dcf_qsrc_star,456,60,29.99,0.09949874371066199
30,500,mfg_precommit,456,30,29.95,0.2179449471770337
30,500,mfg_adaptive,456,,30.0,0.0
30,500,oracle,456,40,29.993333333333332,0.0
50,20,dcf_qsrc_star,42,100,4.43,1.350962619764144
50,20,mfg_precommit,42,50,4.69,1.4331433982682962
50,20,mfg_adaptive,42,,7.23,2.4773170971839678
50,20,oracle,42,67,4.77,0.0
50,20,dcf_qsrc_star,123,100,4.37,1.270078737716682
50,20,mfg_precommit,123,50,4.63,1.753025955312699
50,20,mfg_adaptive,123,,7.54,2.2154909162530996
50,20,oracle,123,67,4.74,0.0
50,20,dcf_qsrc_star,456,100,4.42,1.5438911878756223
50,20,mfg_precommit,456,50,4.66,1.4015705476357587
50,20,mfg_adaptive,456,,7.17,2.1121316246863024
50,20,oracle,456,67,4.8933333333333335,0.0
50,50,dcf_qsrc_star,42,100,11.29,2.3421998206814036
50,50,mfg_precommit,42,50,11.18,2.2644204556574734
50,50,mfg_adaptive,42,,18.39,3.627381976026236
50,50,oracle,42,67,11.913333333333334,0.0
50,50,dcf_qsrc_star,123,100,11.19,2.207691101581016
50,50,mfg_precommit,123,50,11.2,2.6645825188948455
50,50,mfg_adaptive,123,,19.28,3.2865787682634355
50,50,oracle,123,67,11.783333333333333,0.0
50,50,dcf_qsrc_star,456,100,11.28,2.0350921355064
50,50,mfg_precommit,456,50,11.46,2.2645970944077454
50,50,mfg_adaptive,456,,19.0,3.6851051545376556
50,50,oracle,456,67,12.046666666666667,0.0
50,100,dcf_qsrc_star,42,100,22.59,3.133991065717961
50,100,mfg_precommit,42,50,21.45,3.293554311074891
50,100,mfg_adaptive,42,,37.82,5.382155701946945
50,100,oracle,42,67,23.7,0.0
50,100,dcf_qsrc_star,123,100,22.52,3.1983745871926885
50,100,mfg_precommit,123,50,21.33,3.524358097583162
50,100,mfg_adaptive,123,,38.62,4.687813989483797
50,100,oracle,123,67,23.64666666666667,0.0
50,100,dcf_qsrc_star,456,100,22.1,2.4392621835300936
50,100,mfg_precommit,456,50,21.61,3.2646439315796756
50,100,mfg_adaptive,456,,38.53,4.36223566534409
50,100,oracle,456,67,23.536666666666665,0.0
50,200,dcf_qsrc_star,42,100,37.28,3.426601815209932
50,200,mfg_precommit,42,50,39.68,2.7161737794183938
50,200,mfg_adaptive,42,,50.0,0.0
50,200,oracle,42,50,39.9,0.0
50,200,dcf_qsrc_star,123,100,37.49,3.4626434988314925
50,200,mfg_precommit,123,50,39.61,3.5125346973375224
50,200,mfg_adaptive,123,,50.0,0.0
50,200,oracle,123,50,40.21,0.0
50,200,dcf_qsrc_star,456,100,37.39,2.945827557750114
50,200,mfg_precommit,456,50,40.16,3.192867050160404
50,200,mfg_adaptive,456,,50.0,0.0
50,200,oracle,456,50,39.99,0.0
50,500,dcf_qsrc_star,42,100,49.37,0.8204267182387468
50,500,mfg_precommit,42,50,49.49,0.8061637550770934
50,500,mfg_adaptive,42,,50.0,0.0
50,500,oracle,42,67,49.64,0.0
50,500,dcf_qsrc_star,123,100,49.16,1.0556514576317317
50,500,mfg_precommit,123,50,49.6,0.7071067811865475
50,500,mfg_adaptive,123,,50.0,0.0
50,500,oracle,123,44,49.653333333333336,0.0
50,500,dcf_qsrc_star,456,100,49.49,0.8659676668328903
50,500,mfg_precommit,456,50,49.6,0.648074069840786
50,500,mfg_adaptive,456,,50.0,0.0
50,500,oracle,456,67,49.65,0.0
