method,ppdu_dist,N,W_eff,seed,W_eff_utilization,mean_jain,p_success_small,p_success_large,class_gap,p_cond_small,p_cond_large
ema_ad_low,bimodal,10,50,42,0.7553600000000001,0.5038,0.5675405243145888,0.44013591844893063,0.12740460586565816,0.0496559452313834,0.0455674199155699
consec_L2,bimodal,10,50,42,0.7338400000000002,0.4929,0.5617370422253352,0.4241455126923846,0.13759152953295056,0.04556226464095572,0.040214528019406066
dcf_self_excl,bimodal,10,50,42,0.6731200000000002,0.4478,0.5023013808284971,0.39336398161103336,0.1089373992174637,0.03451357854932967,0.03141010294469715
and,bimodal,10,50,42,0.63176,0.4363,0.5195117070242146,0.3531880871477114,0.16632361987650318,0.028925113371736734,0.021329502794442498
oracle,bimodal,10,50,123,0.8004000000000001,0.5560999999999999,0.6659353809333866,0.4456478138788608,0.22028756705452573,0.06394714162596955,0.04751721483255635
pnd,bimodal,10,50,123,0.7728800000000001,0.5240999999999999,0.604507379337854,0.4432410750100281,0.16126630432782596,0.05436771300448431,0.04614067686911497
ema_ad_low,bimodal,10,50,123,0.7504800000000001,0.5089,0.5869565217391305,0.4304051343762535,0.156551387362877,0.05135408668946744,0.04421733665753199
consec_L2,bimodal,10,50,123,0.7284,0.48610000000000003,0.5462704427602713,0.42559165663858806,0.1206787861216832,0.042918925694945,0.03977730706506458
dcf_self_excl,bimodal,10,50,123,0.66568,0.4541,0.5287195851615477,0.37906137184115524,0.14965821332039247,0.03564034309375924,0.02956266032659701
and,bimodal,10,50,123,0.6256000000000002,0.4368,0.526924611088951,0.3461692739671079,0.18075533712184305,0.028728008176934956,0.02088450601972291
oracle,bimodal,10,50,456,0.7975200000000002,0.5542999999999999,0.6562869530942057,0.44924888347543646,0.20703806961876925,0.06251525334634953,0.048003297108522594
pnd,bimodal,10,50,456,0.7726400000000001,0.5307999999999999,0.617461568782026,0.4415347137637028,0.17592685501832317,0.055766184297182324,0.044855534244880285
ema_ad_low,bimodal,10,50,456,0.7560000000000002,0.509,0.573512022073315,0.44254973609419407,0.1309622859791209,0.05045338696534147,0.04532789953008691
consec_L2,bimodal,10,50,456,0.7336000000000001,0.49360000000000004,0.5555774536854553,0.42976045473000407,0.12581699895545123,0.045047780370098114,0.0410788784321335
dcf_self_excl,bimodal,10,50,456,0.6666400000000001,0.4541,0.5212849822625147,0.3848964677222899,0.13638851454022483,0.03497104476822593,0.03069103387992295
and,bimodal,10,50,456,0.63144,0.4363,0.5120220733149389,0.3583028826634186,0.1537191906515203,0.028112319428664177,0.021730030532847434
oracle,bimodal,10,50,789,0.7961600000000002,0.5546,0.6552332418659349,0.4497754185381789,0.20545782332775603,0.062318246215793,0.047635522304149455
pnd,bimodal,10,50,789,0.7727200000000002,0.5288999999999999,0.6083888671109369,0.44610044916292363,0.16228841794801324,0.05491958456448274,0.04570842834131749
ema_ad_low,bimodal,10,50,789,0.7536800000000001,0.5117,0.5811446491571932,0.4393630053082891,0.14178164384890413,0.05112950508708398,0.044926931106471814
consec_L2,bimodal,10,50,789,0.7243200000000002,0.491,0.5562524500196001,0.4230298080849326,0.13322264193466749,0.04340644214003854,0.03905233993629493
dcf_self_excl,bimodal,10,50,789,0.6649600000000001,0.4524,0.515484123872991,0.38668844426296445,0.12879567961002658,0.03442633680214674,0.030468775135935138
and,bimodal,10,50,789,0.6265600000000002,0.44320000000000004,0.5354762838102705,0.347080440996325,0.18839584281394545,0.02921456450836764,0.0206614081357333
oracle,bimodal,10,50,1234,0.7960800000000001,0.5485,0.6540627514078842,0.4441129673826571,0.20994978402522707,0.06195465803010097,0.0476078799249531
pnd,bimodal,10,50,1234,0.7776000000000002,0.525,0.6063958165728077,0.4445107398568019,0.16188507671600583,0.05584677792801971,0.04677983129957929
ema_ad_low,bimodal,10,50,1234,0.7575200000000002,0.5067,0.5764279967819791,0.4377486077963405,0.13867938898563859,0.051308675570195854,0.045901981230448384
consec_L2,bimodal,10,50,1234,0.7229600000000002,0.4883,0.5643604183427192,0.41308671439936356,0.15127370394335565,0.04449800980034571,0.038016619687374166
dcf_self_excl,bimodal,10,50,1234,0.66696,0.44470000000000004,0.503218020917136,0.3868337311058075,0.11638428981132848,0.03375015175427947,0.03050980392156863
and,bimodal,10,50,1234,0.6266400000000001,0.4333,0.5195092518101367,0.34805091487669054,0.1714583369334462,0.02848383930835989,0.020827134781315086
oracle,bimodal,10,100,42,0.7607200000000001,0.9622,0.9853912347408446,0.9390365780531681,0.046354656687676465,0.07376336998531924,0.07088217987597882
pnd,bimodal,10,100,42,0.7499600000000001,0.9503000000000001,0.9765859515709425,0.9240455726564062,0.052540378914536334,0.06815166538649535,0.06612504112253802
ema_ad_low,bimodal,10,100,42,0.72336,0.9186000000000001,0.9479687812687613,0.8892664401359185,0.058702341132842784,0.05905158443242165,0.057616099873086586
consec_L2,bimodal,10,100,42,0.71608,0.9104000000000001,0.941564938963378,0.8792724365380772,0.06229250242530082,0.05433213621718997,0.05241459840099134
dcf_self_excl,bimodal,10,100,42,0.6483199999999999,0.8262,0.8583149889933961,0.7941235258844693,0.06419146310892676,0.03841916210575347,0.0373816826932124
and,bimodal,10,100,42,0.67976,0.8684000000000001,0.9063438062837703,0.8305016989806117,0.07584210730315866,0.039145015471313244,0.03644800785978702
oracle,bimodal,10,100,123,0.76068,0.9631000000000001,0.9848424411647387,0.9412354592860008,0.043606981878737905,0.07320327324478178,0.06982903566592766
pnd,bimodal,10,100,123,0.7475200000000001,0.9490000000000001,0.9754686876745113,0.9223826714801444,0.053086016194366925,0.06703397612488522,0.0646935531516831
ema_ad_low,bimodal,10,100,123,0.72408,0.9202,0.947746310331073,0.892498997192138,0.05524731313893505,0.06059060539603203,0.05688863889137466
consec_L2,bimodal,10,100,123,0.7184,0.9106000000000001,0.9331870761866773,0.8878860810268753,0.045300995159802016,0.05290712137316538,0.05252417393367741
dcf_self_excl,bimodal,10,100,123,0.64588,0.8257000000000001,0.8599920223374551,0.7912154031287605,0.0687766192086946,0.0386806247028535,0.03650377992245838
and,bimodal,10,100,123,0.67564,0.8647,0.9024730753889111,0.8267148014440433,0.07575827394486778,0.03814477311236059,0.03594568904624454
oracle,bimodal,10,100,456,0.7576400000000001,0.9651000000000001,0.9865983445013796,0.9429557450263906,0.04364259947498905,0.07361656446228731,0.07076262149233722
pnd,bimodal,10,100,456,0.7435200000000001,0.9498000000000001,0.9761529365392195,0.9226552984165651,0.0534976381226544,0.06790698949792975,0.0633926578888641
ema_ad_low,bimodal,10,100,456,0.7191600000000001,0.9221000000000001,0.9542767047694127,0.888956557044255,0.0653201477251577,0.06064325434597465,0.057211915338385155
consec_L2,bimodal,10,100,456,0.71312,0.9132000000000001,0.9428458809617659,0.8826634185952091,0.06018246236655678,0.05468803584901347,0.052725398653974416
dcf_self_excl,bimodal,10,100,456,0.64744,0.8304000000000001,0.8598738667717777,0.8000406008932196,0.059833265878558084,0.038432401959057116,0.03757950243632653
and,bimodal,10,100,456,0.67564,0.8691,0.9048088293259756,0.832318311002842,0.07249051832313358,0.03830238107156563,0.03658329838587349
oracle,bimodal,10,100,789,0.7537600000000001,0.9624000000000001,0.9827518620148962,0.9412004899959167,0.041551372018979515,0.07263613843457098,0.06996403150657905
pnd,bimodal,10,100,789,0.7418800000000001,0.9509000000000001,0.9780478243825951,0.9226214781543487,0.05542634622824638,0.0678763806518309,0.06434480500064074
ema_ad_low,bimodal,10,100,789,0.7196400000000001,0.9243000000000002,0.9543316346530772,0.8930175581870151,0.06131407646606213,0.06106554293024306,0.05773419041459326
consec_L2,bimodal,10,100,789,0.7133999999999999,0.9165000000000001,0.946687573500588,0.8850551245406288,0.06163244895995912,0.05399724982951179,0.052016462880524125
dcf_self_excl,bimodal,10,100,789,0.6434,0.8287,0.8600548804390435,0.796039199673336,0.06401568076570752,0.03810450081193501,0.037114246006815545
and,bimodal,10,100,789,0.6715199999999999,0.8656,0.8996471971775775,0.8301347488770927,0.06951244830048475,0.03806254198074483,0.03572495475073365
oracle,bimodal,10,100,1234,0.7602800000000001,0.9593,0.9827031375703942,0.9361575178997613,0.046545619670632865,0.07245280780580393,0.06938179888564606
pnd,bimodal,10,100,1234,0.74976,0.9478000000000001,0.9744569589702333,0.9214399363564041,0.053017022613829234,0.06837908404488038,0.06521769732118977
ema_ad_low,bimodal,10,100,1234,0.724,0.9180000000000001,0.9493161705551086,0.8870326173428799,0.06228355321222878,0.060488780100216584,0.057772020725388604
consec_L2,bimodal,10,100,1234,0.71532,0.9075000000000001,0.9394609814963797,0.8758949880668258,0.06356599342955394,0.05386859798641464,0.05090917498005942
dcf_self_excl,bimodal,10,100,1234,0.64864,0.8232,0.8527755430410298,0.7939538583929993,0.0588216846480305,0.03769994754016734,0.037167037530142354
and,bimodal,10,100,1234,0.67716,0.8617000000000001,0.8972244569589702,0.8265712012728719,0.07065325568609837,0.037860270903350646,0.035721960066355515
